Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
2744971.7,2744971.7,2474971.7,2744971.7,2744971.7,2744971.7,2474971.7,2374971.7,2744971.7,2744971.7,2744971.7,2609971.7,2374971.7,2474971.7,2274971.7,2609971.7,2609971.7,2474971.7,2274971.7,2374971.7,2374971.7,2744971.7,2609971.7,2274971.7,2374971.7,2274971.7,2374971.7,2274971.7,2274971.7,2474971.7,2474971.7,2474971.7,2744971.7,2374971.7,2609971.7,2744971.7,2744971.7,2744971.7,2374971.7,2474971.7,2474971.7,2374971.7,2474971.7,2374971.7,2474971.7,2609971.7,2744971.7,2744971.7,2609971.7,2374971.7,2744971.7,2609971.7,2744971.7,2474971.7,2374971.7,2374971.7,2474971.7,2744971.7,2374971.7,2744971.7,2474971.7,2744971.7,2474971.7,2744971.7,2744971.7,2744971.7,2474971.7,2609971.7,2744971.7,2744971.7,2274971.7,2274971.7,2609971.7,2474971.7,2609971.7,2374971.7,2744971.7,2744971.7,2744971.7,2374971.7,2744971.7,2374971.7,2274971.7,2374971.7,2274971.7,2274971.7,2274971.7,2609971.7,2274971.7,2744971.7,2744971.7,2744971.7,2744971.7,2744971.7,2609971.7,2374971.7,2374971.7,2609971.7,2474971.7,2609971.7,2744971.7,2374971.7,2274971.7,2374971.7,2474971.7,2744971.7,2474971.7,2374971.7,2274971.7,2274971.7,2474971.7,2744971.7,2474971.7
2947172.7,2785971.7,2785971.7,2947172.7,2947172.7,2785971.7,2415971.7,2685971.7,2947172.7,2947172.7,2879971.7,2550971.7,2415971.7,2315971.7,2450971.7,2785971.7,2650971.7,2315971.7,2215971.7,2315971.7,2685971.7,2920971.7,2450971.7,2215971.7,2215971.7,2144971.7,2215971.7,2115971.7,2244971.7,2444971.7,2515971.7,2714971.7,2614971.7,2550971.7,2849971.7,2906172.7,2947172.7,2685971.7,2415971.7,2515971.7,2344971.7,2415971.7,2415971.7,2415971.7,2650971.7,2920971.7,2947172.7,2920971.7,2479971.7,2685971.7,2920971.7,2920971.7,2785971.7,2344971.7,2315971.7,2344971.7,2785971.7,2614971.7,2614971.7,2785971.7,2785971.7,2785971.7,2785971.7,2947172.7,2947172.7,2785971.7,2650971.7,2920971.7,2947172.7,2514971.7,2044971.7,2379971.7,2650971.7,2650971.7,2550971.7,2614971.7,2947172.7,2947172.7,2685971.7,2685971.7,2685971.7,2215971.7,2215971.7,2144971.7,2044971.7,2115971.7,2450971.7,2409971.7,2514971.7,2947172.7,2947172.7,2947172.7,2947172.7,2920971.7,2550971.7,2244971.7,2479971.7,2650971.7,2579971.7,2879971.7,2685971.7,2144971.7,2215971.7,2415971.7,2785971.7,2785971.7,2344971.7,2144971.7,2115971.7,2315971.7,2785971.7,2785971.7,2714971.7
2947172.7,2988172.7,2988172.7,2947172.7,2988172.7,2726971.7,2655971.7,2988172.7,2988172.7,2947172.7,2879971.7,2550971.7,2256971.7,2491971.7,2585971.7,2785971.7,2450971.7,2256971.7,2156971.7,2555971.7,2861971.7,2720971.7,2320971.7,2015971.7,2085971.7,1914971.7,2056971.7,2085971.7,2274971.7,2414971.7,2755971.7,2655971.7,2790971.7,2790971.7,2917172.7,2947172.7,2817172.7,2655971.7,2456971.7,2385971.7,2314971.7,2356971.7,2456971.7,2591971.7,2890971.7,2917172.7,2988172.7,2790971.7,2719971.7,2790971.7,2917172.7,2920971.7,2726971.7,2214971.7,2285971.7,2584971.7,2726971.7,2846172.7,2584971.7,2988172.7,2755971.7,2917172.7,2988172.7,2988172.7,2988172.7,2890971.7,2961971.7,2988172.7,2717172.7,2284971.7,2153971.7,2349971.7,2826971.7,2591971.7,2861971.7,2846172.7,2947172.7,2947172.7,2947172.7,2585971.7,2485971.7,2156971.7,1985971.7,1914971.7,1814971.7,2220971.7,2291971.7,2720971.7,2754971.7,2988172.7,2988172.7,2947172.7,2988172.7,2861971.7,2424971.7,2353971.7,2453971.7,2755971.7,2890971.7,2820971.7,2455971.7,2014971.7,2256971.7,2726971.7,2826971.7,2726971.7,2114971.7,1918971.7,2085971.7,2555971.7,2826971.7,2917172.7,2846172.7
2947172.7,2988172.7,3029172.7,2947172.7,2929172.7,3029172.7,2917172.7,3029172.7,2988172.7,2847172.7,2879971.7,2350971.7,2432971.7,2626971.7,2585971.7,2785971.7,2350971.7,2197971.7,2467971.7,2731971.7,2661971.7,2620971.7,2120971.7,1956971.7,1855971.7,1684971.7,2026971.7,2151471.7,2449471.7,2654971.7,2625971.7,2831971.7,2958172.7,2887172.7,2958172.7,2847172.7,2787172.7,2625971.7,2326971.7,2355971.7,2184971.7,2397971.7,2561971.7,2902971.7,2887172.7,2958172.7,2929172.7,2887172.7,2862172.7,2887172.7,2887172.7,2820971.7,2596971.7,2244971.7,2585971.7,2454971.7,2958172.7,2816172.7,2887172.7,3029172.7,2891172.7,2887172.7,3029172.7,3029172.7,2958172.7,2958172.7,2958172.7,2758172.7,2487172.7,2449971.7,2127971.7,2454971.7,2767971.7,2902971.7,3029172.7,2887172.7,2947172.7,163682,2947172.7,2585971.7,2385971.7,1926971.7,1859971.7,1846971.7,1979971.7,2061971.7,2602971.7,2988172.7,2887172.7,2988172.7,2988172.7,2947172.7,2929172.7,2731971.7,2612971.7,2406971.7,2618971.7,2887172.7,2831971.7,2661971.7,2325971.7,1984971.7,2567971.7,2696971.7,2696971.7,2496971.7,2046971.7,1984471.7,2325971.7,2525971.7,2958172.7,2887172.7,2816172.7
2947172.7,2988172.7,3070172.7,2847172.7,3070172.7,3029172.7,2917172.7,3070172.7,2988172.7,2847172.7,2879971.7,2485971.7,2567971.7,2626971.7,2585971.7,2785971.7,2250971.7,2508971.7,2643971.7,2572971.7,2561971.7,2420971.7,2020971.7,1797971.7,1625971.7,1658971.7,2068471.7,2325971.7,2623971.7,2524971.7,2801971.7,2928172.7,2928172.7,2857172.7,2828172.7,2888172.7,2828172.7,2495971.7,2296971.7,2225971.7,2154971.7,2502971.7,2872971.7,3070172.7,2857172.7,2828172.7,2999172.7,2928172.7,2886172.7,2857172.7,2828172.7,2761971.7,2570971.7,2580471.7,2515971.7,2777971.7,2928172.7,2786172.7,2857172.7,3070172.7,2915172.7,2857172.7,3070172.7,3070172.7,2999172.7,2999172.7,2728172.7,2528172.7,2652172.7,2491471.7,2236971.7,2324971.7,3070172.7,3070172.7,3070172.7,2887172.7,163682,163682,2947172.7,2485971.7,2226971.7,1800971.7,2065013.7,2052013.7,1749971.7,2301971.7,2913971.7,3029172.7,2887172.7,2988172.7,2988172.7,2847172.7,2799172.7,2896971.7,2787471.7,2581471.7,2836172.7,2757172.7,2601971.7,2531971.7,2295971.7,2224971.7,2608971.7,2566971.7,2466971.7,2326971.7,2221471.7,2224013.7,2295971.7,2765971.7,2928172.7,2857172.7,2857172.7
2947172.7,2945022.9,2927022.9,2904022.9,3027022.9,2986022.9,2880022.9,3070172.7,2988172.7,2604022.9,2906172.7,2620971.7,2567971.7,2626971.7,2585971.7,2785971.7,2477821.9,2641821.9,2400821.9,2435821.9,2318821.9,2277821.9,1783821.9,1595821.9,1665821.9,1740321.9,2242971.7,2791013.7,3075013.7,2670821.9,2927022.9,2938022.9,2927022.9,2762022.9,2827022.9,2886022.9,2727022.9,2500821.9,2195821.9,2230821.9,2300821.9,2765821.9,3003022.9,3068022.9,2762022.9,2927022.9,2971022.9,2912022.9,2897022.9,2762022.9,2738022.9,2748821.9,2897821.9,2549321.9,2861321.9,2835321.9,2927022.9,2818022.9,2862022.9,3068022.9,2966022.9,2862022.9,3068022.9,3068022.9,3003022.9,2792022.9,2527022.9,2662022.9,2703522.9,2672321.9,2147821.9,2616821.9,3068022.9,3027022.9,3070172.7,239682,163682,217932,2947172.7,2242821.9,2013821.9,2109863.9,2406863.9,2030022.9,2030821.9,2581821.9,3068022.9,2986022.9,2856022.9,2945022.9,2886022.9,2745022.9,2906022.9,3071471.7,2961971.7,2914321.9,2784022.9,2562022.9,2500821.9,2524821.9,2570821.9,2235821.9,2495821.9,2365821.9,2402821.9,2396321.9,2661013.7,2724013.7,2549821.9,2883022.9,2927022.9,2873022.9,2832022.9
2947172.7,2945022.9,2983873.1,2904022.9,2983873.1,2938673.1,2880022.9,3070172.7,2988172.7,2739022.9,114682,163682,2567971.7,2626971.7,2585971.7,2899822.9,2565472.1,2394472.1,2253472.1,2194472.1,2171472.1,2030472.1,1587672.1,1582672.1,2065863.9,2179863.9,2715013.7,3291013.7,3352863.9,2807873.1,2925873.1,2936873.1,2825873.1,2766873.1,2825873.1,2772873.1,2725873.1,2405672.1,2194672.1,2370672.1,2581672.1,2995873.1,2995873.1,2954873.1,2845873.1,2946873.1,2984873.1,2916873.1,2807873.1,2666873.1,2736873.1,2961873.1,2843172.1,2783863.9,2866172.1,2877873.1,2946873.1,2865873.1,2845873.1,3065873.1,3007873.1,2866873.1,3065873.1,3054873.1,2795873.1,2584873.1,2639873.1,2639873.1,2889873.1,2583172.1,2428672.1,2818873.1,3020673.1,310682,310682,239682,214782,268282,2947172.7,1995472.1,1800672.1,2445714.1,2378873.1,2289873.1,2311672.1,2861672.1,3024873.1,2986022.9,2820673.1,2797673.1,2772873.1,2866873.1,2945373.1,3245971.7,3236013.7,3088821.9,2958522.9,2513373.1,2499672.1,2787672.1,2610672.1,2146672.1,2282672.1,2360672.1,2577321.9,2570821.9,3061863.9,3224013.7,2859672.1,2887873.1,2925873.1,2843673.1,2802673.1
2947172.7,2894673.1,2983873.1,2904022.9,2933523.3,2942873.1,2880022.9,3070172.7,212682,163682,114682,163682,2567971.7,2626971.7,2855971.7,2904022.9,2569672.1,2398672.1,2007322.3,2054322.3,1925322.3,1791522.3,1591522.3,1704564.3,2565863.9,2679863.9,3109863.9,3453022.9,3389873.1,2818723.3,2924723.3,2835723.3,2824723.3,2771723.3,2724723.3,2759723.3,2624723.3,2410522.3,2328522.3,2645522.3,2818723.3,2999723.3,2899723.3,3041723.3,2896723.3,2974723.3,2977723.3,2821723.3,2718723.3,2671723.3,2914723.3,2848723.3,3017672.1,3015714.1,3030723.3,2925723.3,2982723.3,2922723.3,2829723.3,3052723.3,3041723.3,2871723.3,3052723.3,2841723.3,2588723.3,2691723.3,2685223.3,2752723.3,2794723.3,2864022.3,2709522.3,2840723.3,355482,310682,310682,290782,265132,295132,2947172.7,1756522.3,1957522.3,2411723.3,2688723.3,2570723.3,2592522.3,2916723.3,2974523.3,2986022.9,2693723.3,2651523.3,2894723.3,2832723.3,3119873.1,3420471.7,3553172.7,3374022.9,3133022.9,2553223.3,2768522.3,2791522.3,2494522.3,1957522.3,2148522.3,2535172.1,2751821.9,3051863.9,3379022.9,3491172.7,2864522.3,2892723.3,2894723.3,2815523.3,2774523.3
2947172.7,2901873.1,2930523.3,2904022.9,2940723.3,2942873.1,2880022.9,310682,212682,163682,140782,214782,2567971.7,2896971.7,2947172.7,2904022.9,2569672.1,2398672.1,1861172.5,1814172.5,1689372.5,1789372.5,1618272.5,2204564.3,3065863.9,3179863.9,3328614.1,3603022.9,3366623.3,2829573.5,2823573.5,2834573.5,2823573.5,2676573.5,2723573.5,2646573.5,2623573.5,2550372.5,2597372.5,2876573.5,2840573.5,2892573.5,2992573.5,3048473.5,3046723.3,2951473.5,2870573.5,2760473.5,2774973.5,2904473.5,2791473.5,2971473.5,3050422.3,3171623.3,3071473.5,2996473.5,3026473.5,3072723.3,2834573.5,3039573.5,3046573.5,2876573.5,2839573.5,2628573.5,2694473.5,2729973.5,2852973.5,2651573.5,2980573.5,2950573.5,2841573.5,2840723.3,355482,310682,361782,341132,291982,321232,2693822.9,1889372.5,1744372.5,2658473.5,2941473.5,2851573.5,2873372.5,2885573.5,2928373.5,2832673.1,2603573.5,2750573.5,2859473.5,2912473.5,3180623.3,3574172.7,3703172.7,3373932.1,3334022.9,2861973.5,2767372.5,2684372.5,2333272.5,1963272.5,2323022.3,2804714.1,3246863.9,3469022.9,3419773.1,3473922.9,2876573.5,2867573.5,2853373.5,2787373.5,2646373.5
2947172.7,2901873.1,2940723.3,2904022.9,2940723.3,2942873.1,201682,310682,212682,163682,191882,265132,2837971.7,2988172.7,163682,2904022.9,2569672.1,2398672.1,1628222.7,1587222.7,1687222.7,1776222.7,2083314.5,2584314.5,3483022.9,3350773.1,3320523.3,3627773.1,3366373.5,2740423.7,2822423.7,2833423.7,2722423.7,2681423.7,2622423.7,2633423.7,2757423.7,2825222.7,2866222.7,2892423.7,2751423.7,2985423.7,3003323.7,3061223.7,3069473.5,2851223.7,2763423.7,2820223.7,3011223.7,2835223.7,2924223.7,2984223.7,3204373.5,3240373.5,3221473.5,3146473.5,3176473.5,3222723.3,2815323.7,3037423.7,3042323.7,2681423.7,2626423.7,2726323.7,2730723.7,2889723.7,2752723.7,2880423.7,2985423.7,2961423.7,2841573.5,402682,355482,310682,412132,367982,318082,347332,2790073.1,1687222.7,2001222.7,2928223.7,3043223.7,2952423.7,2856423.7,2842223.7,2783223.7,2687523.3,2737423.7,2737423.7,2937223.7,2900223.7,3330623.3,3724172.7,3703081.9,3454523.3,3484022.9,2925223.7,2666222.7,2477222.7,2346022.7,2207314.5,2792564.3,3304714.1,3564022.9,3619022.9,3450523.3,3479673.1,2892423.7,2842423.7,2832423.7,2797573.5,2719223.7
