Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
1085.87,1087.24,1086.12,1088.43,1087.27,1086.26,1086.51,1086.52,1086.76,1087.21,1090.03,1086.03,1086.96,1087.29,1088.23,1087.8,1087.38,1085.81,1088.13,1085.35,1086.29,1088.01,1085.53,1086.04,1085.11,1086.87,1086.74,1086.41,1086.25,1086.86,1086.28,1086.3,1086.39,1084.64,1086.65,1089.07,1085.24,1086.9,1085.7,1086.08,1085.67,1085.89,1085.59,1086.45,1085.62,1086.18,1088.04,1086.96,1086.47,1086.74,1087.05,1087.33,1086.98,1086.48,1087.31,1086.11,1086.65,1086.52,1085.81,1087.77,1087.85,1087.48,1086.86,1087.85,1087.29,1087.49,1087.04,1086.32,1087.23,1086.86,1086.35,1086.98,1087.93,1087.81,1087.49,1087.18,1087.25,1085.55,1086.68,1087.2,1086.93,1086,1087.14,1087.05,1087.09,1087.18,1087.06,1093.35,1086.82,1088.75,1087.15,1086.31,1086.03,1088.17,1087.21,1087.34,1086.39,1087.03,1086.52,1092.31,1086.54,1086.26,1086.86,1086.29,1087.83,1086.8,1086.43,1086.91,1086.42,1086.68,1086.77,1087.67,1087.04
1086.3,1086.93,1085.99,1089.34,1087.81,1087.02,1086.53,1086.1,1086.33,1088.84,1090.79,1086.12,1087.33,1087.56,1090.98,1089.06,1088.3,1085.62,1088.03,1085.28,1085.88,1090.97,1084.84,1084.48,1083.07,1086.01,1091.83,1085.71,1085.92,1087.24,1085.48,1088.95,1085.79,1082.67,1087.05,1090.86,1086.9,1086.82,1085.24,1085.65,1084.75,1085.07,1084.64,1085.57,1085.08,1085.17,1087.42,1086.88,1086.65,1086.49,1086.74,1087.21,1087.77,1086.56,1086.79,1085.14,1086.37,1086.12,1084.15,1087.59,1087.33,1087.2,1086.79,1088.53,1086.99,1086.25,1086.45,1086.72,1086.59,1086.28,1085.8,1085.73,1087.72,1088.71,1092.53,1086.44,1087.11,1087.4,1086.79,1086.67,1087.58,1086.6,1087.31,1086.94,1086.16,1087.27,1087.53,1098.96,1086.16,1090.23,1086.72,1085.51,1086.53,1087.95,1087.04,1087.22,1085.33,1087.11,1086.23,1096.74,1086.11,1085.29,1086.78,1085.9,1087.5,1086.81,1085.44,1086.22,1085.78,1086.15,1086.03,1088.49,1086.34
1087.46,1088.53,1085.8,1089.8,1087.3,1086.47,1085.35,1085.25,1084.04,1087.12,1090.72,1085.5,1085.46,1085.58,1090.99,1088.05,1086.99,1085.41,1087.23,1083.11,1083.29,1091.03,1080.82,1081.48,1080.09,1083.05,1091.31,1083.68,1085.27,1085.89,1083.1,1088.81,1087.22,1080.71,1084.94,1094.76,1085.61,1085.89,1084.09,1084.54,1082.96,1083.7,1082.51,1085.17,1083.17,1082.02,1087.2,1085.81,1085.49,1084.08,1083.64,1085.3,1086.97,1084.49,1084.46,1082.28,1083.28,1084.2,1080.51,1085.61,1085.98,1084.74,1084.54,1086.65,1085.02,1083.49,1083.38,1086.01,1084.84,1084.67,1082.93,1083.06,1088.65,1088.86,1093.12,1084.41,1085.84,1088.89,1086.11,1087.33,1086.18,1084.93,1085.43,1084.88,1083.94,1086.03,1087.93,1103.25,1084.37,1092.15,1083.53,1084.34,1085.83,1085.96,1085.11,1085.24,1082.41,1084.72,1083.47,1097.79,1084.7,1083.23,1084.92,1083.61,1085.92,1084.95,1082.92,1084.05,1082.41,1083.27,1083.69,1086.82,1083.9
1086.25,1087.77,1082.31,1088.55,1085.94,1083.53,1081.18,1083.74,1080.51,1084.17,1087.95,1081.42,1084.23,1082.82,1088.97,1085.97,1084.16,1082.52,1085.06,1081.37,1081.23,1087.51,1077.73,1077.58,1074.05,1079.38,1087.33,1081.1,1081.6,1082.71,1078.68,1084.85,1082.84,1078.61,1081.42,1094.98,1082.53,1082.09,1083.05,1082.47,1079.74,1080.68,1080.69,1083.75,1079.53,1080.29,1085.32,1082.45,1081.93,1080.53,1080.69,1081.37,1084.56,1081.71,1082.81,1079.04,1080.57,1080.66,1078.77,1084.49,1082.69,1081.54,1083.16,1085.05,1081.48,1079.7,1080.03,1085.19,1080.8,1081.18,1080.29,1079.16,1086.52,1087.69,1091.59,1080.72,1082.83,1085.46,1083.93,1084.96,1083.72,1083.42,1084.02,1081.36,1079.81,1083.99,1085.22,1101.72,1081.44,1089.27,1080.71,1081.13,1084.24,1081.65,1080.64,1081.88,1077.72,1081.09,1080.17,1095.96,1081.22,1079.28,1082.14,1080.88,1083.27,1082.4,1079.05,1080.37,1079.65,1080.46,1081.13,1083.69,1079.32
1083.24,1085.61,1079.47,1086.4,1084,1080.88,1078.12,1081.59,1078.41,1081.34,1085.06,1078.75,1082.22,1080.72,1085.22,1085.4,1081.87,1079.84,1082.54,1078.88,1079.73,1084.51,1072.26,1070.13,1072.29,1076.33,1082.23,1077.29,1078.35,1078.01,1077.22,1083.4,1081.59,1076.39,1079.87,1093,1080.43,1080.43,1082.2,1082.04,1079.28,1080.08,1080.6,1084.23,1078.48,1077.56,1085.96,1079.01,1078.89,1078.36,1078.48,1080.31,1084.44,1078.72,1081.57,1075.2,1079.81,1078,1078.35,1084.91,1080.65,1079.37,1082.68,1084.74,1080.18,1077.65,1077.9,1087.2,1078.13,1079.32,1078.57,1076.67,1084.58,1087.32,1091.36,1078.65,1081.68,1085.08,1081.54,1081.66,1078.72,1082.77,1083.05,1078.57,1077,1082.96,1083.7,1101.34,1080.74,1088.76,1079.04,1079.07,1083.54,1079.48,1078.54,1080.16,1075.08,1079.01,1077.87,1095.66,1078.99,1076.85,1081.18,1080.57,1081.15,1080.92,1076.67,1078.12,1078.05,1078.93,1079.96,1081.73,1076.47
1079.68,1083.33,1077.96,1084.99,1082.3,1078.86,1074.94,1079.35,1078.4,1079.11,1083.22,1075.72,1080.37,1079.75,1082.16,1084.33,1079.43,1082.61,1080.7,1078.35,1080.71,1080.29,1073.6,1067.28,1069.9,1073.8,1079.72,1074.81,1075.96,1073.09,1076.37,1080.56,1078.56,1075.14,1078.34,1093.32,1080.01,1077.26,1082.78,1082.02,1076.79,1079.55,1080.95,1084.38,1077.82,1075.78,1085.37,1078.1,1077.5,1076.95,1077.98,1076.87,1085.16,1075.48,1079.25,1073.93,1076.85,1074.63,1074,1083.93,1077.98,1076.79,1081.32,1081.82,1077.29,1074.79,1075.19,1084.79,1075.06,1076.16,1075.46,1072.74,1081.4,1084.56,1088.16,1075.04,1079.22,1079.58,1078.26,1079.35,1077.3,1081.96,1080.38,1075.43,1074.28,1080.99,1080.38,1099.04,1077.43,1086.89,1076.26,1076.07,1081.46,1076.76,1076,1077.43,1071.55,1075.77,1074.35,1093.2,1075.89,1073.36,1079.3,1079.04,1077.79,1078.33,1072.87,1074.2,1075.44,1076,1078.09,1078.24,1072.48
1078.47,1083.83,1078.77,1086.11,1082.79,1078.52,1074.58,1081.37,1077.52,1078.49,1082.65,1076.46,1081.36,1081.77,1081.38,1082.95,1079.54,1082.65,1081.49,1081.02,1081.71,1083.1,1075.31,1067.27,1072.66,1073.94,1082.44,1076.89,1073.25,1071.87,1076.51,1079.14,1077.89,1073.68,1076.72,1094.98,1080.94,1076.87,1083.75,1083.92,1075.49,1080.58,1080.82,1085.58,1078.72,1074.91,1086,1078.81,1076.4,1077.25,1077.81,1077.46,1084.15,1074.62,1077.62,1073.16,1077.94,1072.63,1071.22,1082.25,1076.29,1076.03,1081.5,1080.92,1076.59,1073.39,1072.55,1083,1073.24,1074.35,1073.26,1070.5,1079.53,1082.84,1088.41,1072.7,1077.87,1079.14,1078.79,1077.88,1074.82,1082.35,1077.66,1074.73,1072.5,1077.98,1078.99,1097.04,1074.34,1086.06,1075.44,1074.53,1080.84,1076.5,1073.72,1074.4,1069.32,1073.93,1072.44,1091.64,1074.02,1071.55,1079.02,1078.62,1075.04,1076.67,1071.5,1072.52,1075.11,1075,1077.66,1076.57,1070.82
1077.72,1083.8,1079.55,1084.97,1082.88,1077.25,1073.74,1080.99,1077.59,1078.08,1086.06,1075.73,1081.37,1079.75,1081.84,1082.47,1080.73,1083.13,1081.71,1082.99,1082.03,1083.17,1076.45,1072.29,1076.79,1074.26,1080.91,1079.98,1072.05,1070.28,1077.42,1077.16,1076.82,1074.8,1075.88,1093.55,1080.94,1076.27,1083.65,1084.24,1075.13,1083.6,1082.08,1086.38,1080.69,1079.47,1084.69,1078.7,1075.81,1080.27,1077.05,1079.05,1084.46,1075.13,1078.47,1073.36,1079.24,1073.29,1070.8,1081.74,1075.25,1076.69,1083.37,1080.91,1077.11,1074.8,1074.26,1081.84,1072.34,1073.15,1071.03,1070.14,1078.16,1082.62,1087.33,1072.68,1078.49,1080.43,1080.73,1076.08,1074.59,1084.39,1078.52,1074.54,1072.07,1078.53,1079.26,1096.96,1072.03,1085.62,1075.1,1074.63,1080.52,1076.43,1073.2,1074.32,1068.07,1073.77,1071.47,1091.61,1073.63,1071.19,1079.97,1078.82,1074.12,1075.94,1071.62,1072.02,1076.19,1076.66,1078.9,1075.43,1069.46
1076.81,1082.39,1079.88,1084.94,1082.4,1077.01,1073.21,1080.88,1077.38,1077.48,1086.35,1075.64,1082.22,1080.5,1082.49,1082.34,1081.82,1082.58,1081.57,1084.73,1081.8,1082.35,1076.63,1072.06,1078.31,1073.07,1082.66,1080.84,1071.24,1067.66,1076.97,1075.24,1075.05,1083.3,1075.62,1091.17,1078.95,1075.02,1082.36,1085.21,1072.83,1083.08,1081,1084.97,1081.5,1081.47,1083.81,1078.54,1074.93,1079.1,1076.2,1078.67,1083.77,1073.88,1078.99,1071.77,1079.42,1074.17,1069.22,1080.94,1074.8,1077.52,1083.55,1080.79,1075.82,1073.62,1074.6,1080.58,1071.6,1072.32,1071.95,1069.18,1077.22,1082.05,1087.23,1072.54,1078.41,1079.6,1080.58,1075.5,1073.72,1084.7,1076.9,1073.92,1072.57,1077.67,1078.9,1096.39,1070.32,1084.94,1074.3,1074.87,1079.98,1075.83,1071.94,1073.08,1068.08,1072.88,1071.1,1090.85,1072.47,1069.83,1080,1078.71,1072.83,1075.02,1070.68,1071.3,1076.64,1077.08,1079.06,1074.41,1067.96
1077.34,1084.43,1081.47,1085.84,1085.38,1079.26,1074.6,1082.83,1079.14,1079.08,1088.3,1078.89,1084,1083.39,1083.16,1084.09,1084.34,1085.03,1083.07,1087.45,1083.05,1084.44,1077.89,1075.25,1081.07,1073.9,1085.45,1082.19,1073.21,1068.1,1077.01,1075.54,1074.85,1083.86,1074.79,1092.51,1079.32,1075.4,1082.32,1084.69,1071.42,1083.83,1081.59,1084.66,1082.34,1082.12,1085,1079.65,1074.78,1078.7,1076.71,1080.18,1085.53,1073.55,1080.26,1071.79,1080.39,1074.37,1069.07,1083.07,1075,1079.25,1084.94,1081.9,1077.71,1075.86,1079.85,1081.68,1073.57,1073.94,1071.8,1069.43,1079.5,1083.17,1088.42,1072.57,1079.66,1083.14,1082.45,1077.92,1076.38,1086.85,1079.07,1073.63,1071.72,1078.78,1078.9,1097.93,1069.91,1086.77,1076.18,1076.54,1081.84,1077.27,1073.73,1072.47,1067.88,1074.14,1072.17,1092.55,1075.1,1071.04,1081.2,1079.63,1074.48,1076.67,1070.41,1070.45,1077.79,1078.95,1080.47,1075.64,1067.7
1077.16,1084.93,1081.75,1086.41,1086.19,1080.18,1073.54,1082.17,1078.89,1078.74,1088.71,1079.09,1084.12,1084.59,1081.31,1085.25,1084.46,1086.4,1082.67,1087.17,1081.86,1084.94,1077.17,1074.8,1081.07,1072.19,1085.38,1081.12,1072.51,1067.16,1076.26,1074.66,1073.73,1083.25,1072.45,1091.7,1078.42,1074.43,1081.24,1083.87,1069.98,1082.93,1080.1,1084.02,1081.16,1082.09,1084.27,1079.65,1073.16,1077.07,1076.82,1078.76,1085.02,1073.04,1080.1,1070.36,1080.59,1073.03,1067.33,1084.72,1074.19,1079.94,1085.05,1082.42,1078.58,1076.36,1080.17,1082.2,1074.32,1073.92,1069.09,1066.99,1080.14,1083.41,1088.38,1071.41,1080.26,1084.44,1083,1078.24,1076.69,1087.8,1079.05,1071.6,1069.83,1078.76,1077.24,1098.25,1067.72,1087.84,1077.23,1077.47,1081.69,1077.78,1073.76,1070.72,1066.16,1074.46,1071.91,1092.37,1075.41,1071.28,1081.41,1079.47,1073.76,1076.97,1068.95,1069.71,1077.52,1078.7,1080.66,1075.99,1065.98
1078.7,1086.37,1082.84,1087.92,1088.2,1081.81,1075.08,1082.4,1080.72,1078.46,1090.59,1080.79,1085.64,1086.92,1080.74,1088.2,1086.04,1089.16,1084.76,1087.38,1082.32,1086.38,1078.55,1075.38,1081.93,1071.58,1086.42,1082.3,1073.52,1068.23,1076.55,1074.99,1074.94,1083.91,1073.17,1092.29,1078.63,1075.18,1081.57,1084.77,1069.72,1083.41,1080.6,1084.39,1081.57,1082.71,1085.26,1080.03,1072.75,1076.99,1078.12,1079.09,1086.19,1073.37,1081.72,1070.47,1081.71,1072.52,1066.65,1088.5,1076.8,1081.33,1085.72,1083.13,1079.53,1077.41,1080.38,1083.09,1075.38,1074.75,1068.15,1066.33,1083.37,1085.67,1089.79,1070.76,1081.81,1086.79,1085.28,1079.13,1077.37,1088.73,1079.99,1071.64,1069.27,1080.26,1077.86,1099.69,1068.27,1089.7,1078.21,1078.23,1081.75,1079.53,1075.08,1070.42,1065.72,1075.58,1072.48,1093.37,1076.49,1072.75,1082.69,1080.23,1077.47,1078.81,1068.8,1069.15,1078.74,1079.67,1082.12,1077.32,1065.87
1080.31,1086.93,1084.73,1089.49,1088.77,1082.78,1076.09,1083.61,1082.29,1082.96,1090.83,1086.66,1087.36,1089.56,1083.02,1089.99,1086.28,1091.68,1084.55,1088.09,1084.8,1086.34,1079.04,1074.91,1083.26,1072.86,1087.25,1081.97,1074.32,1070.69,1077.32,1077.49,1075.63,1083.99,1076.9,1091.65,1079.89,1075.33,1082.09,1084.86,1070.12,1083.44,1081.52,1084.45,1081.17,1084.2,1086.55,1079.93,1074.03,1078.08,1078.9,1080.55,1087.1,1075.24,1081.25,1071.68,1082.68,1072.82,1069.08,1090.75,1078.35,1081.63,1088.01,1084.76,1081.4,1078.95,1081.16,1084.77,1076.63,1077.21,1069.71,1068.94,1085.64,1087.59,1091.37,1072.59,1081.68,1095.86,1092.72,1080.54,1081.57,1090.27,1080.49,1073.3,1071.05,1080.76,1085.45,1100.66,1071.75,1091.14,1078.88,1078.6,1084.28,1081.21,1075.9,1071.34,1067.37,1075.54,1079.63,1094.09,1077.22,1073.57,1083.42,1082.55,1078.75,1079.71,1070.29,1070.12,1079.89,1079.87,1084.26,1078.85,1066.25
1079.83,1086.75,1084.65,1089.86,1089.36,1082.74,1075.61,1083.13,1083.79,1083.58,1090.65,1090.45,1087.57,1092.25,1084.25,1090.84,1086.04,1091.53,1084.42,1087.63,1087.75,1085.6,1077.39,1072.74,1082.33,1078.51,1086.51,1080.62,1074.45,1071.36,1080.03,1078.38,1075.11,1083.39,1079.03,1092.89,1079.65,1074.81,1081.6,1083.89,1069.5,1082.43,1080.57,1083.85,1079.12,1082.56,1086.31,1079.1,1074.02,1077.26,1077.77,1081.32,1087.12,1074.95,1079.24,1071.63,1082.22,1071.33,1069.16,1090.18,1077.55,1080.54,1088.63,1084.3,1079.96,1078.29,1081.51,1084.08,1075.87,1078.15,1068.63,1068.99,1086.49,1092.58,1090.58,1072.7,1083.4,1104.93,1099.9,1081.16,1085.97,1090.39,1079.36,1072.57,1071.4,1080.23,1090.74,1099.76,1073.59,1090.56,1077.89,1078.97,1083.9,1081,1074.74,1070.47,1067.72,1074.2,1084.53,1093.41,1076.17,1073.21,1082.98,1082.17,1078.72,1078.64,1069.81,1069.69,1079.3,1078.09,1085.04,1078.08,1066.99
1081.31,1086.5,1084.16,1089.19,1088.65,1081.49,1074.67,1080.76,1081.88,1083.35,1089.76,1092.24,1085.54,1092.2,1083.18,1089.49,1085.78,1090.67,1082.19,1085,1087.75,1081.54,1074.25,1069.59,1079.27,1078.04,1084.42,1078.97,1072.55,1069.96,1079.83,1081.32,1074.61,1080.26,1083.2,1091.25,1078.52,1073.56,1080.43,1082.04,1068.12,1080.22,1080.11,1081.88,1074.87,1081.35,1085.06,1076.9,1071.56,1073.58,1074.77,1080.45,1085,1072.59,1075.3,1068.43,1080.22,1067.56,1067.11,1088.79,1074.53,1077.24,1086.69,1082.14,1076.96,1075.07,1080.74,1082.25,1074.02,1076.7,1065.85,1070.08,1086.59,1093.12,1088.53,1071.44,1084.75,1113.11,1109.34,1079.67,1088.64,1088.47,1076.23,1070.3,1070.17,1079.65,1094.73,1097.78,1075.73,1087.24,1076.52,1078.07,1081.71,1078.97,1071.64,1067.45,1065.21,1070.28,1085.7,1091.77,1073.99,1070.75,1080.61,1080.5,1076.74,1076,1067.58,1066.16,1076.29,1074.67,1083.3,1075.51,1068.34
