Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
815109,862983,860298,882271,918468,922934,828625,832085,828855,901979,1037552,840489,884029,890013,995922,900673,916532,780034,1017452,784996,803731,805543,785758,796284,822741,808330,855460,801221,834427,835157,798252,790752,791811,797217,817938,923952,767812,796221,793081,807919,781527,769658,744170,774163,727501,774564,897505,781742,800715,804544,832679,852057,776654,792986,844933,815136,805481,808994,761643,882553,890871,846182,806585,873727,841506,864675,840376,772241,853357,828184,811686,828366,850126,850049,840857,803639,831638,834704,862650,893964,829412,800211,850312,848251,848382,843946,854003,1268513,832727,940055,819043,827164,835350,835217,826262,835195,796637,819358,791251,1172161,802483,781335,838217,805981,861174,828021,822964,818118,797043,819658,844673,870637,839851
779687,695062,802047,766451,786100,808788,758943,786433,749687,826852,778005,780099,753607,786413,907263,799343,795095,706513,734468,722942,694894,829550,722190,704636,616169,742154,975735,740486,736968,745645,728666,889414,713257,644752,772946,857279,732292,742053,736764,748800,695921,699350,640565,662994,727521,692846,700970,706034,719595,711201,725691,788260,715781,729357,747643,723671,801562,743662,687338,774575,768694,746781,801043,834917,774584,670404,747988,786997,732354,737584,760539,714927,778047,861420,1185295,746628,807174,788694,771283,790556,804411,796218,783861,785211,719992,779546,820026,1061195,756121,849650,736032,706905,779134,740900,759252,761116,717130,749487,741865,1006401,717842,733815,819305,754341,778918,756067,725232,754947,754042,765896,759153,823043,722998
941646,981706,814134,772716,806578,827924,765355,818308,750528,755098,816872,822744,792683,807511,871357,786551,863133,799439,823682,755567,667237,793305,625442,684664,765264,734271,906863,776798,773018,790070,777172,915053,980833,688595,780631,1040538,780741,847288,781904,783496,723035,729136,702070,851391,733613,719673,744497,757204,789510,748663,673709,783019,852874,767867,789203,753121,729367,779036,659050,759166,824172,720235,772478,787110,752262,723266,686516,835708,810469,832314,765055,724588,1045486,937430,894867,785775,841872,962900,810213,891318,821277,747059,762344,735453,759239,846388,911996,1044306,800740,1025933,660410,820430,852822,730583,765221,806294,709992,769485,740802,894205,785639,753809,809401,768815,791076,777128,748830,788154,735195,762512,729994,801998,747645
772234,854796,649212,770781,755544,739205,773020,871156,698599,573955,712943,615336,866126,801831,749355,755260,769506,664224,758814,793996,754157,653705,782017,801759,557817,633169,766494,780635,628910,732600,660091,676034,611390,849836,671653,900383,816516,685796,914489,819685,730226,777070,870077,826105,671331,741546,750012,645188,682854,656734,648991,627789,729429,733528,809065,707290,745029,654533,827136,777979,703453,682632,866810,813850,644089,620737,700786,942296,677317,713108,779804,680720,784550,917303,837179,687079,725871,772656,766863,782453,759626,855521,862587,707467,664678,844630,791234,848736,791471,716113,760594,714521,805461,615073,638626,738362,619638,670118,690610,826177,684718,664948,779864,783582,769097,759787,682988,712898,760271,769013,781972,727258,652332
572558,645051,549103,602042,630597,672127,628626,733179,623102,586378,535216,613744,715274,651239,680570,794827,644815,656657,617669,659593,744593,614709,435777,258711,798395,601048,446246,582554,646682,516721,756733,750708,748403,696079,708456,934484,721595,775654,848027,885588,848818,807271,810784,873946,731543,602357,900339,515663,571855,643627,621138,736641,713805,589198,796122,600417,820951,637942,834307,863378,708374,674587,831210,816779,732159,680584,693418,1040059,641558,710883,738976,660692,698632,832705,821913,683465,735552,853309,677026,631058,554532,803942,792808,600278,617766,786473,720854,783713,797482,779231,659987,672820,784023,650344,650597,706682,634206,649273,670633,834953,649213,641950,785305,812829,708837,717052,642496,671204,760506,739529,774870,665905,628682
693677,709765,720051,743806,737369,783817,685669,776408,868161,764584,705749,690617,909058,788371,730318,839603,712710,1254952,778024,824344,1058652,543521,1022904,794871,758417,742331,652168,769465,783867,536625,914500,722924,687439,854437,818938,861807,904776,680906,1006880,949429,723257,884299,989685,939051,817277,744026,829474,819307,770228,831059,859494,658242,920145,672193,774383,855745,696501,665744,611314,876283,722229,697210,831696,674454,701855,679819,735428,762812,707917,683322,734903,637538,679860,702694,712544,692406,687631,661876,703204,765744,733790,865199,695092,671858,712448,810929,668759,687140,670116,746021,669258,673944,732989,691627,690282,700619,641495,632208,647171,702361,657910,662290,820894,799909,676903,719230,666371,647173,794276,733946,791209,665568,667355
810523,874107,872665,922312,848677,895602,868421,1074782,801050,907855,828739,955086,1033335,958594,830025,816542,834942,982151,1028302,1064793,1024304,1092987,1041806,999425,1074888,885488,1072189,1057437,793122,830107,994915,829923,908913,837232,807289,976356,860592,899247,1078416,1092175,828816,1067166,922128,1042561,930024,853051,885189,903792,807240,871678,841430,930731,822762,841566,811651,852347,1035012,777929,696871,779385,799473,856605,951934,835856,849287,811744,737594,828898,786109,815024,811182,797364,791533,778567,859555,773503,825132,973618,986197,822107,704817,981292,725107,873182,794581,725302,830930,762670,708244,855294,841496,822118,885536,872753,747935,702325,771608,773652,780971,814882,776354,804202,941298,912456,759169,806267,814807,839684,939022,906144,947936,815951,841912
839730,922615,947414,737854,856373,832395,838416,940698,904335,903020,1183000,836675,912995,745766,914781,918983,931249,1009973,917020,1027915,1028609,918015,1037833,1338626,1224815,922609,739061,1153592,837158,845670,1047173,806787,833856,1077652,889282,922588,873503,886610,1013537,970173,886431,1158783,1014378,1044710,1120755,1202285,781502,894415,854090,1073859,811149,986486,871954,872906,973548,861383,987565,895026,861178,843471,813099,916424,1092610,893218,902245,967973,1048969,837354,847314,869356,828687,884794,814611,873195,843985,928659,920383,977908,1034916,806130,875781,1116220,967992,894104,884592,1006380,946249,900991,770299,905657,871839,948265,902424,917072,860017,919896,834269,901563,876340,893332,890248,926697,1023496,985936,905222,875440,961216,908473,1049238,1140033,1080581,867758,865941
605375,622838,690736,687120,681607,717249,683004,753907,671420,647770,698718,674784,790145,708960,713802,696006,724613,712535,699452,873839,745000,749536,767216,741601,793757,594825,872354,775942,666683,590868,781930,623777,612876,1129929,750482,595918,610026,697831,694807,893565,614817,766546,669786,699246,794372,890155,663294,668088,628044,626087,604554,690797,661332,598331,752239,631866,721104,754338,595584,632525,659775,766218,784182,688812,642787,627312,812583,653224,680173,672976,721096,640216,666512,666635,666528,689309,724460,653951,705111,664845,665352,778948,633359,688087,786061,698701,734248,680993,609350,675980,655470,702266,744009,717868,643228,651036,763993,671528,692749,672723,649351,651845,772298,749692,673504,663152,702510,741645,835313,836413,810854,664435,667395
557131,638194,745460,679065,728598,741891,680397,697518,731089,699031,756365,743145,728655,680108,652747,727717,690332,792023,694852,737614,715587,786177,628286,734704,712093,575953,695265,751143,681708,686995,633696,645609,595710,660878,577822,791061,644381,647321,652215,670298,508233,704473,597611,565705,643488,620200,637957,597741,532549,506119,614628,661122,666242,502160,674454,538008,664012,511115,519030,696304,547229,691559,674417,638769,691065,720179,984182,655999,702366,670028,551451,587633,717513,608567,666832,548061,647046,776424,747514,718902,729235,718146,739318,549301,506163,685472,572089,701845,539875,703085,674377,678799,699562,677663,703693,495765,526446,658380,594516,679814,739204,663452,675088,651159,714431,686835,538762,517791,695294,751615,711993,692752,557612
666174,667811,745963,774647,797717,724386,659919,700600,701606,748712,714235,728645,678070,787683,713916,780502,720044,901586,711959,685566,653777,712120,666613,685384,726753,584276,685296,676223,672943,661701,667226,654221,606063,687043,530087,731297,658120,641289,653685,660836,572260,634918,635628,663085,624445,675533,591077,675872,546527,518036,650594,698275,680952,611281,719826,564825,661119,551106,539477,755865,596098,689502,699966,715698,701155,693487,717741,721749,754769,666503,471908,494659,717068,692049,698430,581874,705689,739371,739094,722890,699669,773076,684335,510509,524874,687374,557218,703060,520297,721597,715081,721768,710594,692300,664984,531559,531144,678271,625607,666191,667809,697058,707618,672435,638711,672038,556721,604219,684109,678015,715504,693485,563015
783148,819720,800439,821103,851380,796331,818302,767398,815258,781688,832060,836711,815658,894008,798969,909635,804239,958419,847937,748817,772431,782028,785971,780009,799127,647105,813014,811612,768410,784917,749097,756592,771334,772106,725764,771359,735179,784034,755861,750069,676573,730567,728835,711601,757988,752249,747674,725495,655803,649800,763056,754086,746892,673660,769750,691574,772068,634335,624100,868669,836974,802701,753615,749523,746345,756750,730683,775181,799552,763032,620966,615150,940916,860314,787065,663587,854565,871122,848742,808378,794780,795507,784449,673933,645277,805253,720453,781953,695776,804551,753499,754709,738817,761541,767179,648849,645336,755989,694237,735741,739459,805185,766374,750205,955235,801600,654011,650823,762481,759190,771950,771820,650299
