Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
731604.19,654616.19,753608.19,565969.19,707777.19,803921.19,686521.19,689585.19,664202.19,696608.19,573849.19,741873.19,701229.19,677001.19,697717.19,641890.19,695929.19,701988.19,728431.19,748076.19,681610.19,527250.19,732975.19,697241.19,807910.19,633508.19,693193.19,668685.19,716301.19,662022.19,677738.19,668008.19,660699.19,824536.19,663540.19,549038.19,740741.19,618871.19,724588.19,705554.19,716204.19,683818.19,685359.19,637439.19,665912.19,662512.19,616304.19,598926.19,662740.19,642255.19,642159.19,636229.19,592243.19,654060.19,630936.19,709674.19,650718.19,666235.19,683053.19,626178.19,627373.19,616034.19,632806.19,609652.19,628841.19,633499.19,650721.19,647365.19,646587.19,654978.19,684463.19,644073.19,579459.19,589870.19,609867.19,600863.19,622415.19,779731.19,705173.19,689884.19,649870.19,704450.19,651785.19,657181.19,653687.19,641200.19,662300.19,497882.19,662832.19,593801.19,619212.19,703114.19,737467.19,542569.19,621300.19,617584.19,666081.19,630138.19,648544.19,498373.19,658424.19,662011.19,664327.19,684422.19,599173.19,659897.19,688317.19,640145.19,663037.19,662324.19,679292.19,623619.19,650145.19
715192.73,698569.73,788578.73,657607.73,711814.73,714804.73,732205.73,798699.73,763206.73,652980.73,682694.73,746716.73,695190.73,737193.73,628862.73,658756.73,685844.73,698468.73,718126.73,704632.73,707050.73,532351.73,759319.73,819904.73,774134.73,795510.73,482865.73,778356.73,741571.73,685463.73,775502.73,622990.73,742230.73,796571.73,710914.73,666449.73,556990.73,724341.73,753016.73,762114.73,753739.73,748205.73,701136.73,717779.73,751170.73,758833.73,732282.73,687711.73,677814.73,707876.73,728214.73,772977.73,618403.73,696897.73,769092.73,786075.73,801896.73,755133.73,811565.73,765247.73,790319.73,746869.73,782617.73,747823.73,776241.73,758125.73,776284.73,725975.73,764662.73,764393.73,784657.73,803154.73,771189.73,754386.73,696308.73,789008.73,794457.73,596226.73,735965.73,813250.73,719678.73,716855.73,742581.73,769939.73,778892.73,746220.73,752010.73,508356.73,790732.73,688867.73,749590.73,754725.73,707809.73,735273.73,749198.73,746806.73,787729.73,717389.73,742994.73,566440.73,731220.73,796638.73,801303.73,764282.73,783871.73,729735.73,790014.73,792340.73,786878.73,789024.73,800922.73,722568.73,761431.73
805120.28,804300.28,799999.28,698056.28,821166.28,846432.28,840590.28,864502.28,925764.28,879693.28,791466.28,847968.28,930304.28,955537.28,838803.28,846513.28,951091.28,786391.28,865111.28,918957.28,869293.28,756182.28,952710.28,921877.28,998589.28,969220.28,922754.28,928525.28,800116.28,880599.28,960110.28,896204.28,820467.28,831931.28,940166.28,645879.28,866465.28,900416.28,854515.28,852060.28,852073.28,821363.28,861767.28,856111.28,873851.28,971270.28,733405.28,823228.28,863160.28,934799.28,921816.28,925319.28,894327.28,923011.28,968003.28,978365.28,976659.28,920147.28,953072.28,907488.28,915486.28,912088.28,943895.28,927100.28,899302.28,940452.28,931227.28,868539.28,937209.28,946859.28,991825.28,933425.28,929488.28,891947.28,807486.28,937547.28,925626.28,794928.28,841049.28,799197.28,916990.28,866432.28,901747.28,890686.28,928157.28,926913.28,844285.28,601415.28,930773.28,816330.28,917244.28,893950.28,885375.28,879895.28,908149.28,954165.28,940256.28,954364.28,958105.28,762558.28,881172.28,907162.28,946432.28,943382.28,902873.28,914408.28,943529.28,951885.28,1007061.28,990093.28,909312.28,922242.28,935590.28
844109.37,885574.37,925188.37,847662.37,841265.37,966119.37,1108968.37,968810.37,976055.37,802954.37,928419.37,943485.37,939154.37,1012061.37,896928.37,906705.37,987060.37,886527.37,917071.37,911644.37,899833.37,937973.37,1017689.37,1108096.37,1048487.37,921170.37,1093327.37,973289.37,920326.37,980760.37,1014076.37,997465.37,967910.37,997552.37,949601.37,841110.37,1055413.37,988559.37,970210.37,967522.37,978745.37,1008709.37,995006.37,916609.37,957705.37,858081.37,881655.37,909251.37,964864.37,935914.37,874351.37,941442.37,909398.37,944720.37,919671.37,957128.37,948777.37,932791.37,943543.37,841395.37,961457.37,931178.37,953266.37,920642.37,923329.37,919874.37,961341.37,978576.37,1000625.37,987243.37,977700.37,989018.37,940326.37,985556.37,940581.37,978658.37,959544.37,1046264.37,925368.37,959457.37,943225.37,953426.37,951937.37,984835.37,995312.37,991038.37,998536.37,955585.37,1015634.37,943101.37,973887.37,964290.37,910783.37,963721.37,1000435.37,1002555.37,996949.37,956699.37,947204.37,958740.37,958907.37,978970.37,991934.37,989781.37,969927.37,951048.37,989207.37,1003994.37,967613.37,982164.37,973427.37,971879.37,1022284.37
798677.47,796186.47,757044.47,752097.47,760462.47,863791.47,854113.47,880967.47,764738.47,795219.47,752694.47,805031.47,850390.47,794005.47,976440.47,801101.47,804743.47,850106.47,798810.47,835589.47,833304.47,841115.47,865294.47,856637.47,906408.47,824492.47,861457.47,873921.47,889668.47,888816.47,840615.47,836417.47,815361.47,846797.47,801591.47,1072825.47,863596.47,878667.47,879415.47,880227.47,845205.47,816823.47,774438.47,786137.47,779839.47,798424.47,797676.47,776573.47,795886.47,791293.47,772708.47,786435.47,679770.47,809226.47,862701.47,891739.47,844277.47,828800.47,827398.47,781390.47,845090.47,822442.47,829650.47,800177.47,803174.47,817158.47,836935.47,812832.47,833110.47,830929.47,846488.47,834710.47,828720.47,821782.47,797591.47,822483.47,792944.47,843403.47,846412.47,881982.47,953984.47,818454.47,834699.47,802179.47,820588.47,834146.47,812662.47,772575.47,815393.47,780443.47,763855.47,810977.47,802198.47,798917.47,792422.47,814463.47,820208.47,788972.47,828246.47,816410.47,801654.47,810438.47,825799.47,796559.47,853264.47,803528.47,806999.47,825533.47,857329.47,830114.47,833964.47,796423.47,834835.47
958372.47,862824.47,801508.47,818671.47,837042.47,911078.47,911448.47,922789.47,817459.47,909994.47,818853.47,903979.47,1022097.47,821857.47,952030.47,883942.47,877146.47,958163.47,890152.47,820065.47,921024.47,868258.47,857963.47,985850.47,911795.47,910981.47,823031.47,934249.47,941873.47,912572.47,938032.47,923492.47,903890.47,912525.47,901757.47,777791.47,890273.47,908970.47,902941.47,899382.47,890994.47,879052.47,907662.47,873756.47,824614.47,847858.47,831078.47,847363.47,841433.47,903229.47,851567.47,909080.47,803029.47,904143.47,927759.47,915263.47,904621.47,907657.47,938395.47,911470.47,906015.47,871543.47,901382.47,883575.47,904531.47,878047.47,920913.47,928753.47,924617.47,908764.47,955570.47,926787.47,912630.47,899540.47,953584.47,955746.47,854072.47,1099626.47,941217.47,918855.47,807320.47,885477.47,881067.47,895372.47,897547.47,934597.47,912873.47,850576.47,910582.47,864139.47,861376.47,884653.47,866716.47,878478.47,860332.47,889712.47,894458.47,863812.47,902916.47,877750.47,878015.47,913983.47,935662.47,882932.47,921768.47,896712.47,944180.47,937090.47,970563.47,939258.47,904585.47,922621.47,961052.47
850861.56,761880.56,735016.56,754165.56,738562.56,858951.56,835018.56,830038.56,812208.56,896526.56,812464.56,826341.56,878907.56,713629.56,833022.56,872848.56,758971.56,911526.56,891789.56,763360.56,868733.56,776545.56,830036.56,937375.56,776099.56,808274.56,764147.56,811685.56,961511.56,869968.56,917357.56,889088.56,901807.56,897933.56,883927.56,751297.56,712215.56,867193.56,924969.56,854994.56,876488.56,910441.56,867078.56,866441.56,785032.56,863494.56,760229.56,775787.56,837501.56,780042.56,791067.56,814348.56,846885.56,851581.56,889029.56,853384.56,874697.56,885782.56,870359.56,862410.56,881334.56,857413.56,869034.56,848791.56,844862.56,867344.56,900240.56,922070.56,877980.56,907119.56,936030.56,924167.56,889866.56,865164.56,768127.56,910622.56,877882.56,946200.56,873624.56,885157.56,855284.56,879105.56,897447.56,868137.56,882395.56,924686.56,887187.56,879815.56,911306.56,861939.56,846941.56,890801.56,873850.56,830242.56,880462.56,899503.56,896863.56,867856.56,879863.56,890381.56,872752.56,894527.56,899873.56,883430.56,932841.56,885216.56,867281.56,918833.56,902527.56,927264.56,920157.56,896353.56,919496.56
835543.02,853893.02,808822.02,768744.02,776673.02,873946.02,842405.02,903560.02,828481.02,868765.02,804585.02,829931.02,841588.02,854309.02,803158.02,890619.02,756211.02,895621.02,826658.02,781360.02,929328.02,840444.02,869552.02,847587.02,800265.02,826471.02,803755.02,813214.02,871749.02,913175.02,898528.02,910396.02,857217.02,912857.02,892746.02,982048.02,803083.02,869827.02,951066.02,869757.02,848630.02,818576.02,831281.02,900129.02,876732.02,735133.02,827779.02,833864.02,835647.02,738294.02,807586.02,776550.02,772470.02,759111.02,828635.02,776153.02,803335.02,769829.02,829295.02,818431.02,834315.02,789956.02,854759.02,823696.02,787727.02,778314.02,833128.02,869787.02,855669.02,903774.02,950875.02,847831.02,864851.02,821977.02,869718.02,861858.02,796340.02,794182.02,793415.02,893264.02,826142.02,863093.02,823487.02,841705.02,853645.02,888386.02,852131.02,833826.02,899663.02,874173.02,832695.02,870094.02,860478.02,853981.02,835671.02,858030.02,872548.02,847032.02,891329.02,822612.02,855823.02,889847.02,869520.02,898104.02,916113.02,869388.02,883622.02,883245.02,886655.02,927533.02,901359.02,897287.02,913592.02
628690.47,691936.47,605553.47,632408.47,667559.47,682511.47,673442.47,707530.47,634584.47,644473.47,615018.47,628222.47,658147.47,586262.47,598751.47,651026.47,571292.47,705272.47,655501.47,661199.47,709262.47,766140.47,696123.47,706472.47,604882.47,642818.47,660828.47,643716.47,681090.47,757328.47,766002.47,734822.47,712000.47,326566.47,717865.47,758868.47,729253.47,751061.47,753587.47,749317.47,757948.47,756325.47,709133.47,769573.47,666415.47,656674.47,685483.47,626489.47,649780.47,673286.47,623361.47,668397.47,665723.47,651365.47,651365.47,713275.47,649002.47,624239.47,675097.47,646724.47,643564.47,638064.47,711604.47,643097.47,699866.47,674142.47,728987.47,708814.47,689107.47,689083.47,588755.47,667159.47,692959.47,660677.47,618213.47,646562.47,675715.47,671139.47,661756.47,659625.47,685350.47,693563.47,718894.47,687090.47,688605.47,718130.47,710478.47,674624.47,700628.47,679622.47,669516.47,627291.47,735836.47,714165.47,696689.47,702948.47,710107.47,693136.47,670281.47,684963.47,693962.47,713464.47,714012.47,704326.47,729608.47,688417.47,727854.47,748509.47,740850.47,743766.47,741341.47,697524.47,739614.47
469088.47,413057.47,562484.47,554553.47,418649.47,502846.47,520038.47,481570.47,534987.47,517215.47,535845.47,417730.47,526227.47,380610.47,550038.47,528680.47,422751.47,528821.47,518436.47,447532.47,561781.47,555838.47,477040.47,419817.47,427046.47,463374.47,401927.47,588530.47,472696.47,609966.47,588436.47,578625.47,571399.47,567968.47,608295.47,622319.47,569604.47,572890.47,612568.47,673831.47,587260.47,594648.47,502759.47,550468.47,526174.47,520428.47,487661.47,458383.47,503842.47,499595.47,528515.47,486539.47,465312.47,489795.47,520304.47,495337.47,536727.47,452613.47,491587.47,464622.47,489058.47,498353.47,506572.47,497363.47,484108.47,485098.47,484507.47,515280.47,492812.47,490534.47,523306.47,526796.47,476249.47,466470.47,514315.47,504210.47,494752.47,419601.47,539615.47,467168.47,458037.47,480434.47,507961.47,533260.47,537881.47,546015.47,530251.47,512335.47,534013.47,494690.47,470376.47,492650.47,492386.47,511140.47,509959.47,507256.47,503063.47,509235.47,462034.47,477525.47,471804.47,519796.47,526460.47,528071.47,531280.47,501789.47,521616.47,549587.47,553681.47,546646.47,545449.47,544687.47,539846.47
