Run0,Run1,Run2,Run3,Run4,Run5
181474.88,104486.88,178478.88,15839.88,157647.88,253791.88
2506.48,-14116.52,50892.48,-55078.52,-871.52,2118.48
-18879.17,-19699.17,-49000.17,-125943.17,-2833.17,22432.83
-62597.89,-21132.89,-6518.89,-59044.89,-65441.89,59412.11
-8199.83,-10690.83,-74832.83,-54779.83,-46414.83,56914.17
79888.02,-15659.98,-101975.98,-59812.98,-41441.98,32594.02
-74716.16,-163697.16,-215561.16,-171412.16,-187015.16,-66626.16
-51266.47,-32916.47,-102987.47,-118065.47,-110136.47,-12863.47
-125699.07,-62453.07,-173836.07,-121981.07,-86830.07,-71878.07
-234426.93,-290457.93,-166030.93,-148961.93,-284865.93,-200668.93
66716.84,5653.84,80079.84,106455.84,107699.84,27605.84
72211.34,111714.34,100753.34,105985.34,90488.34,74745.34
125278.58,199270.58,36631.58,178439.58,274583.58,132183.58
-15156.52,49852.48,-56118.52,-1911.52,1078.48,-6520.52
-20739.17,-50040.17,-126983.17,-3873.17,21392.83,-9449.17
-22172.89,-7558.89,-60084.89,-66481.89,58372.11,176221.11
-11860.83,-76002.83,-55949.83,-47584.83,55744.17,21066.17
-16829.98,-103145.98,-60982.98,-42611.98,31424.02,6794.02
-164867.16,-216731.16,-172582.16,-188185.16,-67796.16,-116729.16
-34086.47,-104157.47,-119235.47,-111306.47,-14033.47,-70574.47
-63493.07,-174876.07,-123021.07,-87870.07,-72918.07,-106987.07
-291497.93,-167070.93,-150001.93,-285905.93,-201708.93,-209516.93
4613.84,79039.84,105415.84,106659.84,26565.84,109990.84
110674.34,99713.34,104945.34,89448.34,73705.34,83011.34
199270.58,36631.58,178439.58,274583.58,132183.58,126914.58
49852.48,-56118.52,-1911.52,1078.48,-6520.52,51640.48
-50040.17,-126983.17,-3873.17,21392.83,-9449.17,6129.83
-7558.89,-60084.89,-66481.89,58372.11,176221.11,27730.11
-76002.83,-55949.83,-47584.83,55744.17,21066.17,39587.17
-103145.98,-60982.98,-42611.98,31424.02,6794.02,9801.02
-216731.16,-172582.16,-188185.16,-67796.16,-116729.16,-130042.16
-104157.47,-119235.47,-111306.47,-14033.47,-70574.47,-17752.47
-174876.07,-123021.07,-87870.07,-72918.07,-106987.07,-81232.07
-167070.93,-150001.93,-285905.93,-201708.93,-209516.93,-256318.93
79039.84,105415.84,106659.84,26565.84,109990.84,108179.84
99713.34,104945.34,89448.34,73705.34,83011.34,135824.34
36631.58,178439.58,274583.58,132183.58,126914.58,134864.58
-55560.19,-1353.19,1636.81,-5962.19,52198.81,50038.81
-126983.17,-3873.17,21392.83,-9449.17,6129.83,100724.83
-60084.89,-66481.89,58372.11,176221.11,27730.11,68308.11
-55949.83,-47584.83,55744.17,21066.17,39587.17,-43308.83
-60982.98,-42611.98,31424.02,6794.02,9801.02,-62194.98
-172582.16,-188185.16,-67796.16,-116729.16,-130042.16,-114539.16
-119235.47,-111306.47,-14033.47,-70574.47,-17752.47,-59498.47
-123021.07,-87870.07,-72918.07,-106987.07,-81232.07,-120845.07
-150001.93,-285905.93,-201708.93,-209516.93,-256318.93,-169567.93
105415.84,106659.84,26565.84,109990.84,108179.84,106231.84
104945.34,89448.34,73705.34,83011.34,135824.34,76100.34
178439.58,274583.58,132183.58,126914.58,134864.58,167270.58
-1911.52,1078.48,-6520.52,51640.48,49480.48,-60745.52
-3873.17,21392.83,-9449.17,6129.83,100724.83,54653.83
-66481.89,58372.11,176221.11,27730.11,68308.11,-104792.89
-47584.83,55744.17,21066.17,39587.17,-43308.83,-12827.83
