Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
3586.81,3588.69,3586.78,3588.34,3587.26,3587.39,3587.14,3588,3588.12,3586.94,3588.38,3586.69,3587.74,3587.12,3587.99,3588.53,3587.95,3587.68,3587.3,3586.85,3588.1,3587.29,3588.23,3587.83,3587.51,3586.68,3587,3586.94,3586.98,3586.71,3587.31,3586.4,3587.44,3587.27,3586.53,3587.65,3588.19,3588.1,3587.7,3587.32,3587.72,3587.3,3587.68,3587.31,3588.26,3587.28,3589.23,3587.84,3586.95,3586.52,3588.01,3586.96,3587.68,3586.87,3587.12,3586.38,3588.29,3585.95,3586.48,3587.35,3587.61,3586.64,3587.26,3588.38,3587.24,3588.06,3588.64,3588.27,3587.88,3587.54,3587.1,3586.92,3587.77,3587.81,3588.6,3587.16,3586.84,3588.35,3587.03,3588.82,3588.54,3588.02,3586.9,3586.25,3586.82,3587.09,3586.7,3589.25,3587.48,3587.25,3587.42,3588.8,3588.79,3588.45,3587.69,3587.11,3586.57,3586.83,3586.86,3590.51,3587.79,3587.1,3587.33,3587.62,3587.74,3586.89,3587.68,3586.11,3587.01,3587.63,3587.48,3588.6,3586.73
3582.93,3586.26,3583.39,3585.14,3585.28,3584.7,3583.07,3584.64,3585.61,3583.63,3586.01,3583.27,3584.46,3583.2,3586.55,3586.44,3585.82,3584.09,3585.49,3584.24,3584.98,3584.01,3585.6,3584.82,3585.28,3583.14,3585.27,3582.44,3582.73,3582.7,3584.3,3584.11,3584.15,3583.34,3582.43,3584.67,3585.46,3585.16,3584.92,3583.76,3584.22,3584.23,3584.75,3583.76,3585.58,3584.11,3586.65,3584.44,3582.94,3581.99,3584.43,3582.9,3585.22,3582.74,3583.5,3582.43,3588.77,3582.05,3581.96,3583.71,3584.19,3582.8,3584.08,3585.8,3583.44,3585.47,3586.17,3586.48,3584.63,3584.25,3584.49,3582.74,3584.14,3584.79,3587.85,3583.21,3583.53,3586.5,3584.95,3586.76,3587.97,3587.45,3584.12,3582.78,3582.51,3583.89,3583.89,3587,3583.74,3583.87,3584.92,3586.08,3586.28,3585.89,3584.59,3583.3,3582.1,3582.54,3582.86,3589.01,3584.06,3584.36,3584.54,3584.26,3584.46,3583.08,3584.47,3581.92,3583.53,3585.55,3584.45,3587.26,3582.74
3582.24,3586.51,3581.07,3583.8,3588.77,3583.92,3579.45,3581.63,3586.24,3580.29,3590.01,3580.25,3582.47,3581.41,3584.83,3587.15,3585.77,3580.57,3582.86,3581.63,3583.03,3581.54,3584.89,3585.45,3582.76,3579.49,3583.15,3579.34,3578.4,3578.12,3580.97,3582.51,3583.7,3582.1,3578.38,3582.27,3584.06,3582.54,3582.13,3579.71,3581.44,3582.5,3582.41,3582.03,3583.98,3580.86,3583.55,3580.76,3578.68,3579.81,3581.95,3579.44,3583.41,3578.29,3580.47,3577.86,3587.84,3579.16,3577.3,3579.8,3584.28,3579.72,3580.81,3583.64,3579.68,3583,3585.27,3587.06,3583.56,3582.02,3581.62,3577.74,3582.04,3583.82,3586.58,3579.25,3581.67,3587.66,3584.21,3589.53,3589.66,3588.94,3582.69,3581.72,3578.46,3580.75,3581.8,3586.77,3581.72,3583,3581.82,3587.6,3585.69,3583.93,3581.8,3580.94,3577.99,3579.25,3580.69,3587.41,3581.24,3584.81,3582.59,3581.18,3582.17,3580.98,3582.94,3577.25,3580.6,3583.58,3582.46,3590.19,3579.05
3583.49,3593.24,3579.24,3584.23,3593.88,3582.56,3577.54,3587.39,3590.24,3582.67,3595.03,3586.14,3581.4,3583.41,3584.41,3586.65,3586.49,3584.09,3586.32,3582.98,3587.13,3584.08,3584.52,3589.93,3586.96,3577.28,3588.12,3574.7,3579.97,3574.35,3580.36,3583.49,3586.89,3583.02,3576.48,3581.49,3597.44,3586.04,3579.26,3575.6,3581.04,3580.74,3586.04,3582.96,3583.97,3576.82,3594.31,3576.68,3575.58,3577.2,3581.75,3579.35,3587.05,3573.84,3585.11,3574.28,3597.89,3576.82,3572.57,3582.56,3584.48,3576.75,3576.28,3588.97,3576.76,3586.1,3582.69,3588.58,3583.29,3580.65,3578.7,3573.01,3584.71,3588.89,3589.18,3576.38,3582.04,3590.24,3589.34,3604.9,3603.08,3594.93,3583.28,3582.7,3575.34,3577.68,3583.16,3590.68,3578.95,3582.99,3584.26,3593.56,3590.55,3583.84,3582.81,3579.36,3574.98,3576.77,3581.33,3592.12,3585.44,3586.61,3583.1,3580.92,3583.55,3583.12,3584.19,3572.76,3580.74,3580.82,3581.84,3598.84,3576.35
3598.9,3604.56,3578.81,3601.86,3605.05,3597.56,3596.63,3597.87,3613.9,3590.13,3614.03,3606.62,3591.77,3594.68,3620.09,3609.99,3610.56,3602.61,3597.92,3587.78,3600.72,3606.69,3607.65,3611.29,3589.69,3576.96,3611.43,3573.69,3586.14,3574.02,3597.37,3601.52,3604.84,3593.35,3584.02,3614.01,3613.65,3593.08,3593.69,3587.28,3582.11,3596.82,3603.7,3599.04,3586.95,3579.53,3624.66,3575.9,3575.79,3580.61,3591.29,3592.53,3611.98,3573.13,3588.15,3574.11,3617.6,3578.55,3576.45,3601.54,3589.49,3578,3580.08,3603.52,3595.13,3591.89,3582.31,3611.46,3596.18,3589.34,3582.23,3568.89,3593.85,3609.72,3610.51,3574.71,3593.48,3609.95,3627.67,3634.62,3627.18,3610.45,3586.93,3583.69,3573.56,3580.92,3589.35,3617.12,3583.04,3595.18,3600.59,3618.2,3607.09,3591.71,3591.21,3587.55,3571.65,3581.76,3584.19,3611.95,3597.48,3593.08,3600.13,3599.46,3587.74,3601.43,3583,3574.93,3590.81,3583.8,3590.6,3614.48,3578.93
3618.97,3627.6,3581.32,3635.23,3610.83,3610.1,3625.51,3600.5,3642.01,3600.34,3628.39,3643.73,3611.23,3598.46,3651.99,3650.46,3634.14,3622.16,3611.2,3590.03,3614.89,3618.2,3622.27,3634.01,3597.57,3577.62,3624.67,3592.25,3587.71,3591.48,3602.69,3609.34,3625.57,3592.92,3585.01,3631.18,3633.03,3598.93,3610.2,3596.45,3584.76,3607.13,3614.64,3620.09,3595.68,3588.87,3652.11,3587.59,3573.22,3580.84,3600.43,3623.29,3629.55,3577.25,3595.58,3575.91,3627.12,3577.12,3580.77,3621.44,3587.92,3588.34,3598,3606.06,3608.18,3606.69,3589.91,3631.24,3603.52,3611.01,3585.08,3563.61,3612.41,3632.2,3632.36,3575.52,3608.51,3645.79,3657.35,3652.84,3648.24,3614.79,3591,3581.36,3575.06,3587.24,3589.45,3638.62,3583.82,3625.91,3611.11,3644.05,3617.45,3604.51,3592.84,3588.37,3567.15,3588.56,3582.28,3627.97,3600.14,3592.13,3618.26,3607.36,3598.87,3632.41,3579.05,3573.85,3601.55,3596.36,3600.63,3625.84,3577.37
3626.44,3647.18,3581.22,3649.97,3608.9,3612.47,3634.57,3599.28,3650.93,3602.57,3633.49,3662.1,3613.68,3597.19,3661.74,3657.14,3636.92,3629.63,3610.74,3589.06,3615.21,3627.43,3624.94,3640.48,3593.77,3573.94,3630.95,3592.63,3587.14,3594.28,3600.46,3609.58,3629.97,3588.44,3580.4,3635.64,3634.06,3599.65,3612.43,3598.56,3582.03,3611.46,3612.1,3624.95,3596,3591.48,3655.3,3585.39,3568.34,3576.09,3596.08,3645.49,3626.8,3574.41,3592.86,3570.63,3629.58,3570.87,3577.83,3632.11,3582.19,3587.76,3595.41,3606.61,3609.19,3609.6,3586.48,3637.22,3602.72,3623.63,3581.2,3556.63,3616.66,3637.66,3633.41,3570.22,3613.99,3661.82,3667.91,3654.67,3655.82,3609.26,3587.61,3574.66,3570.04,3584.45,3584.39,3641.89,3578.63,3645.91,3610.74,3647.36,3619.96,3607.38,3587.24,3583.21,3559.57,3584.29,3576.24,3628.21,3595.56,3586.68,3622.07,3605.43,3594.86,3647.68,3572.31,3567.72,3597.64,3593.8,3597.21,3624.52,3571.05
3628.27,3650.03,3577.04,3652.89,3605.32,3608.53,3634.13,3593.31,3650.64,3597.92,3637.24,3663.28,3608.7,3593.14,3661.43,3661.05,3634.99,3631.38,3606.03,3583.37,3610.5,3626.05,3620.6,3645.79,3595.18,3567.43,3630,3585.29,3582.33,3590.08,3596.98,3604.86,3627.11,3579.68,3573.36,3633.73,3630.7,3597.25,3606.94,3596.84,3577.13,3610.38,3606.78,3620.46,3588.42,3585.31,3654.18,3581.78,3561.74,3570.85,3590.44,3648.97,3622.2,3568.19,3584.81,3564.01,3624.76,3565.03,3573.02,3632.58,3575.3,3582.35,3592.92,3602.06,3605.37,3606.34,3579.3,3634.14,3597.53,3620.9,3574.89,3549.18,3612.68,3634.88,3628.68,3562.66,3614.68,3664.52,3669.89,3652.62,3654.36,3604.22,3580.87,3568.01,3562.27,3578.68,3578.19,3638.82,3572.55,3646.46,3605.65,3647.24,3617.74,3608.24,3580.14,3577.11,3551.32,3577.69,3568.83,3624.26,3590.36,3581.48,3616.87,3598.69,3591.17,3647.19,3565.47,3561.68,3592.4,3585.96,3590.33,3620.86,3564.5
3633.92,3650.99,3576.38,3657.33,3604.11,3607.55,3633.71,3590.93,3651.22,3594.85,3638.13,3663.49,3606.08,3592.13,3660.92,3662.77,3633.68,3633.8,3602.47,3584.43,3606.43,3635.3,3617.66,3651.99,3592.69,3562.98,3630,3580.74,3576.87,3588.94,3595.07,3602.47,3629.28,3575.94,3570.18,3633.55,3627.9,3595.7,3602.23,3593.07,3574.1,3608.35,3602.37,3616.57,3582.57,3581.12,3653.21,3578.13,3557.87,3566.24,3586.5,3650.88,3619.33,3563.53,3579.11,3563.6,3621.1,3563.66,3568.53,3633.62,3570.7,3578.14,3588.36,3601.06,3606.18,3605.27,3575.53,3632.32,3594.02,3619.15,3571,3544.64,3610,3632.4,3627.74,3559.95,3616.87,3664.67,3669.85,3651.32,3655.93,3600.83,3577.44,3562.35,3558.43,3577.77,3574.68,3637.52,3569.27,3644.75,3603.21,3651.28,3617.22,3610.21,3575.87,3573.54,3549.07,3575.52,3564.59,3621.63,3587.17,3578.27,3612.99,3594.52,3587.77,3647.02,3560.63,3563.37,3590.99,3581.12,3586.4,3618.09,3560.41
3634.74,3650.57,3573.43,3658.48,3602.61,3610.29,3633.38,3590.33,3652.85,3592.62,3643.76,3662.69,3604.96,3588.57,3660.03,3661.7,3631.13,3633.85,3599.48,3588.07,3603.98,3638.18,3617.32,3653.38,3591.75,3562.28,3627.6,3577.44,3571.66,3585.82,3592.29,3600.24,3628.36,3571.66,3571.14,3642.02,3625.23,3592.78,3599.11,3591.49,3572.54,3608.66,3599.38,3614.92,3580.1,3578.51,3651.21,3574.04,3557.71,3562.88,3582.03,3651.26,3616.11,3562.5,3575.18,3565.52,3619.54,3562.02,3565.7,3634.86,3568.14,3573.81,3585.99,3600.99,3605.1,3605.22,3579.94,3630.37,3590.86,3616.94,3569.52,3541.92,3607.16,3629.42,3624.95,3560.34,3617.99,3665.43,3670.69,3653.05,3659.36,3599.54,3573.71,3559.29,3557.82,3573.99,3572.78,3636.41,3567.99,3643.86,3601.33,3653.01,3616.94,3608.78,3572.51,3570.62,3547.57,3571.66,3564.41,3621.18,3593.76,3576.15,3610.59,3591.36,3585.91,3646.44,3558.12,3562.94,3591.61,3579.82,3584.17,3616.31,3560.11
