Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
301133,482598,298078,448620,344626,356607,332553,415816,427246,313683,452018,289107,390927,330411,414249,466830,410534,384920,348143,304789,425328,347181,437643,399523,368519,288416,318986,313825,317112,291223,349116,261119,361549,344720,274094,381859,433902,425292,386866,350432,389028,347895,384258,348538,440587,346461,535379,400247,314668,273261,416159,315296,384956,306374,330569,259476,443624,218046,269468,353224,377513,284176,344302,452745,341810,421055,477333,442193,404294,371110,328944,311466,393787,396964,473750,334189,303742,449223,321864,495151,467601,417346,309570,247076,301468,328244,290732,536853,365817,343328,360055,493420,491933,459582,385767,329598,278118,302601,305957,659896,395067,328691,351130,379068,390212,308078,384491,233498,320415,379393,364943,473449,293161
318488,453095,364697,380171,497725,430531,300029,365106,446605,371945,460179,362737,372730,314501,549527,486249,482733,343723,513729,437948,388438,374395,434965,398385,473370,351284,521997,259436,283595,306490,399658,469343,373285,313432,297949,401722,424974,405516,421382,347245,352611,394089,407441,349460,429715,384122,437471,361705,305741,258201,344731,300978,451658,295646,342550,313433,734694,318460,259194,339740,361250,323474,383779,439415,325335,439593,449867,515140,376312,372846,437654,290597,339568,398722,614769,311222,372217,509784,488400,488596,633267,632349,422356,357820,278735,381532,419346,470122,329979,364881,447475,425544,445733,440412,390977,324352,263472,280006,306681,541936,331489,426086,420956,365911,373778,325375,380868,291342,356000,488103,398599,558101,308531
657556,746873,504935,595776,1058294,648946,385692,439135,782855,409964,1109808,440193,534930,554892,558748,791383,718545,393388,473979,477466,538128,490180,655541,783514,484932,381739,521989,434810,320822,297912,409621,571868,679836,606506,346864,496946,590592,475038,458521,344323,460773,559747,501757,559619,570917,418170,428218,377540,326723,519505,489195,400508,551195,309368,438786,298373,632481,454228,292164,356838,730953,434875,415865,517075,371763,488121,637084,778112,621308,512942,452843,258524,525600,630802,600619,353631,548370,834067,652946,991308,887461,867887,587963,623767,346901,428469,525836,701239,532879,640118,430224,869017,666640,536636,459499,502385,341582,416494,520327,567867,457414,765012,538327,433824,507209,526385,577846,291069,448054,535946,534421,1008188,379172
778122,1318524,490919,700763,1164900,531537,483375,1317707,1048586,881557,1158992,1214462,670629,847822,620571,612516,729079,989887,989096,897085,1160442,898663,735092,1203370,1169663,457061,1134832,347398,804110,317562,713781,753003,965066,793418,486841,587056,1974483,991584,503634,394568,699569,606217,1114472,857628,712863,394553,1706979,284237,377269,430038,641830,651383,1006730,306399,1152361,335305,1770025,445503,328830,917204,679521,387172,353812,1171586,392002,954566,491415,808427,634175,532529,463403,232706,912117,1146062,912741,397671,694557,912197,1153530,2223912,2018904,1363443,808014,751986,375034,487518,787708,1040427,512889,660068,890326,1245593,1131673,652084,754405,580963,386171,433155,718810,1120800,1055884,832918,817815,745836,789365,859854,778168,286546,782906,511835,689543,1527793,412895
2171526,1816977,613125,2408118,1804849,2122635,2491669,1814512,3124359,1370444,2665293,2728965,1769953,1751179,4384116,3042784,3120693,2498966,1802336,1231829,2133368,2932310,3113202,2987009,1039412,623153,3058506,681255,1234182,622184,2427790,2441351,2466064,1702816,1351351,3972175,2378994,1341492,2159375,1863183,836712,2336814,2548251,2356214,1010350,976707,3951086,581882,670697,964914,1568992,1914372,3222772,578978,1040882,637386,2896274,810651,1070508,2532106,1135888,767185,1116825,2126382,2411776,1217815,695074,3016843,1913541,1480911,1027849,289804,1545144,2797280,2854520,501663,1759543,2690928,4798625,4066187,3352556,2401212,1087518,746546,492343,1058966,1247962,3442475,1151377,1840584,2272763,3280445,2351100,1414602,1463419,1477413,355739,1112794,922241,2725149,1842401,1286588,2455565,2589569,1054440,2468141,541183,857152,1736949,1023911,1595096,2329444,888042
2873410,3294524,928819,4507610,1326280,2022256,3864277,1104440,4074746,1726241,2363390,5088687,2857212,1083084,4700880,5619787,3446199,2857044,2105169,1049456,2359215,1973019,2469855,3484615,1618218,755836,2208455,2575732,849250,2337793,1383151,1533522,3022986,750948,791164,2703791,2970605,1291389,2554812,1736859,937166,1908936,2020838,3119665,1614862,1594945,4188875,1789639,464851,715735,1622698,4013784,2729405,1056470,1465114,856299,1944946,564617,1053871,2885568,546363,1670287,2565897,971909,2058741,2222598,1453238,2992651,1457864,2938700,975015,241672,2648526,3299484,3233397,767663,2259713,5001158,4555239,3087236,3369157,1316055,1114083,478360,829548,1346447,708171,3280896,784812,4056867,1821853,3857572,1844781,2007287,860538,812418,302199,1345027,517255,2542912,973726,605776,2799294,1664391,1807162,4203734,329536,588214,1918267,1983854,1832607,2009381,553105
1676663,3278727,784424,2723433,593459,1062864,1908315,822296,1996151,1032213,1432857,3328956,1223010,669983,2180771,1737284,1161170,1693945,753774,818078,988837,1881095,1268726,1775439,563003,459663,1561820,851747,740391,1075583,716782,829884,1336940,367296,361794,1362807,939919,874072,1196540,1162244,485265,1420299,672830,1520982,851796,1009645,1259140,584436,362062,355236,355399,3562881,481284,524743,473959,321697,1254775,232850,477992,2078125,250192,740415,657716,861718,912801,1115802,464973,1552449,717021,2231254,383644,213575,1278246,1491512,941584,320783,1404369,3020012,2340949,1072905,1850696,345720,397714,179656,345543,483915,308795,1233536,226176,3312371,764498,1253456,1092769,1107806,248910,248212,152505,386007,236697,839323,332684,265586,1392737,744163,392973,2763689,183423,240915,545123,642401,588058,654619,225608
1078911,1249265,458010,1265760,469941,424693,808108,396029,832014,370421,1330526,1045750,460403,441733,831638,1424520,622400,1073917,346475,470364,486382,696555,505332,1707404,1140708,269652,746393,359556,388277,432310,644395,346571,517879,241741,202031,627328,451328,604242,408012,824818,367227,887491,427545,488383,373307,570968,717583,503755,279580,372003,287027,1330232,319984,281947,215249,270314,436830,336104,360993,920668,210170,330776,772400,371215,443734,502605,380968,480304,315668,542417,278374,249296,412018,516355,286927,192488,931987,1264458,1174180,591837,672340,464190,278472,255939,177132,399218,266109,473987,203814,940976,304263,853455,603850,945742,174308,300094,176484,229290,184394,391979,330589,352454,413795,299687,481227,804520,246931,316148,474200,319387,347619,433410,275596
1345109,794806,579424,1280496,519247,543188,606546,517051,744125,334777,771810,700245,475718,543238,597048,916377,496633,955044,271665,863115,318052,1780008,426031,1599902,503641,258773,657053,347659,136324,532577,560667,397143,915639,439871,358073,635568,318930,488189,259109,375122,307251,536973,289808,318565,308419,431672,533056,302779,317494,236161,260953,922166,323594,230211,216763,600958,336012,520176,208229,785976,229422,249518,321413,543386,733874,534277,440478,434676,291092,452511,329631,286443,357296,353295,543537,410954,896570,693438,667203,489383,882508,401713,284574,156232,318033,545587,321880,496334,282510,438541,390862,1205528,593392,862240,248724,286029,457729,442902,273656,348871,333178,343965,327566,331964,311665,640910,230408,767238,612288,357777,396650,336674,294348
781885,628518,402261,847144,516051,970596,640344,611011,906295,448553,1403973,574323,554381,321531,561744,534357,367572,686947,362756,1017969,414100,1042243,637805,875276,577826,446430,390642,363978,200425,368134,393143,440706,568868,285480,590005,1749100,361652,379484,348986,513635,367976,707209,363520,490969,438345,427210,414791,296586,490315,220747,244796,737000,312087,418378,310363,667474,498102,367524,263085,833943,282609,276044,441418,664501,558809,668534,1069813,441904,357266,426555,377200,298610,367228,316635,347501,536371,802367,799778,816744,920769,1167725,538632,330708,251934,453959,325017,336618,542273,394547,566069,476150,920545,645095,519842,366142,248690,386581,322160,489823,625208,1316190,473879,410726,356620,491002,607726,298145,467935,731918,547389,456141,475679,479076
