Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000
680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000
710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000
640000,640000,640000,640000,640000,640000,640000,750218,640000,640000,640000,640000,750218,640000,640000,640000,640000,640000,640000,750218,750218,640000,750218,750218,750218,640000,640000,750218,640000,640000,750218,640000,640000,687812,640000,640000,640000,640000,750218,750218,716447,750218,750218,750218,693019,746263,640000,640000,640000,650160,640000,640000,640000,689735,695408,640000,750218,640000,735639,640000,640000,640000,750218,640000,640000,640000,715433,640000,640000,640000,713912,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,750218,732657,640000,640000,750218,640000,640000,750218,640000,640000,640000,640000,640000,640000,707801,640000,640000,640000,640000,640000,640000,750218,750218,640000,640000,640000,671497,750218,750218,727705,640000,640000
630000,630000,630000,630000,630000,630000,630000,750218,630000,630000,630000,630000,750218,630000,630000,630000,630000,630000,630000,750218,750218,630000,750218,750218,750218,630000,630000,750218,630000,630000,750218,630000,630000,677934,630000,630000,630000,630000,750218,750218,713518,750218,750218,750218,701755,705802,630000,630000,630000,628139,630000,630000,630000,620892,725319,630000,750218,630000,700394,630000,630000,630000,745937,630000,630000,630000,706942,630000,630000,630000,677626,630000,630000,630000,630000,630000,630000,630000,630000,630000,630000,750218,715693,630000,630000,737471,630000,630000,747561,630000,630000,630000,630000,630000,630000,681206,630000,630000,630000,630000,630000,630000,750218,750218,630000,630000,630000,641575,750218,720860,731780,630000,630000
660000,660000,660000,660000,660000,660000,660000,792484,660000,660000,660000,660000,792484,660000,660000,660000,660000,660000,660000,792484,792484,660000,792484,792484,792484,660000,660000,792484,660000,660000,792484,660000,660000,753896,660000,660000,660000,660000,792484,792484,650366,792484,792484,792484,716363,672882,660000,660000,660000,658051,660000,660000,660000,650458,691589,660000,792484,660000,621003,660000,660000,660000,784027,660000,660000,660000,688016,660000,660000,660000,667955,660000,660000,660000,660000,660000,660000,660000,660000,660000,660000,792484,680252,660000,660000,710799,660000,660000,673562,660000,660000,660000,660000,660000,660000,694250,660000,660000,660000,660000,660000,660000,792484,792484,660000,660000,660000,649884,792484,716810,781602,660000,660000
750000,750000,750000,750000,750000,750000,750000,898148,750000,750000,750000,750000,898148,750000,750000,750000,750000,750000,750000,865749,898148,750000,898148,898148,898148,750000,750000,766901,750000,750000,898148,750000,750000,759578,750000,750000,750000,750000,898148,898148,697559,898148,898148,898148,771282,708036,750000,750000,750000,747785,750000,750000,750000,739157,698218,750000,898148,750000,705685,750000,750000,750000,870780,750000,750000,750000,750471,750000,750000,750000,704828,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,898148,680720,750000,750000,705370,750000,750000,665811,750000,750000,750000,750000,750000,750000,696538,750000,750000,750000,750000,750000,750000,898148,898148,750000,750000,750000,738504,898148,851054,888645,750000,750000
800000,800000,800000,800000,800000,800000,800000,950980,800000,800000,800000,800000,950980,800000,800000,800000,800000,800000,800000,969553,950980,800000,950980,950980,950980,800000,800000,1026218,800000,800000,950980,800000,800000,1025763,800000,800000,800000,800000,950980,950980,776672,950980,950980,950980,1075297,1122618,800000,800000,800000,797637,800000,800000,800000,788434,951010,800000,950980,800000,752731,800000,800000,800000,973971,800000,800000,800000,1012352,800000,800000,800000,813188,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,950980,872147,800000,800000,894021,800000,800000,710199,800000,800000,800000,800000,800000,800000,820835,800000,800000,800000,800000,800000,800000,950980,950980,800000,800000,800000,787738,950980,1038186,986141,800000,800000
600000,600000,600000,600000,600000,600000,600000,707952,600000,600000,600000,600000,707952,600000,600000,600000,600000,600000,600000,721779,707952,600000,707952,707952,707952,600000,600000,734880,600000,600000,707952,600000,600000,742539,600000,600000,600000,600000,707952,707952,541322,707952,707952,707952,824875,785215,600000,600000,600000,598228,600000,600000,600000,591325,708933,600000,707952,600000,564548,600000,600000,600000,725067,600000,600000,600000,744107,600000,600000,600000,637055,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,707952,560548,600000,600000,588782,600000,600000,532649,600000,600000,600000,600000,600000,600000,569353,600000,600000,600000,600000,600000,600000,707952,707952,600000,600000,600000,590803,707952,772872,734127,600000,600000
640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,480000,640000,640000,640000,640000,640000,640000,640000,640000,480000,640000,640000,640000,640000,640000,480000,640000,640000,640000,640000,640000,640000,640000,480000,480000,640000,640000,640000,480000,640000,480000,640000,480000,480000,640000,480000,640000,640000,640000,640000,640000,640000,640000,640000,640000,480000,480000,640000,640000,640000,480000,640000,640000,640000,640000,640000,640000,640000,480000,480000,640000,480000,640000,480000,640000,640000,640000,640000,640000,640000,480000,480000,640000,480000,640000,640000,640000,640000,640000,640000,640000,480000,480000,640000,640000,640000,640000,480000
640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,500000,640000,640000,640000,640000,640000,640000,640000,640000,500000,640000,640000,640000,640000,640000,500000,640000,640000,640000,640000,640000,640000,640000,500000,500000,640000,640000,640000,500000,640000,500000,640000,500000,500000,640000,500000,640000,640000,640000,640000,640000,640000,640000,640000,640000,500000,500000,640000,640000,640000,500000,640000,640000,640000,640000,640000,640000,640000,500000,500000,640000,500000,640000,500000,640000,640000,640000,640000,640000,640000,500000,500000,640000,500000,640000,640000,640000,640000,640000,640000,640000,500000,500000,640000,640000,640000,640000,500000
720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,600000,720000,720000,720000,720000,720000,720000,720000,720000,600000,720000,720000,720000,720000,720000,600000,720000,720000,720000,720000,720000,720000,720000,600000,600000,720000,720000,720000,600000,720000,600000,720000,600000,600000,720000,600000,720000,720000,720000,720000,720000,720000,720000,720000,720000,600000,600000,720000,720000,720000,600000,720000,720000,720000,720000,720000,720000,720000,600000,600000,720000,600000,720000,600000,720000,720000,720000,720000,720000,720000,600000,600000,720000,600000,720000,720000,720000,720000,720000,720000,720000,600000,600000,720000,720000,720000,720000,600000
760000,760000,668746,760000,760000,760000,760000,760000,760000,760000,760000,1158711,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,760000,720000,760000,668746,668746,860000,760000,860000,860000,668746,720000,760000,760000,760000,760000,760000,720000,760000,760000,760000,668746,668746,760000,668746,720000,720000,668746,760000,760000,720000,668746,720000,760000,720000,720000,760000,720000,668746,760000,760000,760000,760000,760000,760000,760000,860000,720000,720000,760000,760000,760000,720000,760000,1507383,1294680,760000,1089828,760000,668746,720000,720000,668746,720000,760000,720000,760000,760000,760000,760000,760000,668746,720000,720000,668746,720000,760000,760000,668746,760000,760000,760000,760000,720000,720000,760000,668746,760000,760000,720000
680000,680000,594441,680000,680000,680000,680000,680000,680000,680000,680000,998269,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,640000,680000,594441,594441,746387,680000,750000,750000,594441,640000,680000,680000,680000,680000,680000,640000,680000,680000,680000,594441,594441,680000,594441,640000,640000,594441,680000,680000,640000,594441,640000,680000,640000,640000,680000,640000,594441,680000,680000,680000,680000,680000,680000,680000,750000,640000,640000,680000,680000,680000,640000,680000,1550495,1407532,680000,1024342,680000,594441,640000,640000,594441,640000,680000,640000,680000,680000,680000,680000,680000,594441,640000,640000,594441,640000,680000,680000,594441,680000,680000,680000,680000,640000,640000,680000,594441,680000,680000,640000
710000,710000,626949,710000,710000,710000,710000,710000,710000,710000,710000,1050483,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,710000,675000,710000,626949,626949,763325,710000,800000,800000,626949,675000,710000,710000,710000,710000,710000,675000,710000,710000,710000,626949,626949,710000,626949,675000,675000,626949,710000,710000,675000,626949,675000,710000,675000,675000,710000,675000,626949,710000,710000,710000,710000,710000,710000,710000,800000,675000,675000,710000,710000,710000,675000,710000,1599614,1571961,710000,1108937,710000,626949,675000,675000,626949,675000,710000,675000,710000,710000,710000,710000,710000,626949,675000,675000,626949,675000,710000,710000,626949,710000,710000,710000,710000,675000,675000,710000,626949,710000,710000,675000
1074209,640000,557288,954690,640000,750218,750218,750218,750218,750218,1103306,937758,640000,640000,1515581,1351258,1024346,640000,750218,640000,640000,1075759,750218,1050280,736292,600000,750218,557288,557288,693989,750218,710000,710000,557288,600000,640000,750218,750218,750218,640000,600000,750218,750218,750218,557288,557288,640000,557288,600000,600000,557288,1121437,640000,600000,557288,600000,750218,600000,600000,640000,600000,557288,640000,750218,750218,750218,750218,750218,750218,710000,600000,600000,640000,640000,640000,600000,1060553,1575024,1523405,1265044,991486,640000,557288,600000,600000,557288,600000,640000,600000,640000,750218,1119219,750218,750218,557288,600000,600000,557288,600000,640000,744596,557288,750218,750218,750218,750218,600000,600000,750218,557288,750218,750218,600000
