Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111
-14420.3,-13901.34,-25.39,0,-2167.59,-5193.23,-15.78,-465.78,0,-90.78,0,-13731.05,-1139.73,-2249.08,-362.28,0,-245.28,0,-946.23,-12208.36,-6497.33,-2696.23,0,-2785.02,-3440.33,-13979.83,-12561.65,-5550.22,-3570.84,-12742.41,-13151.89,-14168.06,-8668.33,0,-14034.73,-13021.55,0,-4087.23,-13108.84,-12275.29,-4039.77,-12799.55,0,-11697.52,-12498.02,-11971.52,-204.03,0,-5618.23,-12965,-12252.79,-10889.31,-10896.23,-11056.77,-13519.06,-13021.55,-626.02,-6150.77,-15135.65,0,-178.23,-9054.02,-10335.52,0,0,0,-93.03,-322.53,0,0,-217.53,-1735.57,-429.78,-12203.27,0,-6180.23,-2236.23,0,0,0,0,0,0,-7569.33,-13380.65,-12383.89,-12270.05,-10645.33,0,0,0,0,0,0,0,0,-8395.23,-12208.37,-11212.33,0,0,-10066.33,-5.1,-5.1,-5.1,-5.1,0,-12208.36,-5.1,0,-5.1,0
-12936.73,-9774.23,-8587.9,-12203.26,-1708.23,-12203.26,-12203.26,-11661.02,-8039.23,-12599.14,-5473.23,-12208.36,0,-12208.36,-6709.23,-2692.23,-3172.23,-3536.23,0,-12203.26,-12203.26,-10865.23,0,-12203.26,0,-12203.26,-12203.26,-13596.62,-12801.8,-12710.74,-12208.36,-13210.83,-12208.36,-12203.26,-12245.3,-13025.3,-1612.23,-8114.23,-12362.59,-12618.45,-9145.23,-12203.26,-146.23,-12725.3,-12203.26,-12364.54,-7379.23,-12203.26,-12203.26,-13019.3,-12405.05,-12203.26,-3226.23,-12203.26,-12265.02,-12573.05,0,-8745.23,-13443.76,-12203.26,-12203.26,-12585.05,-10513.52,-12203.26,-9548.23,-1415.23,0,-2483.23,-162.03,-3303.23,0,-11025.27,-12363.05,-12203.26,0,-12203.27,-12203.27,-9093.23,0,0,0,0,-11871.23,-12208.36,-12208.37,-12208.37,-12203.27,-12208.36,-12203.26,-6413.23,0,0,0,0,-2137.23,-12203.26,-12394.55,-12208.39,-12208.36,-12203.26,-8556.23,0,-5.1,-5.1,-7296.33,-3717.23,0,-12309.65,-5.1,0,-318.33,0
0,0,-5.08,0,0,0,0,0,0,-2792.31,0,-1925.23,0,0,0,0,0,0,0,0,0,-5.08,0,0,0,-11880.04,-3966.23,-2.61,-2161.58,-12428.91,-11951.31,0,0,0,-9308.31,-5513.23,0,0,-9011.23,-10138.23,0,0,0,0,-324.23,-1220.43,0,0,-11642.57,-2125.23,-787.72,-7833.96,0,-8387.92,0,-9506.78,0,-1298.54,-12641.3,-8353.29,0,-1482.25,-4104.67,-5837.23,-1728.71,0,0,0,0,0,-709.69,-7006.09,0,0,0,-12208.34,0,0,0,0,0,0,0,-5.08,-12208.34,-11726.31,-4501.23,0,0,0,0,0,0,0,0,-1590.23,-636.23,-12208.33,-5.08,0,0,0,0,-5.08,0,0,0,-12208.39,-5.08,0,0,0
-6438.85,-6532.48,-7378.18,-7548.43,0,-6708.17,-10627.1,-1293.06,-3736.94,-3946.06,-5350.07,-5714.21,-8419.76,-3529.38,-10742.13,-3186.57,-3091.9,-7435.03,-3959.59,-4111.49,-405.6,-4332.57,-4223.85,-4145.3,-6237.53,-23353.4,-2909.83,-24450.86,-9553.79,-12686.76,-3040.26,-3035.72,-2355.3,-5991.48,-6036.03,-11475.18,-4438.17,-3925.77,-9936.27,-12158.19,-6058.58,-9448.78,-5694.45,-2723.08,-10157.18,-28539.64,0,-9952.12,-10293.18,-12951.04,-9991.8,-11385.59,-4552.61,-27613.72,-10139.34,-14815.39,-5685.6,-11303.71,-14723.9,-8870.25,-7411.1,-19594.76,-10681.29,-3780.12,-11134.17,-7507.33,-8033.77,-6184.47,-20803.68,-14972.78,-13371.15,-27897.13,-8266.3,-5593.01,-6546.01,-6677.73,-7861.07,-5436.51,-477.91,-8413.67,-4365.86,-4874.09,-7193.65,-6904.8,-12854.49,-9467.82,-5840.1,-41818.83,-7492.77,-19111.03,-10252.19,-5183.61,-8149.26,-9216.18,-7212.38,-7625.42,-17429.63,-8565.93,-7114.58,-8944.12,-6066.91,-5826.06,-11588.61,-8340.69,-7942.22,-8039.5,-5354.24,-16629.72,-7663.91,-9014.2,-8774.53,-4534.93
-12945.36,-4838.14,-26397.59,-1622.99,0,-24069.91,-7543.17,-5.01,0,-15342.09,-3888.97,0,-16346.99,-4231.3,0,0,0,0,-5.01,-2923.3,0,-340.18,0,0,-22536.28,-35803.02,0,-51613.74,-77968.22,-69020.95,0,0,-5.01,-3963.69,-15665.53,0,-3082.48,-12966.23,0,-13878.76,-17065.54,0,-4798.09,0,-21688.9,-22199.26,0,-72797.05,-25613.56,-20924.34,-12101.66,-23843.4,0,-53649.23,-30010.11,-38744.98,-5823.4,-20545.53,-13266.38,-12520.94,-10646.67,-17274.6,-38545.18,0,-12149.2,-14631.9,-17512.28,0,-9612.52,-20910.74,-16358.43,-290638.33,-16196.65,-8563.28,-5855.32,-83868.7,-10996.43,-3741.24,0,0,-7562.09,-7923.62,-16816.8,-18822.93,-116192.12,-18391.89,-16743.72,-5462.57,-12939.7,-40117.98,-6365.96,0,-10072.56,-10261.2,-9982.9,-10086.17,-229725.4,-12810.3,-19767.12,-3355.77,0,-13930.44,-16993.46,-4453.2,-36188.47,-12579.44,-55353.75,-17641.71,-7330.41,-23982.98,-15018.41,0
0,0,-22547.87,0,-11286.63,-5.01,0,-13357.81,0,-16699.02,0,0,-12954.68,-75217.81,0,0,0,0,-7623.05,-5.01,-7678.2,-5.01,-5.01,0,-5.01,-119663.57,-5.01,-5.01,-598200.68,-5.01,-3823.24,-28413.04,0,-53413.99,-83950.56,-5.01,-5.01,-6116.71,0,-6546.34,-12468.97,-5.01,-7984.67,0,-9091.65,-6035.77,0,-5.01,-354897.76,-63237.87,-18374.76,-5.01,-5.01,-45128.69,-37255.96,-80425.29,-5.01,-230163.45,-31097.78,0,-170227.14,-8062.49,0,-1377.87,-5.01,-8309.27,-49659.13,0,-53302.85,0,-23933.48,-509644.85,-5.01,-11166.75,0,-84468.66,-5.01,0,-5.01,-5.01,0,-42143.04,-42610.88,-123263.44,-43779.93,-4422.36,-172289.31,-5.01,-83357.1,0,-85296.97,0,-8728.43,0,-121485.28,-99719.43,-544802.67,-69943.47,-162863.99,0,-64319.03,-88851.35,-2488.6,-8176.1,-4201.8,0,-520955.31,-132547.89,-10219.96,-7661.11,-11454.91,0
0,0,-46693.16,0,-113846.87,-47132.51,-1558.74,-5042.97,0,-60074.44,0,0,-20344.06,-142568.32,-5640.37,-23271.11,-30760.31,-4164.14,-115399.22,-9389.37,-93182.87,-3306.5,-25445.8,-28956.75,-48168.38,-198435.26,-9840.91,-78151.19,-367771.54,-60230.28,-62912.98,-32710.92,-23317.06,-154770.36,-204868.26,-73302.1,-30860.99,-14739.97,-18088.55,-2952.76,-73062,-3575.52,-88175.96,-24085.56,-17695.27,-33997.69,-35539.96,-49898.62,-144015.24,-114629.66,-116586.42,0,-128940.7,-107179.38,-140754.94,-215978.71,-12984.34,-199155.82,-23498.88,-1056.5,-157482.79,-20960.61,-33049.11,-39510.41,-38401.83,-30589.24,-99790.1,-38420.47,-44772.31,0,-49329.84,-317972.69,-7705.24,-82973.9,-19339.86,-156113.46,-4181.94,0,-6.26,-61521.45,-8811.33,-71146.98,-109144.67,-90844.34,-69088.61,-71144.45,-123965.17,-38594.3,-162039.75,0,-32620.92,-27313.39,-2215.75,-11688.78,-172642.41,-136466.18,-317810.92,-137901.19,-115055.64,-30643.44,-107943.21,-126502.4,-23132.21,-18497.29,-68392.13,0,-275639.5,-183030.36,-27373.18,-66095.6,-87150.03,-21476.05
-16362.8,-4838.02,-29259.67,-6941.55,-54160.87,-39784.45,-10776.03,-25360.94,-26240.3,-50811.98,-17990.96,-10271.39,-39437.74,-81852.72,-28241.44,-32012.16,-39498.6,-28485.15,-79055.63,-30906.13,-56567.16,-35004.64,-35659.29,-28393.86,-33178.71,-95176.91,-37579.33,-61738.53,-175786.41,-58841.34,-26400.84,-54981.9,-44344.7,-101908.86,-134009.91,-39272.61,-51196.12,-33395.19,-57561.94,-19210.62,-51256.45,-20732.88,-56347.52,-48744.05,-50599.87,-27651.35,-34874.42,-40007.91,-110310.71,-53752.5,-61272.65,-18044.91,-70576.55,-60848.11,-91945.73,-74942.38,-41271.39,-56270.77,-52548.64,-11831.06,-80298.57,-47759.65,-21292.19,-45309.56,-54043.54,-34356.08,-65161.33,-41535.16,-42780.06,-28008.48,-37188.34,-147592.27,-43066.44,-40019.6,-49042.77,-120971.3,-12667.66,-5373.76,-4694.47,-60772.58,-11720.2,-38307.68,-70635.9,-55955.19,-57800.53,-33369.8,-43159.9,-15248.07,-73494.84,-8287.1,-42106.36,-13515.08,-12554.79,-29805.96,-95152.56,-66042.66,-160043.76,-69363.72,-97957.76,-51949.26,-71610.8,-86359.04,-47884.17,-46148.9,-46046.74,-12839.53,-73413.79,-83180.53,-49747.25,-84778.56,-81863.37,-34492.08
-2174.76,-3272.68,-6165.12,-960,-9698.96,-9098.36,-2174.76,-2181.01,-2902.99,-4434.6,-2181.01,-2174.76,-2295.69,-23001.03,-2597.21,-2174.76,-4208.68,-2181.01,-10033.13,-2181.01,-7281.95,-3696.66,-3667.16,0,-2181.01,-55671.73,-6220.96,-14979.21,-73671.87,-15300.14,-12789.95,-7863.74,-2174.76,-19067.36,-31544.6,-7952.29,-14904.38,-7828.33,-36424.75,-2214.52,-11024.88,-2181.01,-16489.95,-12757.71,-10188.67,-8937.44,-3303.3,-13455.79,-37261.72,-27219.38,-44954.1,-2879.21,-13332.4,-30657.44,-29279.96,-10139.55,-13387.03,-4641.21,-12416.38,-2174.76,-20534.69,-4003.8,-8748.39,-7656.31,-9597.57,-2333.72,-6250.66,-2632.12,-10795.48,-3198.76,-6753.58,-49078.26,-4661.46,-10452.24,-5003.12,-35877.36,-2181.01,-2174.76,-2174.76,-5237.85,-2237.19,-2986.22,-21947.27,-13249.82,-3736.71,-2495.86,-4735.43,-2181.01,-8742.16,-2181.01,-6244.39,-2174.76,-2174.76,-2174.76,-13197.89,-11677.63,-78724.2,-11081.26,-23842.85,-7989.52,-9633.98,-32238.22,-9029.26,-5628.53,-10428.82,-2756.48,-53513.06,-4239.86,-2181.01,-8651.82,-9935.46,-11789.66
0,0,-6087.14,0,-5.15,-5.15,0,0,0,-2072.74,0,0,0,-1695.93,0,-309.03,-810.51,0,-1203.66,-5.15,-5.15,0,-5.15,0,-5.15,-4497.64,0,-1643.51,-45296.06,-4813.16,-1010.93,-241.43,0,-408.68,-5.15,0,-3967.15,-1646.08,-10063.13,-5.15,-271.43,0,-1550.26,0,-1494.05,-457.74,0,-9189.52,-11899.9,-27013.97,-34890.46,0,-8070.64,-1661.75,-564.22,-5.15,-803.72,-13836.7,-8944.35,0,-365.93,-2626.89,-807.75,-1323.73,-2210.36,0,0,0,-5.15,-1506.59,-5.15,-20059.83,-2639.43,-6066.81,0,-12407.21,-2621.74,0,0,-5.15,0,-5.15,-5.15,-6040.86,-5.15,-4868.86,-5.15,-5.15,-5.15,0,-5.15,0,0,0,-5.15,-791.35,-20377.89,-5.15,-5.15,0,-5.15,-5.15,-5.15,-4250.53,-5.15,0,-868.86,-5.15,-5.15,-5.15,-5.15,0
