Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
-3529.26,-3078.25,-2857.67,-2399.64,-1862.55,-2221.86,-2819.64,-1756.78,-2475.72,-2462.97,-767.48,-4486.52,-3082.05,-4475.67,-1726.78,-802.98,-2858.25,-1310.69,-2498.21,-2730.49,-2583.6,-2435.42,-1075.14,-3459.19,-2761.56,-3936.87,-3115.06,-3454.81,-3148.41,-3305.98,-3771.79,-4148.78,-2696.97,-2517.32,-3383.66,-2870.15,0,-2349.35,-3622.43,-2817.25,-3812.95,-3354.06,-1512.4,-3265.64,-2998.72,-3213.23,-1907.95,-2202.61,-2571.56,-3552.35,-2868.3,-4051.38,-1763.27,-3103.69,-4238.17,-3656.44,-3275.44,-3640.53,-4271,-2547.2,-207.18,-3950.17,-3153.77,-2311.26,-2394.32,-982.98,-2101.86,-849.76,-2689.44,-2817.78,-2958.33,-3359.91,-3182.89,-2767.6,-1615.15,-2342.2,-2364.69,-496.33,-1440.07,-865.33,-200.64,-310.68,-2568.2,-2268.18,-2734.48,-2706,-2863.03,-735.31,-2041.4,-1900.68,-2197.65,-857.31,-242.64,-2122.3,-1823.85,-2233.27,-2484.78,-2286.45,-2260.62,0,-2213.59,-989.07,-1718.95,-2212.39,-2250.62,-2204.47,-2207.79,-2469.18,-2220.85,-2202.71,-1681.66,-1096.09,-2265.33
-3715.21,-3259.79,-3584.92,-3572.73,-1475.42,-2076.75,-2897.21,-1529.89,-2880.02,-3310.44,-571.3,-2314.4,-3170.15,-3216.88,-740.3,-476.3,-3145.61,-2011.12,-140.8,-2829.56,-2948.79,-1488.86,-229.55,-3219.57,-205.8,-740.8,-849.3,-3933.71,-3443.81,-4063.96,-1194.3,-2945.59,-3076.31,-3334.73,-3282.34,-2168.5,-408.3,-1825.16,-3449.59,-2159.3,-3230.52,-2524.16,0,-1857.83,-563.81,-3750.61,-2627.29,-2279.4,-2484.76,-4459.31,-3780.52,-2924.47,0,-3225.37,-4548.89,-3959.64,0,-1064.81,-4198.32,-3640.58,-2379.41,-3946.4,-3630.22,-3286.08,-2728.28,-2224.34,-2849.11,-1057.51,-3728.12,-3292.57,-1709.8,-4224.36,-3754.08,-1998.67,-163.05,-3112.81,-2757.43,-152.7,-713.78,0,0,-200.8,0,-1322.01,-3363.6,-2436.93,-995.24,-845.3,-3158.2,-2236.31,-1173.94,-1030.97,-1036.24,-2081.55,-2093.44,-2501.88,-3783.18,-3264.65,-2259.89,0,-3115.33,-1138.07,-2287.49,-2975.79,-3121.24,-2765.93,-2084.5,-3721.63,-2376.72,-2544.78,-1412.68,0,-2917.58
-1561.03,-1075.22,-1066.72,-762.72,0,0,-1034.72,0,-1334.72,0,0,-84.72,-734.72,0,-607.22,0,0,-1699.22,-544.22,0,0,-387.22,0,0,-1270.22,-195.3,0,-2136.72,-5779.73,-4496.48,-692.72,0,0,0,-881.22,-1069.72,-1069.22,-1073.22,-1411.42,-2448.65,-1073.22,-2021.72,-523.22,0,-1418.22,-5585.69,-822.37,-2001.66,-4270.58,-866.22,-2936.12,-4911.26,-1163.22,-5030.16,-269.22,-4363.39,-1316.72,-3402.37,-4916.48,-4792.38,0,-3044.49,-3977.52,-1745.79,-4114.46,-1484.72,-1229.22,0,-1784.72,-1454.22,-2864.62,-5026.43,-380.72,0,0,-3722.55,-1711.22,0,-1445.22,0,0,-854.22,-393.22,-707.72,-3636.67,-2052.11,-947.72,0,-849.72,-1679.72,-903.67,0,0,-1456.22,-622.22,0,-4066.78,-1751.22,-367.72,-1431.72,-1872.25,-645.72,-914.72,-1769.72,-995.61,-1032.72,-227.22,-3740.33,-1684.22,-1268.22,-1581.72,-97.22,-4128.11
-3624.06,-3761.81,-4998.49,-5256.38,0,-4012.82,-7073.9,0,-182.03,-395.31,-2022.35,-2558.04,-6538.21,0,-142.77,0,0,-5089.56,-409.1,-564.02,0,-789.5,-678.62,-598.51,-3327.9,-17943.78,0,-16909.33,-6558.46,-10249.22,0,0,0,-2965.93,-2133.31,-10356.23,-897.2,-374.62,-8333.54,-11065.23,-3064.65,-4255.31,-2528.96,0,-8840.08,-28068.93,0,-8787.13,-9215.2,-10059.44,-8863.03,-10263.23,-1013.92,-22046.77,-9071.34,-10537.13,-2515.95,-10178.23,-11712.14,-7200.94,-5054.35,-16647.07,-9102.23,-226.07,-10002.23,-5189.81,-6071.47,-3242.96,-16966.89,-6351.49,-9659.24,-26238.83,-6312.46,-2379.73,-3781.71,-3867.42,-5716.31,-961.93,0,-8154.9,-823.46,-1341.8,-4734.47,-4302.09,-8650.71,-8072.58,-2743.23,-20347.42,-5174.5,-9972.05,-6289.46,-1777.46,-6140.27,-7709.84,-4762.02,-5369.64,-13935.53,-6753.25,-4618.15,-7309.61,-3076.89,-2722.57,-10479.23,-6421.89,-5835.69,-5978.8,-2028.47,-9650.64,-5426.27,-7405.27,-7060.13,-995.88,-16623.88
0,-682.44,-35089.84,0,0,-27628.2,-5115.46,0,0,-22967.3,0,-2156.61,-13321.14,-21040.04,-1707.44,-1997.36,0,0,0,0,0,-9261.79,0,0,-30537.9,-73872.38,-2939.24,-68858.06,-86693.39,-117342.55,0,0,0,-15829.97,-27267.3,0,0,-5175.78,0,-21560.96,-9731.48,0,0,0,-21201.46,-10404.3,0,-90601.53,-57590.99,-23899.79,-8133.64,-28960.8,0,-53310.14,-34580.1,-45612.79,0,-31249.42,-5632.99,-4721.64,-11602.19,-22838.85,-68957.68,0,-19062.29,-10773.72,-11048.62,0,-1746.89,-25731.24,-8635.45,-318428.38,-8470.45,-685.28,0,-145704.28,-3171.93,0,0,0,0,-38.01,-26979.7,-27296.96,-188254.78,-10709.34,-20623.52,-5496.82,-19400.81,-75413.4,-543.25,0,-2229.68,-2416.96,-8446.46,-12360.21,-267552.85,-18633.89,-26307.6,0,-3840.36,-17651.54,-21003.94,0,-36504.25,0,-109930.46,-34499.31,-1317.68,-15844.23,-7268.77,0,-38360.74
-4063.67,-3812.32,-21260.18,-3943.35,-14828.68,-4247.09,-3951.96,-51943.08,-4067.93,-4208.37,0,0,-5031.15,-154056.95,0,0,0,-3793.11,-4489.69,-31867.21,-4488.02,-3593.06,-4256.82,-387.25,-3486.16,-187456.21,-3867.75,-4383.47,-672895.29,-3693.09,-20834.72,-128162.23,-869.63,-50492.58,-104816.61,0,0,-16440.79,0,-4499.47,-25349.69,-4347.04,-4080.05,-285.84,-9218.1,-16862.77,0,-4451.9,-471672.04,-153104.58,-26053.63,0,-3696.56,-30748.94,-19094.55,-95132.59,-4486.85,-344880.43,-86057.67,-3696.56,-305487.06,-15607.65,-3707.24,-33558.35,-4488.79,-4705.81,-30016.82,0,-20616.59,0,-74933.74,-564017.94,-3679.95,0,0,-185747.46,-3850.69,0,0,0,-3549.72,-128146.14,-36836.5,-189268.85,-72029.57,-4611.82,-238967.84,0,-101708.66,0,-40810.93,0,-75926.03,-12823.12,-80869.93,-130316.93,-615659.13,-39057.31,-306482.05,-4017.39,-47604.53,-124267.05,-3700.09,-13455.67,-8033.42,-875.3,-587723.23,-62231.12,-9829.87,-3658,-7325.67,-3899.96,-363478.06
-3587.88,-3244.06,-27337.51,-518.7,-124553.96,-9782.21,-3429.83,-18412.26,-3197.12,-3973.74,-118.92,-8.64,-27125,-153787.7,-361.78,0,-21511.9,-6096.65,-69771.95,-5518.51,-48611.39,-3188.73,-14870.19,-3292.96,-53907,-237406.35,-3439.56,-26695.69,-413054.53,-14343.83,-43548.13,-31777.12,-7738.25,-174643.4,-253488.1,-43257.29,-11066.99,-19572.83,-5760.29,-3622.21,-62498.73,-3474.64,-56564.73,-3229.01,-32007.87,-25249.01,-6758.3,-36161.14,-220596.44,-125532.28,-165706.73,0,-143625.98,-87274.97,-94896.17,-269354.61,-6409.55,-247591.92,-39894.88,0,-201869.1,-36044.4,-13830.78,-6227.4,-7181,-22982.73,-137570.45,-3789.12,-34045.3,0,-51336.39,-379191.15,-4673.71,-36541.72,-3531.74,-130339.1,-3358.26,0,-3139.66,-15264.81,-6556.57,-63867.94,-54932.54,-85868.8,-52773.53,-27557.85,-78590.84,-6303.89,-160406.24,0,-30308.21,-10633.98,-3610.87,-11322.41,-137086.17,-140250.28,-347197.8,-86042.68,-154468.36,-8444.39,-116495.39,-161323.35,-4121.61,-22809.42,-74133.34,-3252.37,-314208.24,-229806.66,-18437.95,-27708.06,-45208.43,-9464.3,-241478.78
-2944.74,-2950.54,-13192.06,-2864.16,-39763.89,-18089.34,-2921.37,-12009.73,-1814.68,-29692.81,0,0,-18317.39,-61985.52,-3679.8,-5668.75,-20675.29,-11256.33,-70832.45,-11866.86,-42616.7,-12006.95,-22621.81,-9986.58,-6425.73,-91997.12,-12924,-49985.45,-157311.23,-40844.6,-11119.14,-36608.99,-20484.06,-81359.07,-129723.87,-15386.66,-30105.6,-21407.48,-40157.13,-3169.96,-29863.87,-14751.69,-40516.46,-26526.05,-61708.69,-25910.63,-8798.67,-17871.97,-99907.08,-32750.64,-50111.45,-4167.15,-69090.47,-31496.71,-79462.74,-64368.94,-22930.22,-38827.29,-31292.43,-2662.2,-78895.17,-27713.07,-8061.14,-19985.76,-36024.83,-18353.01,-52404.34,-14921.37,-19010.67,-6346.21,-21701.94,-158112.5,-29721.93,-12977.99,-25495.44,-118430.51,-1919.32,0,-136.77,-42909.75,-4936.38,-14514.11,-47047.48,-21477.91,-39946.8,-6681.04,-15308.2,-4612.75,-66257.89,-2678.2,-15906.48,-1463.59,-3068.28,-3958.33,-79691.6,-51546.97,-147918.06,-57354.6,-96127.63,-30112.44,-65807.82,-59053.24,-31166.31,-18111.25,-25297.06,-406.01,-48766.58,-83225.44,-4278.57,-60804.02,-66953.61,-15467.61,-102740.44
0,-956.52,-2342.07,0,-3983.83,-3742.18,-2158.82,0,0,-4445.62,0,0,-2368.45,-6203.9,-1694.15,0,-1718.16,0,-6058.59,0,-4083.63,-1592.68,-4518.01,0,-432.02,-20136.62,-1290.68,-8586.28,-66539.82,-6994.2,-11449.49,-4841.3,0,-11877.08,-21675.25,-2944.73,-10537.37,-6843.95,-15971.02,-2355.51,-9434.98,0,-9492.18,-9230.59,-10172.53,-7228.13,-3321.5,-9175.63,-8741.58,-12154.05,-41814.09,-856.68,-9285.83,-6802.59,-13054.67,-3352.91,-10359.54,-4518.49,-8197.88,0,-11338.28,-2339.1,-8886.42,-3409.26,-2552.09,-2380.95,-5545.16,-2393.29,-7137.71,-2269.9,-6455.7,-24939.14,-4405.42,-25361.97,-4731.21,-15045.27,0,0,0,-184.68,-418.27,-2971.25,-11212.62,-6792.07,-2760.14,-0.53,-2299.44,-2282.25,-5879.92,-417.61,-2332.9,0,-2290.97,0,-4473.24,-5376.17,-67119.56,0,-4404.98,-3122.45,-1540.12,-11783.92,-1529.83,-2018.09,-1513.16,0,-5113.01,0,0,0,0,-4861.84,-2353.19
-363.46,-2149.5,-484.32,0,0,0,0,0,-1100.54,-2695.52,0,-2206.52,0,-4443.67,-320.82,-710.16,-1483.42,-1107.19,-3932.93,0,-435.82,0,0,0,0,-577.32,-233.32,-962.91,-7520.07,-3566.22,-3671.82,-2806.04,-1267.13,-3008.24,0,0,-3332.66,-3207.26,-2194.85,-1610.64,-2831.19,-404.32,-3824.4,-2642.37,-4299.46,-2246.31,-2371.82,-1638.57,-890.91,-4445.38,-8517.33,0,-3709.11,-4446.34,-2278.21,-257.82,-2196.79,-2640.53,-3991.22,0,-2996.56,-5512.99,-2308.95,-4043.44,-2844.52,-1885.45,0,-2214.57,-2214.76,-4248.61,-2380.26,-6766.81,-3694.63,-6031.73,-2182.13,0,-3305.52,0,0,0,0,-1000.07,-1689.15,-2307.33,0,-2174.41,-2174.83,-2154.79,-2149.49,-838.46,0,0,-1919.8,-599.12,-2154.08,-2737.23,-20561.45,-2152.34,-420.8,0,0,0,-1694.86,-3202.61,-1651.64,-167.8,-2158.79,0,0,-912.79,-2151.34,-2175.15,-2174.13
