Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99
3606.97,3606.83,3606.14,3606.16,3606.97,3606.09,3606.09,3606.73,3606.6,3609.26,3606.71,3606.83,3606.14,3605.4,3605.92,3607.04,3605.94,3606.97,3606.97,3606.9,3606.6,3606.09,3609.26,3606.6,3605.4,3607.75,3606.19,3606.6,3606.62,3606.09,3605.94,3606.73,3606.16,3605.94,3609.26,3606.39,3606.09,3606.09,3606.62,3607.75,3605.4,3606.97,3606.97,3607.04,3606.83,3607.04,3606.19,3606.62,3606.09,3605.92,3607.75,3606.97,3606.9,3605.92,3605.4,3607.75,3606.73,3605.4,3606.71,3606.39,3607.04,3606.62,3605.92,3606.6,3606.6,3605.4,3606.62,3606.5,3605.94,3606.16,3606.16,3606.6,3606.6,3605.94,3606.9,3609.26,3606.9,3606.9,3609.26,3605.92,3606.9,3606.5,3606.19,3606.39,3606.83,3606.6,3605.94,3606.62,3606.62,3606.73,3606.83,3606.5,3605.4,3609.26,3609.26,3606.19,3605.4,3606.73,3606.09,3606.9
3604.18,3603.9,3602.7,3602.69,3604.18,3602.32,3602.32,3603.81,3604.3,3607.77,3604.75,3603.9,3602.7,3601.7,3601.99,3603.85,3602.35,3604.18,3604.18,3604.16,3604.3,3602.32,3607.77,3604.3,3601.7,3606.75,3603.1,3604.3,3603.94,3602.32,3602.35,3603.81,3602.69,3602.35,3607.77,3603.1,3602.32,3602.32,3603.94,3606.75,3601.7,3604.18,3604.18,3603.85,3603.9,3603.85,3603.1,3603.94,3602.32,3601.99,3606.75,3604.18,3604.16,3601.99,3601.7,3606.75,3603.81,3601.7,3604.75,3603.1,3603.85,3603.94,3601.99,3604.3,3604.3,3601.7,3603.94,3604.23,3602.35,3602.69,3602.69,3604.3,3604.3,3602.35,3604.16,3607.77,3604.16,3604.16,3607.77,3601.99,3604.16,3604.23,3603.1,3603.1,3603.9,3604.3,3602.35,3603.94,3603.94,3603.81,3603.9,3604.23,3601.7,3607.77,3607.77,3603.1,3601.7,3603.81,3602.32,3604.16
3602.2,3601.27,3600.8,3600.96,3602.2,3599.42,3599.42,3602.47,3602.65,3606.19,3603.12,3601.27,3600.8,3597.52,3598.38,3601.43,3598.82,3602.2,3602.2,3601.64,3602.65,3599.42,3606.19,3602.65,3597.52,3609.56,3600.39,3602.65,3602.12,3599.42,3598.82,3602.47,3600.96,3598.82,3606.19,3600.92,3599.42,3599.42,3602.12,3609.56,3597.52,3602.2,3602.2,3601.43,3601.27,3601.43,3600.39,3602.12,3599.42,3598.38,3609.56,3602.2,3601.64,3598.38,3597.52,3609.56,3602.47,3597.52,3603.12,3600.92,3601.43,3602.12,3598.38,3602.65,3602.65,3597.52,3602.12,3604.8,3598.82,3600.96,3600.96,3602.65,3602.65,3598.82,3601.64,3606.19,3601.64,3601.64,3606.19,3598.38,3601.64,3604.8,3600.39,3600.92,3601.27,3602.65,3598.82,3602.12,3602.12,3602.47,3601.27,3604.8,3597.52,3606.19,3606.19,3600.39,3597.52,3602.47,3599.42,3601.64
3602.47,3601.18,3601.39,3600.33,3602.47,3596.08,3596.08,3602.31,3604.08,3611.69,3600.38,3601.18,3601.39,3592.69,3594.72,3604.33,3595,3602.47,3602.47,3601.36,3604.08,3596.08,3611.69,3604.08,3592.69,3617.77,3600.74,3604.08,3601.05,3596.08,3595,3602.31,3600.33,3595,3611.69,3598.84,3596.08,3596.08,3601.05,3617.77,3592.69,3602.47,3602.47,3604.33,3601.18,3604.33,3600.74,3601.05,3596.08,3594.72,3617.77,3602.47,3601.36,3594.72,3592.69,3617.77,3602.31,3592.69,3600.38,3598.84,3604.33,3601.05,3594.72,3604.08,3604.08,3592.69,3601.05,3605.12,3595,3600.33,3600.33,3604.08,3604.08,3595,3601.36,3611.69,3601.36,3601.36,3611.69,3594.72,3601.36,3605.12,3600.74,3598.84,3601.18,3604.08,3595,3601.05,3601.05,3602.31,3601.18,3605.12,3592.69,3611.69,3611.69,3600.74,3592.69,3602.31,3596.08,3601.36
3605.98,3619.6,3617,3602.54,3605.98,3599.63,3599.63,3599.9,3619.8,3630.2,3602.6,3619.6,3617,3593.5,3590.91,3614.7,3595.85,3605.98,3605.98,3608.33,3619.8,3599.63,3630.2,3619.8,3593.5,3631.24,3609.66,3619.8,3608.51,3599.63,3595.85,3599.9,3602.54,3595.85,3630.2,3607.97,3599.63,3599.63,3608.51,3631.24,3593.5,3605.98,3605.98,3614.7,3619.6,3614.7,3609.66,3608.51,3599.63,3590.91,3631.24,3605.98,3608.33,3590.91,3593.5,3631.24,3599.9,3593.5,3602.6,3607.97,3614.7,3608.51,3590.91,3619.8,3619.8,3593.5,3608.51,3610.64,3595.85,3602.54,3602.54,3619.8,3619.8,3595.85,3608.33,3630.2,3608.33,3608.33,3630.2,3590.91,3608.33,3610.64,3609.66,3607.97,3619.6,3619.8,3595.85,3608.51,3608.51,3599.9,3619.6,3610.64,3593.5,3630.2,3630.2,3609.66,3593.5,3599.9,3599.63,3608.33
3617.16,3626.73,3644.82,3599.43,3617.16,3604.53,3604.53,3595.22,3636.65,3643.34,3613.52,3626.73,3644.82,3591.04,3587.03,3615.9,3593.68,3617.16,3617.16,3608.59,3636.65,3604.53,3643.31,3636.65,3591.04,3640.56,3619.57,3636.65,3618.68,3604.53,3593.66,3595.22,3599.43,3593.61,3643.33,3607.37,3604.53,3604.53,3618.68,3640.56,3591.04,3617.16,3617.16,3615.9,3626.73,3615.9,3619.6,3618.68,3604.56,3587.03,3640.56,3617.16,3608.59,3587.09,3591.04,3640.56,3595.22,3591.1,3613.41,3607.37,3615.9,3618.68,3587.03,3636.65,3636.65,3591.1,3618.68,3608.51,3593.75,3599.43,3599.43,3636.65,3636.65,3593.72,3608.59,3643.31,3608.55,3608.55,3643.32,3587.03,3608.59,3608.51,3619.62,3607.37,3626.73,3636.65,3593.67,3618.68,3618.68,3595.22,3626.73,3608.51,3591.04,3643.32,3643.31,3619.62,3591.04,3595.22,3604.53,3608.55
3612.32,3624.83,3658,3593.45,3612.32,3599.12,3599.12,3589.36,3640.05,3643.63,3610.86,3624.83,3657.96,3585.14,3580.8,3610.22,3588.27,3612.32,3612.32,3601.98,3640.05,3599.12,3643.47,3640.05,3585.14,3638.12,3615.66,3640.05,3614.9,3599.12,3588.17,3589.36,3593.45,3588.08,3643.52,3600.71,3599.12,3599.12,3614.9,3638.12,3585.14,3612.32,3612.32,3610.2,3625.2,3610.2,3615.77,3614.96,3599.22,3580.8,3638.12,3612.32,3601.98,3580.94,3585.14,3638.12,3589.36,3585.26,3610.64,3600.71,3610.2,3614.9,3580.8,3640.05,3640.05,3585.26,3614.9,3602.05,3588.66,3593.45,3593.45,3640.05,3640.05,3588.42,3601.98,3643.47,3601.94,3601.94,3643.48,3580.8,3601.98,3602.05,3615.86,3600.71,3624.83,3640.05,3588.2,3614.9,3614.9,3589.36,3624.88,3602.05,3585.14,3643.48,3643.47,3615.86,3585.14,3589.36,3599.12,3601.94
3607.42,3618.78,3656.45,3584.34,3607.42,3591.46,3591.46,3581.31,3635.27,3640.46,3604.68,3618.7,3656.29,3577.06,3572.47,3603.92,3579.92,3607.42,3607.42,3593.99,3635.3,3591.46,3640.07,3635.27,3577.06,3633.46,3610.54,3635.27,3608.63,3591.46,3579.79,3581.31,3584.34,3579.61,3640.25,3593.81,3591.46,3591.46,3608.64,3633.46,3577.06,3607.42,3607.42,3603.9,3619.58,3603.9,3610.77,3608.84,3591.68,3572.47,3633.46,3607.42,3593.99,3572.67,3577.06,3633.46,3581.22,3577.32,3604.22,3593.81,3603.9,3608.64,3572.47,3635.27,3635.27,3577.32,3608.63,3595.72,3580.46,3584.34,3584.39,3635.27,3635.27,3580.13,3593.99,3640.1,3593.83,3593.83,3640.18,3572.47,3593.99,3595.72,3610.94,3593.81,3618.71,3635.3,3579.83,3608.68,3608.63,3581.3,3618.91,3595.72,3577.06,3640.18,3640.06,3610.94,3577.06,3581.22,3591.46,3593.83
3603.36,3614.99,3655.4,3578.63,3603.36,3588.3,3588.3,3576.14,3631.71,3638.21,3600.88,3614.9,3655.1,3578,3569.38,3599.8,3573.88,3603.36,3603.36,3589,3631.78,3588.3,3637.81,3631.71,3578,3629.95,3608.85,3631.71,3605.12,3588.3,3573.79,3576.14,3578.63,3573.65,3637.99,3589.09,3588.3,3588.3,3605.27,3629.95,3578,3603.36,3603.36,3599.76,3615.8,3599.76,3609.21,3605.48,3588.65,3569.38,3629.95,3603.36,3589,3569.57,3578,3629.95,3576.02,3578.2,3600.31,3589.09,3599.76,3605.27,3569.38,3631.71,3631.71,3578.2,3605.25,3591.68,3574.27,3578.63,3578.81,3631.71,3631.71,3574.03,3589,3637.84,3588.76,3588.72,3637.92,3569.38,3589,3591.68,3609.46,3589.09,3614.92,3631.78,3573.81,3605.31,3605.25,3576.13,3615.12,3591.68,3578,3637.92,3637.8,3609.46,3578,3576.01,3588.3,3588.72
3601.29,3613.86,3654.23,3577.39,3600.66,3584.84,3586.07,3573.09,3631.33,3638.6,3599.68,3614.32,3654.6,3575.66,3569.28,3605.87,3572.34,3602.99,3600.37,3586.2,3631.82,3583.98,3635.22,3629.71,3575.66,3630.45,3606.27,3628.79,3601.9,3586.52,3574.66,3573.09,3577.39,3571.06,3637.04,3595.67,3594.66,3584.48,3611.85,3629.25,3573.97,3599.99,3599.81,3596.48,3614.27,3597.69,3607.26,3604.02,3586.24,3566.47,3627.59,3602.99,3586.2,3568.78,3574.08,3627.99,3574.14,3575.66,3596.75,3595.67,3596.05,3611.85,3566.47,3629.71,3629.56,3575.66,3602.89,3589.89,3573.49,3575.02,3575.82,3630.62,3629.71,3572.98,3586.2,3635.47,3586.69,3585.27,3644.72,3568.79,3586.2,3599.76,3608.84,3585.89,3620.96,3631.82,3573.9,3604.2,3602.89,3574.04,3613.85,3589.78,3574.08,3636.87,3636.67,3608.84,3574.36,3574.76,3586.07,3584.92
