Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
9594505,9594505,9386257,9594505,9594505,9594505,9386257,9316846,9594505,9594505,9594505,9490377,9316846,9386257,9247437,9490377,9490377,9386257,9247437,9316846,9316846,9594505,9490377,9247437,9316846,9247437,9316846,9247437,9247437,9386257,9386257,9386257,9594505,9316846,9490377,9594505,9594505,9594505,9316846,9386257,9386257,9316846,9386257,9316846,9386257,9490377,9594505,9594505,9490377,9316846,9594505,9490377,9594505,9386257,9316846,9316846,9386257,9594505,9316846,9594505,9386257,9594505,9386257,9594505,9594505,9594505,9386257,9490377,9594505,9594505,9247437,9247437,9490377,9386257,9490377,9316846,9594505,9594505,9594505,9316846,9594505,9316846,9247437,9316846,9247437,9247437,9247437,9490377,9247437,9594505,9594505,9594505,9594505,9594505,9490377,9316846,9316846,9490377,9386257,9490377,9594505,9316846,9247437,9316846,9386257,9594505,9386257,9316846,9247437,9247437,9386257,9594505,9386257
9660266,9775540,9496408,9875211,9777686,9693034,9529085,9467704,9735176,9772774,10011339,9581582,9504888,9594516,9549631,9729404,9694150,9469980,9541156,9370289,9448901,9840111,9539291,9365862,9349910,9435781,9485942,9396764,9383469,9557719,9509164,9511221,9704205,9311022,9633055,9929339,9608191,9746900,9399420,9492418,9458241,9415425,9452233,9462375,9454796,9593980,9842797,9751947,9617901,9485963,9759060,9689743,9753419,9526153,9533675,9433530,9540766,9714960,9408736,9819871,9641105,9795653,9558313,9826982,9779509,9796602,9572963,9605813,9774065,9743073,9391862,9444520,9740377,9638042,9703740,9523321,9776331,9633938,9728550,9524524,9748924,9424579,9457654,9512519,9454118,9461547,9451357,10202132,9431235,9902871,9767658,9697685,9673534,9853367,9679716,9537010,9456684,9665189,9529641,10112677,9716160,9446320,9434921,9448382,9639723,9738381,9522204,9500434,9398121,9419645,9550564,9811231,9573010
9707199,9759628,9519246,9963190,9833698,9767246,9564188,9474453,9710008,9920863,10086825,9611294,9576949,9650402,9832733,9858259,9794025,9487803,9582038,9405272,9455748,10102259,9503852,9285134,9222053,9412254,9959601,9387539,9404976,9623728,9476290,9767816,9664773,9188842,9689247,10093142,9757523,9750603,9402477,9490512,9415215,9388364,9406663,9429840,9443336,9531884,9801182,9756215,9655378,9507118,9744057,9702748,9830779,9566542,9531948,9393954,9550858,9691694,9312046,9815830,9631537,9782904,9585741,9894843,9765308,9702842,9557224,9661067,9731527,9705622,9395341,9388778,9745591,9747371,10154763,9502255,9775419,9799160,9748528,9521645,9814591,9515975,9521563,9544717,9425471,9518107,9539967,10712387,9425025,10038883,9742454,9640842,9726785,9845907,9687887,9568322,9409539,9693727,9538997,10518546,9691132,9406358,9477320,9457276,9645560,9750053,9472752,9483974,9393547,9424042,9522374,9891462,9547905
9942987,10033269,9664761,10141732,9929617,9859537,9627032,9571845,9657279,9914951,10219771,9708868,9589772,9645911,10010774,9923720,9833573,9632308,9691536,9394265,9408977,10246053,9322061,9213545,9146384,9342748,10085099,9395007,9527719,9672425,9439513,9917774,9922602,9196388,9662576,10567999,9787599,9810849,9475433,9559524,9428293,9443177,9391385,9565594,9446054,9420073,9920872,9804526,9708156,9475069,9623904,9692019,9901830,9555469,9506684,9325741,9454555,9670532,9180237,9787964,9679509,9714763,9559614,9874682,9738633,9611310,9463307,9751611,9723649,9709035,9333402,9343424,9973932,9921982,10356642,9501991,9807317,10064072,9829408,9746997,9835419,9545679,9540427,9541250,9417037,9591435,9750430,11243234,9452557,10342370,9614229,9682206,9806076,9817122,9676578,9571665,9336682,9643611,9470433,10761415,9712132,9404634,9498379,9435929,9674584,9732414,9425098,9472648,9289900,9361351,9488945,9889579,9506494
10114709,10243096,9670403,10308821,10088503,9887545,9577121,9648048,9638470,9941023,10258365,9654638,9688790,9712461,10150830,10033231,9881807,9687673,9821652,9451934,9440685,10220869,9251272,9104247,8858901,9352667,10051266,9390895,9534448,9703836,9270641,9881265,9830476,9284185,9654851,10861374,9804504,9768561,9590472,9581542,9388412,9395261,9434615,9648420,9392867,9463209,10037188,9798105,9696668,9476008,9653354,9651218,9973350,9574950,9621768,9363326,9424780,9650980,9252625,9967520,9701801,9722734,9638494,10014034,9718168,9572431,9413208,9967871,9662363,9693301,9358138,9334552,10079428,10120167,10510703,9500875,9829064,10048785,9920825,9852065,9903576,9621647,9648320,9553298,9387449,9630169,9835116,11394150,9419260,10370286,9654857,9689044,9946789,9732316,9591169,9532972,9256259,9627889,9494031,10888462,9696348,9382762,9476283,9411577,9749843,9793471,9402769,9442741,9272197,9338254,9491458,9901173,9425120
10034814,10232810,9630603,10299531,10097983,9839671,9521094,9559911,9637128,9877195,10186474,9618764,9612410,9733120,10044699,10169036,9874956,9661305,9822087,9337673,9407383,10140693,8882814,8606743,8807820,9313998,9826646,9177358,9477580,9511765,9234171,9954883,9898383,9260673,9710017,10862909,9802745,9802999,9610353,9627821,9467221,9435400,9509641,9778923,9434488,9352400,10262584,9686034,9630402,9501605,9642790,9746599,10135020,9532382,9632186,9254012,9444442,9603978,9354373,10173716,9728074,9715583,9685226,10159516,9782301,9575806,9361670,10320502,9614712,9711958,9382634,9341722,10100264,10283504,10674913,9532767,9905852,10188049,9893629,9780010,9662896,9657189,9698264,9526843,9367900,9654488,9918489,11545997,9461817,10499217,9688538,9690904,10059982,9724495,9601202,9546143,9244626,9639877,9500994,11047305,9684956,9387357,9495416,9475677,9768959,9843260,9403359,9449658,9239123,9338228,9495084,9910065,9387081
9958326,10260160,9747750,10399635,10175007,9891070,9504092,9500818,9853996,9911702,10251000,9601729,9584306,9894866,10046788,10309126,9903334,10130272,9926130,9418665,9612359,10008327,9093771,8514087,8742308,9365530,9868338,9108926,9539002,9355191,9281595,9961206,9866819,9319762,9814327,11110890,9985990,9760697,9784038,9743667,9512937,9517292,9655208,9916709,9567930,9424969,10430856,9829681,9745507,9636904,9819885,9694710,10413754,9518472,9660575,9399262,9320291,9548836,9287019,10310739,9750079,9723250,9697601,10134711,9763613,9561271,9355869,10347444,9583004,9672117,9378263,9281167,10065040,10293274,10631955,9488565,9920789,9950553,9842016,9838223,9764269,9715354,9714554,9519660,9404141,9700248,9899743,11575369,9433669,10559071,9679674,9664759,10105325,9720525,9624427,9538930,9210093,9605884,9456141,11065415,9650077,9353990,9473434,9475505,9734171,9847956,9338007,9390120,9159999,9302571,9469171,9840739,9306965
9805661,10249694,9784233,10441314,10162580,9810194,9443441,9506249,9728575,9807216,10151044,9618335,9505545,10031421,9967548,10153069,9870697,10104219,9977011,9507128,9534664,10188342,9049150,8357051,8798072,9361178,10071454,9245332,9305739,9226285,9123460,9814168,9758415,9169929,9639483,11205611,10009264,9675574,9704368,9734340,9425361,9440664,9476063,9858167,9591151,9350673,10432250,9833981,9613899,9640294,9751819,9699784,10276098,9427412,9552354,9314255,9239281,9333356,9082420,10118163,9581968,9607504,9569949,10007528,9652738,9394485,9111804,10156998,9382412,9471300,9227495,9086705,9869842,10120568,10613654,9276728,9756572,9861047,9831927,9695354,9509034,9587888,9541821,9440304,9245993,9479215,9770902,11362516,9246185,10437697,9559613,9485764,10001108,9645154,9397528,9320688,9009385,9414703,9272208,10891347,9445255,9185784,9297060,9279847,9480495,9659355,9197350,9242983,8979090,9111984,9273563,9650787,9142913
9737480,10241791,9864977,10340220,10164953,9699250,9390918,9693814,9727408,9767146,10432813,9564196,9725157,9881030,10038577,10119063,9973893,10162276,10028154,9860336,9780345,10188722,9339950,8976573,9347792,9417776,9969812,9601852,9240129,9114414,9407540,9668460,9664485,9186228,9575798,11077692,10002975,9619186,9915635,9973342,9433522,9911650,9792369,10146250,9676735,9587170,10316765,9818494,9570698,9915171,9683062,9835611,10296965,9495771,9505566,9352907,9556626,9378364,9115217,10069419,9513322,9653672,9900085,10000399,9687729,9499752,9150973,10066130,9302561,9367071,9067554,9088017,9762393,10119574,10528997,9298155,9800457,9960731,9985641,9572817,9483384,9977451,9576041,9448250,9241658,9482449,9825570,11364683,9175552,10394944,9524145,9486791,9968188,9632064,9359873,9317873,8932644,9405265,9209423,10896881,9405389,9179222,9601621,9514814,9421514,9592936,9221125,9236962,9291683,9329495,9529059,9551104,9049626
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
