Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
13300152,13858789,11070538,14496224,11283083,11473697,12672697,11281021,13379965,11058224,13310010,14139577,11682737,11006118,13668685,14285740,12434585,13062066,10894529,11679929,11446242,13586494,11986981,14770075,11999674,10161651,12480942,10880518,9664110,11076192,11584735,11168106,12524954,10626337,10221535,12384536,11871360,11363609,11309070,11587557,10628418,12047097,11224138,11790475,10810136,11122254,13268066,10780836,10111180,10402463,10523308,13856608,11411411,10250479,10449309,10635449,11820287,10363083,10513946,12993527,10261565,10736993,11456447,11252175,11714652,11350156,10781766,12343612,10735658,11825128,10630688,9654504,11258518,12088664,12020376,10177349,12455330,14285344,14457770,12899582,13615890,11501346,10715362,10280280,10298385,11118746,10702437,12617483,10441094,13147271,10927674,13768678,11886254,12287308,10304594,10574941,9678796,10574617,10186339,11790672,10849487,10706326,11564382,10913585,10954542,13091882,10039490,10873020,11365050,10746853,10845452,11652714,9951186
13538984,13700291,11149578,16034777,10529854,11217996,13524307,13165709,13940388,9606670,14359631,16560832,11649301,10271201,15198009,16025350,12942277,12865545,11226830,11855040,11477486,13615423,12793965,16751912,12059090,9300443,12963965,11541044,9347452,10540725,11726482,11162861,11639418,10661153,11121350,12871915,11328745,11519496,13070683,11632853,10305936,12281595,12209402,12214597,9728109,11124431,14560099,10989178,9417480,10195593,11255863,14906235,11156912,9897330,10966215,10572154,11133172,9869687,11272521,13811620,9620415,10546047,12611283,11518013,13372791,11582361,9945089,13094897,11826818,12273652,9890844,9131764,12023778,13112265,12111560,9917945,14910093,15615160,15519180,12921391,15476674,13146205,10202884,9846682,10415188,11410807,10234784,12926653,10848847,14562174,10490590,14479854,13231002,12901996,9753958,11747248,9504639,9243000,9753789,13752629,10951416,9845731,11742396,11701109,11672587,13391657,9207016,10743071,12017955,10601232,10505556,12820558,9902998
14454451,13170026,11085999,14608855,11033793,10794997,13917472,12977462,13876359,10148423,13348072,16427657,11655268,10205436,15005388,16748661,12471238,12969245,10694167,12166453,11012096,15229414,11529055,15866312,12346549,8888555,13168203,11261689,9056862,10342580,12300697,10917809,12831900,10041063,10960713,11627741,12286313,10963896,13266861,11505920,10072069,12829295,11209620,11860296,10032468,10810866,14580597,11129173,8967088,10020358,10329131,15476796,10849680,10476733,10002999,10089000,11630956,9444069,10967597,14170778,9391283,10360846,12452048,10709085,13339814,11327845,9888855,11572035,12349877,11497601,9982975,9057532,11616876,14277279,11278492,9705297,13749571,16410902,15039727,13345949,15350471,12763537,10242758,9965231,9938690,12130587,9815163,11782015,11064981,13866492,10584831,14070755,13379724,12318328,10377103,11131034,9499401,8975408,9606455,11987283,11381491,9434400,12042348,11794743,11129174,14682374,8605114,10439145,11362396,10731783,10207880,13130665,9487782
15237323,15132252,10995781,15808531,11557831,11368680,15288680,11817845,14354405,9992563,13008111,17320474,11993836,10268161,15470125,17099244,13205291,13452380,10897660,11625266,10903170,14604019,11888834,17318312,12283024,8900079,13392594,11559550,9333664,10471951,12834866,10322745,12716153,9759117,9807737,12068547,11656655,10771939,12233929,11733195,10326914,13047807,12011735,11997452,10070153,10669337,15304297,10737279,8765618,9596081,10143009,16822679,11369413,10140983,10158968,9473645,11261932,9241271,10304321,13887219,9120598,10175241,11488794,11369936,13128695,11726370,10350034,12515681,12382865,12142850,10202135,8384573,10907999,12164939,11356979,9411388,13640978,16840265,16017988,14052568,16005786,12927191,10629783,9501759,9100672,11222956,9741593,13060727,10833004,14452648,10560521,15134143,13914369,13429911,10237831,10368745,8471597,8969900,9279751,12147629,10725753,9294638,11843278,11765684,11153705,15943013,8737334,9843385,11207566,10736893,10520010,13110383,9009608
15141572,15503043,10706239,16305243,11548224,11427081,15619149,12031082,14423735,10141890,13717320,17505502,12248111,10293670,15729892,17209347,13519078,13625904,10947380,11585197,11080738,15321603,11908232,17532781,12201541,8819043,13865102,11410833,9000655,10085187,12790348,10669172,12163116,9856166,9531726,12805504,12341900,10812863,12647605,11626227,10371032,12541078,11883818,11962575,10213677,10423154,15218761,10129492,8349279,9394960,10033510,17291678,11293139,9544088,10684687,9354323,12158481,8886702,10138307,13868818,9301190,9868929,11010498,11662742,12757859,11505702,10327690,12594096,12798456,12215300,9975264,7831500,11407083,12594055,11398464,9076639,13188649,17482411,16521020,14697265,15962314,12780510,10682991,9692892,9141364,10916807,9841825,13145496,10807422,14340627,10438675,15056720,13635064,13686142,9979973,10175012,8251942,8852282,9210573,11946175,10854456,9793126,11264714,11481571,10939731,16450276,8779085,9618342,11130861,10457179,10679027,13149016,8799655
15116395,16462227,9901090,17326780,11967001,11719213,15408007,11589866,15852616,10465702,14740941,18356658,12473144,10707868,17068474,18004855,14320209,14393715,11289298,11382211,11889279,15380900,13015151,17738052,11888562,8285400,14251226,10722452,8300614,10080089,12464145,11526692,13363450,10175877,9192736,13786984,13175076,10954224,12548671,11544851,9688005,12629078,12310877,12837747,10109188,9790609,16299952,9332504,8129625,8964155,10075662,17379661,12729910,8479594,10159840,8784537,13363536,8629172,9335292,14713253,9396686,9237828,11078759,12091977,12337560,11570662,9864152,13734019,11485147,12915326,9671087,7167868,11846266,13499656,12864669,8240230,13287529,18377239,18150933,15824020,16984685,13036396,10187751,9141319,8472457,10456210,9903859,14349045,9989959,15530500,11079827,16218610,13351167,13185458,9804272,10036016,7471266,9009577,8953719,12977193,10904302,10129612,12099889,11715414,10521444,16539067,8482075,9070007,11233566,10156363,10801614,13209462,8387229
14871002,16938893,9059578,17842705,11783669,11710492,14956845,11162276,16694924,10447678,15268241,18741658,12322937,10386489,17834476,18351893,14770310,14740526,11363522,10703539,12287236,15188325,13316128,17666908,11665115,7728571,14308406,9870711,7445855,10008013,11889175,11378509,14088406,9721795,8430890,14295359,13891334,10683817,12240350,11267913,8883181,12486993,12327135,13266403,10016377,9564820,16921623,9016376,7461493,8238923,10001968,17065410,13315907,7649295,9724039,8227458,13547369,8091316,8377972,15008860,8882510,8977118,10985752,11416184,11785135,11374472,9692428,14371563,10460483,13121163,9157870,6326756,11885547,14039986,13968303,7600093,13136767,18787882,19174663,16555224,17485423,12571090,9525458,8382817,7736024,9961445,9383344,15083107,8973151,16033277,11069444,16941790,12975382,12689944,9137150,9314679,6643955,9029042,8291996,13396356,10213078,9573868,12768074,11383590,10366255,16364273,7943458,8220183,11307574,10315164,10779602,13142517,7695106
15405619,17458851,9610740,18341413,12215960,12499096,15266656,11748018,17380220,11410739,15786601,19043367,13214799,10968243,18614208,18865928,15353294,15278525,12055142,11245925,13173964,15631961,14307147,18241981,11873096,8660869,14823682,10827354,9765029,10725727,12060467,12113139,14822832,10270499,9222220,15243268,14661498,11400545,12697405,11870969,9532404,13438875,12716159,14158226,10858339,10679590,17721901,9826032,8264469,8870649,10499449,17354452,13757455,8641535,10284572,8770995,14615203,8679598,9061581,15305312,9238323,9887105,11426313,11856388,12668822,12307984,10134903,15258738,11228066,13716590,9427345,7256249,12743234,15133018,14705134,8430352,13512605,19141919,19977271,17501062,17965559,12663014,10015819,8641390,8355107,10199535,9658515,15829948,9197509,16662548,12097234,17449303,13524854,12760783,9720052,9574242,7542938,9736354,8822213,14042965,10720267,9881578,13857287,11987397,10731570,16883797,8469006,8889511,11747173,10819458,11279713,13596700,8371405
15303717,17351988,9637915,18156455,12154885,12493687,15283732,11290346,17381785,11274117,15794777,18968923,12726806,11021249,18628973,18872274,15281271,15292520,11997146,10718666,12762112,15459237,13905855,17849781,11450847,8557840,14863940,10413024,9682120,10732253,11671415,11996987,14781128,10011579,9128247,15265545,14631475,11352295,12352529,11487397,9463914,12951824,12365295,13792371,10654846,10491703,17632964,9787827,8167944,8813350,10515533,17337904,13704118,8600469,10230827,8603513,14269465,8608729,8995665,15273305,9171142,9788459,11074518,11859943,12357071,12268731,9979227,15127415,11197541,13684083,9318313,7212542,12741122,15137013,14612569,8324283,13442020,19128138,19834391,17396059,17977649,12216718,9877981,8509962,8209591,10023424,9497987,15725266,9054740,16585983,12068560,17385827,13479956,12758161,9597432,9485564,7522760,9567045,8682979,13948777,10574113,9799582,13422867,11621882,10628311,16860585,8377391,8585133,11294937,10481480,10907751,13573246,8360127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
