Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
7275781.73,7275781.73,7500781.73,7275781.73,7275781.73,7275781.73,7500781.73,7575781.73,7275781.73,7275781.73,7275781.73,7388281.73,7575781.73,7500781.73,7650781.73,7388281.73,7388281.73,7500781.73,7650781.73,7575781.73,7575781.73,7275781.73,7388281.73,7650781.73,7575781.73,7650781.73,7575781.73,7650781.73,7650781.73,7500781.73,7500781.73,7500781.73,7275781.73,7575781.73,7388281.73,7275781.73,7275781.73,7275781.73,7575781.73,7500781.73,7500781.73,7575781.73,7500781.73,7575781.73,7500781.73,7388281.73,7275781.73,7275781.73,7388281.73,7575781.73,7275781.73,7388281.73,7275781.73,7500781.73,7575781.73,7575781.73,7500781.73,7275781.73,7575781.73,7275781.73,7500781.73,7275781.73,7500781.73,7275781.73,7275781.73,7275781.73,7500781.73,7388281.73,7275781.73,7275781.73,7650781.73,7650781.73,7388281.73,7500781.73,7388281.73,7575781.73,7275781.73,7275781.73,7275781.73,7575781.73,7275781.73,7575781.73,7650781.73,7575781.73,7650781.73,7650781.73,7650781.73,7388281.73,7650781.73,7275781.73,7275781.73,7275781.73,7275781.73,7275781.73,7388281.73,7575781.73,7575781.73,7388281.73,7500781.73,7388281.73,7275781.73,7575781.73,7650781.73,7575781.73,7500781.73,7275781.73,7500781.73,7575781.73,7650781.73,7650781.73,7500781.73,7275781.73,7500781.73
6652739.31,6652739.31,6852739.31,6652739.31,6652739.31,6652739.31,6852739.31,6919405.98,6652739.31,6652739.31,6652739.31,6752739.31,6919405.98,6852739.31,6986072.64,6752739.31,6752739.31,6852739.31,6986072.64,6919405.98,6919405.98,6652739.31,6752739.31,6986072.64,6919405.98,6986072.64,6919405.98,6986072.64,6986072.64,6852739.31,6852739.31,6852739.31,6652739.31,6919405.98,6752739.31,6652739.31,6652739.31,6652739.31,6919405.98,6852739.31,6852739.31,6919405.98,6852739.31,6919405.98,6852739.31,6752739.31,6652739.31,6652739.31,6752739.31,6919405.98,6652739.31,6752739.31,6652739.31,6852739.31,6919405.98,6919405.98,6852739.31,6652739.31,6919405.98,6652739.31,6852739.31,6652739.31,6852739.31,6652739.31,6652739.31,6652739.31,6852739.31,6752739.31,6652739.31,6652739.31,6986072.64,6986072.64,6752739.31,6852739.31,6752739.31,6919405.98,6652739.31,6652739.31,6652739.31,6919405.98,6652739.31,6919405.98,6986072.64,6919405.98,6986072.64,6986072.64,6986072.64,6752739.31,6986072.64,6652739.31,6652739.31,6652739.31,6652739.31,6652739.31,6752739.31,6919405.98,6919405.98,6752739.31,6852739.31,6752739.31,6652739.31,6919405.98,6986072.64,6919405.98,6852739.31,6652739.31,6852739.31,6919405.98,6986072.64,6986072.64,6852739.31,6652739.31,6852739.31
5919230.29,5919230.29,6094230.29,5919230.29,5919230.29,5919230.29,6094230.29,6152563.62,5919230.29,5919230.29,5919230.29,6006730.29,6152563.62,6094230.29,6210896.96,6006730.29,6006730.29,6094230.29,6210896.96,6152563.62,6152563.62,5919230.29,6006730.29,6210896.96,6152563.62,6210896.96,6152563.62,6210896.96,6210896.96,6094230.29,6094230.29,6094230.29,5919230.29,6152563.62,6006730.29,5919230.29,5919230.29,5919230.29,6152563.62,6094230.29,6094230.29,6152563.62,6094230.29,6152563.62,6094230.29,6006730.29,5919230.29,5919230.29,6006730.29,6152563.62,5919230.29,6006730.29,5919230.29,6094230.29,6152563.62,6152563.62,6094230.29,5919230.29,6152563.62,5919230.29,6094230.29,5919230.29,6094230.29,5919230.29,5919230.29,5919230.29,6094230.29,6006730.29,5919230.29,5919230.29,6210896.96,6210896.96,6006730.29,6094230.29,6006730.29,6152563.62,5919230.29,5919230.29,5919230.29,6152563.62,5919230.29,6152563.62,6210896.96,6152563.62,6210896.96,6210896.96,6210896.96,6006730.29,6210896.96,5919230.29,5919230.29,5919230.29,5919230.29,5919230.29,6006730.29,6152563.62,6152563.62,6006730.29,6094230.29,6006730.29,5919230.29,6152563.62,6210896.96,6152563.62,6094230.29,5919230.29,6094230.29,6152563.62,6210896.96,6210896.96,6094230.29,5919230.29,6094230.29
5019526.48,5019526.48,5169526.48,5019526.48,5019526.48,5019526.48,5169526.48,5219526.48,5019526.48,5019526.48,5019526.48,5094526.48,5219526.48,5169526.48,5269526.48,5094526.48,5094526.48,5169526.48,5269526.48,5219526.48,5219526.48,5019526.48,5094526.48,5269526.48,5219526.48,5269526.48,5219526.48,5269526.48,5269526.48,5169526.48,5169526.48,5169526.48,5019526.48,5219526.48,5094526.48,5019526.48,5019526.48,5019526.48,5219526.48,5169526.48,5169526.48,5219526.48,5169526.48,5219526.48,5169526.48,5094526.48,5019526.48,5019526.48,5094526.48,5219526.48,5019526.48,5094526.48,5019526.48,5169526.48,5219526.48,5219526.48,5169526.48,5019526.48,5219526.48,5019526.48,5169526.48,5019526.48,5169526.48,5019526.48,5019526.48,5019526.48,5169526.48,5094526.48,5019526.48,5019526.48,5269526.48,5269526.48,5094526.48,5169526.48,5094526.48,5219526.48,5019526.48,5019526.48,5019526.48,5219526.48,5019526.48,5219526.48,5269526.48,5219526.48,5269526.48,5269526.48,5269526.48,5094526.48,5269526.48,5019526.48,5019526.48,5019526.48,5019526.48,5019526.48,5094526.48,5219526.48,5219526.48,5094526.48,5169526.48,5094526.48,5019526.48,5219526.48,5269526.48,5219526.48,5169526.48,5019526.48,5169526.48,5219526.48,5269526.48,5269526.48,5169526.48,5019526.48,5169526.48
4072542.21,4072542.21,4197542.21,4072542.21,4072542.21,4072542.21,4197542.21,4239208.87,4072542.21,4072542.21,4072542.21,4135042.21,4239208.87,4197542.21,4280875.54,4135042.21,4135042.21,4197542.21,4280875.54,4239208.87,4239208.87,4072542.21,4135042.21,4280875.54,4239208.87,4280875.54,4239208.87,4280875.54,4280875.54,4197542.21,4197542.21,4197542.21,4072542.21,4239208.87,4135042.21,4072542.21,4072542.21,4072542.21,4239208.87,4197542.21,4197542.21,4239208.87,4197542.21,4239208.87,4197542.21,4135042.21,4072542.21,4072542.21,4135042.21,4239208.87,4072542.21,4135042.21,4072542.21,4197542.21,4239208.87,4239208.87,4197542.21,4072542.21,4239208.87,4072542.21,4197542.21,4072542.21,4197542.21,4072542.21,4072542.21,4072542.21,4197542.21,4135042.21,4072542.21,4072542.21,4280875.54,4280875.54,4135042.21,4197542.21,4135042.21,4239208.87,4072542.21,4072542.21,4072542.21,4239208.87,4072542.21,4239208.87,4280875.54,4239208.87,4280875.54,4280875.54,4280875.54,4135042.21,4280875.54,4072542.21,4072542.21,4072542.21,4072542.21,4072542.21,4135042.21,4239208.87,4239208.87,4135042.21,4197542.21,4135042.21,4072542.21,4239208.87,4280875.54,4239208.87,4197542.21,4072542.21,4197542.21,4239208.87,4280875.54,4280875.54,4197542.21,4072542.21,4197542.21
3292141.32,3292141.32,3392141.32,3292141.32,3292141.32,3292141.32,3392141.32,3425474.66,3292141.32,3292141.32,3292141.32,3342141.32,3425474.66,3392141.32,3458807.99,3342141.32,3342141.32,3392141.32,3458807.99,3425474.66,3425474.66,3292141.32,3342141.32,3458807.99,3425474.66,3458807.99,3425474.66,3458807.99,3458807.99,3392141.32,3392141.32,3392141.32,3292141.32,3425474.66,3342141.32,3292141.32,3292141.32,3292141.32,3425474.66,3392141.32,3392141.32,3425474.66,3392141.32,3425474.66,3392141.32,3342141.32,3292141.32,3292141.32,3342141.32,3425474.66,3292141.32,3342141.32,3292141.32,3392141.32,3425474.66,3425474.66,3392141.32,3292141.32,3425474.66,3292141.32,3392141.32,3292141.32,3392141.32,3292141.32,3292141.32,3292141.32,3392141.32,3342141.32,3292141.32,3292141.32,3458807.99,3458807.99,3342141.32,3392141.32,3342141.32,3425474.66,3292141.32,3292141.32,3292141.32,3425474.66,3292141.32,3425474.66,3458807.99,3425474.66,3458807.99,3458807.99,3458807.99,3342141.32,3458807.99,3292141.32,3292141.32,3292141.32,3292141.32,3292141.32,3342141.32,3425474.66,3425474.66,3342141.32,3392141.32,3342141.32,3292141.32,3425474.66,3458807.99,3425474.66,3392141.32,3292141.32,3392141.32,3425474.66,3458807.99,3458807.99,3392141.32,3292141.32,3392141.32
2403499.79,2403499.79,2478499.79,2403499.79,2403499.79,2403499.79,2478499.79,2503499.79,2403499.79,2403499.79,2403499.79,2440999.79,2503499.79,2478499.79,2528499.79,2440999.79,2440999.79,2478499.79,2528499.79,2503499.79,2503499.79,2403499.79,2440999.79,2528499.79,2503499.79,2528499.79,2503499.79,2528499.79,2528499.79,2478499.79,2478499.79,2478499.79,2403499.79,2503499.79,2440999.79,2403499.79,2403499.79,2403499.79,2503499.79,2478499.79,2478499.79,2503499.79,2478499.79,2503499.79,2478499.79,2440999.79,2403499.79,2403499.79,2440999.79,2503499.79,2403499.79,2440999.79,2403499.79,2478499.79,2503499.79,2503499.79,2478499.79,2403499.79,2503499.79,2403499.79,2478499.79,2403499.79,2478499.79,2403499.79,2403499.79,2403499.79,2478499.79,2440999.79,2403499.79,2403499.79,2528499.79,2528499.79,2440999.79,2478499.79,2440999.79,2503499.79,2403499.79,2403499.79,2403499.79,2503499.79,2403499.79,2503499.79,2528499.79,2503499.79,2528499.79,2528499.79,2528499.79,2440999.79,2528499.79,2403499.79,2403499.79,2403499.79,2403499.79,2403499.79,2440999.79,2503499.79,2503499.79,2440999.79,2478499.79,2440999.79,2403499.79,2503499.79,2528499.79,2503499.79,2478499.79,2403499.79,2478499.79,2503499.79,2528499.79,2528499.79,2478499.79,2403499.79,2478499.79
1540944.37,1540944.37,1590944.37,1540944.37,1540944.37,1540944.37,1590944.37,1607611.03,1540944.37,1540944.37,1540944.37,1565944.37,1607611.03,1590944.37,1624277.7,1565944.37,1565944.37,1590944.37,1624277.7,1607611.03,1607611.03,1540944.37,1565944.37,1624277.7,1607611.03,1624277.7,1607611.03,1624277.7,1624277.7,1590944.37,1590944.37,1590944.37,1540944.37,1607611.03,1565944.37,1540944.37,1540944.37,1540944.37,1607611.03,1590944.37,1590944.37,1607611.03,1590944.37,1607611.03,1590944.37,1565944.37,1540944.37,1540944.37,1565944.37,1607611.03,1540944.37,1565944.37,1540944.37,1590944.37,1607611.03,1607611.03,1590944.37,1540944.37,1607611.03,1540944.37,1590944.37,1540944.37,1590944.37,1540944.37,1540944.37,1540944.37,1590944.37,1565944.37,1540944.37,1540944.37,1624277.7,1624277.7,1565944.37,1590944.37,1565944.37,1607611.03,1540944.37,1540944.37,1540944.37,1607611.03,1540944.37,1607611.03,1624277.7,1607611.03,1624277.7,1624277.7,1624277.7,1565944.37,1624277.7,1540944.37,1540944.37,1540944.37,1540944.37,1540944.37,1565944.37,1607611.03,1607611.03,1565944.37,1590944.37,1565944.37,1540944.37,1607611.03,1624277.7,1607611.03,1590944.37,1540944.37,1590944.37,1607611.03,1624277.7,1624277.7,1590944.37,1540944.37,1590944.37
683766.51,683766.51,708766.51,683766.51,683766.51,683766.51,708766.51,717099.84,683766.51,683766.51,683766.51,696266.51,717099.84,708766.51,725433.18,696266.51,696266.51,708766.51,725433.18,717099.84,717099.84,683766.51,696266.51,725433.18,717099.84,725433.18,717099.84,725433.18,725433.18,708766.51,708766.51,708766.51,683766.51,717099.84,696266.51,683766.51,683766.51,683766.51,717099.84,708766.51,708766.51,717099.84,708766.51,717099.84,708766.51,696266.51,683766.51,683766.51,696266.51,717099.84,683766.51,696266.51,683766.51,708766.51,717099.84,717099.84,708766.51,683766.51,717099.84,683766.51,708766.51,683766.51,708766.51,683766.51,683766.51,683766.51,708766.51,696266.51,683766.51,683766.51,725433.18,725433.18,696266.51,708766.51,696266.51,717099.84,683766.51,683766.51,683766.51,717099.84,683766.51,717099.84,725433.18,717099.84,725433.18,725433.18,725433.18,696266.51,725433.18,683766.51,683766.51,683766.51,683766.51,683766.51,696266.51,717099.84,717099.84,696266.51,708766.51,696266.51,683766.51,717099.84,725433.18,717099.84,708766.51,683766.51,708766.51,717099.84,725433.18,725433.18,708766.51,683766.51,708766.51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
