Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
9054729.3,9666959.88,6612635.12,10365359.5,6845417.24,7054186.46,8367625.96,6843158.97,9142208.99,6599147.91,9065535.08,9974626.2,7283231.71,6542077.26,9458635.48,10134765.49,8106843.05,8794010.89,6419850.11,7280155.43,7024102.24,9368561.95,7616550.31,10665345.94,7630455.31,5616937.23,8157616.13,6404503.78,5071669.89,6618827.55,7175853.64,6719496.18,8205819.54,6126064.58,5682555.22,8052026.38,7489886.27,6933604.66,6873877.53,7178946.37,6128344.18,7682405.05,6780862.07,7401271.78,6327407.98,6669277.11,9019568.73,6295312.57,5561631.56,5880796.14,6013193.33,9664569.19,6985952.99,5714270.26,5932120.98,6136047.05,7433932.58,5837648.83,6002936.01,8718961.53,5726417.54,6247285.15,7035284.63,6811567.8,7318199.17,6918872.51,6296330.9,8007202.03,6245823.37,7439236.03,6130831.33,5061140.98,6818514.96,7727939.92,7653133.7,5634139.09,8129564.53,10134332.02,10323232.83,8616088.06,9400777.43,7084483.2,6223589.42,5746923.84,5766761.71,6665435.49,6209430.89,8307157.71,5923120.28,8887308.16,6456156.28,9568214.73,7506203.3,7945531.08,5773564.69,6069759.05,5087765.69,6069404.25,5643989.63,7401487.49,6370513.1,6213690.77,7153553.04,6440723.52,6485585.77,8826658.85,5483071.52,6396289.85,6935182.6,6258085.96,6366092.7,7250336.77,5386300.67
9003439.84,8998678.54,6390526.69,11588746.39,5665497.77,6406902.48,8955947.84,8479984.32,9316985.19,4685331.89,9751318.08,12324098.33,6844812.95,5396472.28,10706951.1,11560218.45,8240729.48,8182354.75,6425035.59,7156226.86,6622257.16,9041124.91,8051292.84,12422851.39,7315927.22,4375097.91,8355997.85,6803351.1,4397911.99,5730795.63,6971135.71,6442018.1,6863364.11,5809169.67,6383604.55,8192387.56,6450847.46,6668300.43,8404931.15,6867289.83,5375901.92,7580153.16,7464759.55,7506160.58,4691473.24,6314625.31,9887468.18,6112784.08,4477080.31,5370811.38,6388811.42,10486480.64,6311691.79,5011031.68,6157310.58,5796950.36,6227046.01,5069066.32,6553708.97,9249970.98,4636568.13,5743668.75,7944656.29,6639226.55,8780721.99,6741381.98,4892405.59,8376112.94,7025834.77,7548246.77,4981359.88,4167221.31,7252000.69,8440343.52,7268159.23,5005801.04,10502256.08,11128719.98,11150966.34,8133266.27,10958705.58,8457108.73,5342493.47,5014842.92,5583087.42,6646310.44,5396264.02,8097328.81,5993575.57,10081766.64,5607077.86,9841560.19,8475335.51,8147601.51,4774603.29,7013389.99,4609115.98,4297973.48,4854217.17,8878713.53,6076622.09,4932199.13,6986547.63,6913402.72,6871027.24,8835115.29,4176663.34,6010062.05,7318984.85,5708892.32,5618578.18,8044599.81,5030451.43
9676866.13,7954930.95,5947356,9636738.27,5710664.17,5504586.14,9076192.45,7899028.51,8789943.21,4898424.2,8173252.85,11803894.43,6469475.72,5001560.65,9935628.65,11853932,7232817.17,7942305.25,5319494,7049795.54,5715559.22,10422943.9,6222386.73,11043644.88,7147741.68,3564806.8,8047564.96,6229114.5,3788171.54,5198853.13,7190684.75,5695603.32,7785843.6,4808397.32,5900988.54,6419414.51,7064878.41,5645772.91,8188266.53,6371967.92,4758866.86,7775835.44,5953731.37,6759517.23,4586863.89,5578507.96,9461780.73,5895471.41,3670136.18,4912388.68,5021015.19,10798965.85,5514959.48,5341386.15,4751751.37,4946072.35,6028146.17,4276362.1,5951901.19,9293078.29,4016373.27,5208905.26,7376987.28,5305586.69,8409239.75,6014146.23,4372756.55,6184693.08,7212696.21,6316589.66,4636337.98,3787545.09,6457760.76,9306935.8,5732267.11,4453542.2,8849000.51,11478455.19,10126684.78,8099387.89,10176119.47,7396174.37,4955377.88,4778585.2,4774256.43,7043525.38,4509128.24,6364925.49,5891373.93,8944759.55,5254193.59,8957647.26,8182457.04,7058801.13,5057647.16,6005475.92,4331900.99,3717048.63,4378081.03,6394741.92,6206931.06,4047542.94,6884659.83,6640803.78,5893426.78,9912467.57,3128679.06,5377387.36,6236140.77,5355052.61,4885613.23,7815994.5,4259079.56
9865414.91,9345328.58,5336016.68,10342976.44,5217569.49,5475451.62,10180583.37,6182892.33,8520419.95,4310871.41,6682323.98,12328616.23,6296796.05,4508093.66,9874937.72,11434431.28,7308279.55,8068399.93,5060708.02,5971999.63,5050689.53,9238398.4,5952411.11,11836882.99,6584876.28,3189488.83,7762008.17,6112177.52,3763963.99,5035213.29,7356711.65,4465270.28,6970538.88,3886330.03,4285276.6,6396585.79,5777152.86,4953249.87,6591243.21,6268306.34,4569868.83,7446145.7,6321523.62,6341655.65,4050226.23,4998051.43,9815146.38,5081681.38,3116632.22,3921557.44,4321035.48,11859634.98,5524605.18,4657423.94,4476596.87,3967348.97,4984207.95,3593512.43,4926599.03,8616333.11,2982533.14,4563717.39,5899008.33,5503828.24,7797416.46,5954144.85,4233344.7,6430635.41,6618910.35,6501447.4,4416324.25,2786010.1,5148858.69,6356008.3,5209808.73,3771530.25,8172318,11102633.76,10533301.12,7871853.78,9994885.58,6698427.76,4783574.13,3640637.15,3503370.29,5613969.78,3895924.41,7053946.85,5097083.38,8936207.07,4790077.14,9241920.06,8091594.87,7729279.31,4438607.05,4661610.82,2858632.21,3288219.3,3493461.9,5994188.98,5024550.05,3122897.19,6120277.05,6167054.72,5405329.45,10754632.23,2689605.65,4427238.64,5610888.61,4817290.32,4685502.35,6776511.61,3349936.2
8976285.46,8425611.8,4525533.39,10178453.34,4038764.97,5004601.23,10051916.84,5094042.51,7542016.67,3589862.23,6294129.55,11307919.18,5900295.63,3685372.93,9532104.6,10935074.98,6917746.61,7262883.24,4122717.86,5027379.09,4081032.43,9117881.18,5235021.32,10859968.82,5321826.9,2642174.46,7138562.07,5598615.6,2593366.6,4291919.06,6589719.77,4088273.32,5396610.76,3196768.74,3494160.91,6611023.29,4546932.21,4003223.1,6535794.37,5753105.41,3915855.3,6281727.14,5063117.62,5441959.34,3492013.12,4331627.61,8007547.99,4130248.23,2282361.62,3269466.41,3557008.63,11712956.1,4430991.52,3695787.55,3895914.47,3499361.14,4190293.36,2758296.18,4413409.11,7673318.7,2499036.17,3839089.38,5019122.17,4648608.13,6995432.68,4754544.05,3715351.74,5703992.87,6434877.68,6044185.71,3702494.89,1947164.34,4778889.39,5674672.28,4339229.21,3005751.42,6978116.68,10884873.48,9922398.16,6346351.99,7920936.73,5170230.86,4030875.17,3095552.55,3170986.63,4788628.8,3215506.62,6101611.75,4553349.49,8148055.9,3763569.61,7905465.13,6649179.88,7352575.85,3399652.94,3866191.48,2230785.18,2724730.89,2697017.57,4649299.13,4106031.62,2833356.76,4666351.51,5106872.01,4378801.78,10442051.16,1955746.85,3892107.98,4740725.73,3997110.94,4167063.23,5286113.71,2705671.37
6763022.19,7642962.12,3025396.19,8869861.14,2682326.72,3190515.35,7313987.21,2787740.11,5963438.16,2565159.07,4734283.09,9491232.11,4365475.98,2377895.58,6591009.46,8743440.91,4658169.82,5589273.98,2684575.79,3564990.06,2820954.62,6234782.02,3318272.91,8080008.1,3931792.61,1429947.51,4487794.14,4156910.01,587529.9,3656538.29,3793493.22,2573060.26,4229709.07,1835105.32,1764713,3695559.76,3067348.34,2807858.04,4256640.34,3790490.54,2325778.55,4029128.85,2970092.43,4030131.7,2360367.52,2656026.72,5220947.65,2670462.16,1366072.5,1826871.36,2025870.75,9878430.31,2765385.55,1946713.88,2274314.1,2232593.9,2598959.35,1659953.61,2457481.31,6049734.03,1461009.88,2375205.86,3967999.94,2980850.29,4112103.58,3598953.99,2507050.7,3919251.37,3075899.38,5317237.31,2334894.17,927287.99,3704062.23,3853964.33,3074730.65,1583973.68,5314915.74,9154377.11,6884018.6,3496082.21,5669886.88,3037601.88,2394711.07,1739985.24,1941407.47,3218177.36,2027957.11,3959836.8,2500845.64,7593780.84,2181312.48,5878640.87,3975774.82,5379761.68,1736456.88,2228666.8,1016913.2,1777137.49,1487803.03,3038869.07,2308877.52,1907248.59,3112118.52,2761411.29,2859484.09,8054787.33,1084996.46,2428388.86,3106478.15,2636947.9,2697120.53,3011878.92,1360598.8
3616758.58,4862104.96,1179544.9,4914812.42,1159062.27,1159094.62,2949784.56,1219605.17,2802428.19,820116.26,2945791.12,4810959.08,1341321.34,947034.72,2719329.6,3490686.92,1700237.77,3107014.77,661129.36,1776413.63,896176.27,4049684.19,1176905.85,4511627.82,2069485.58,69709.81,2341639.76,648422.14,-1189764.24,1237538.01,1784167.54,880333.5,1995503.78,592850.11,145370.98,1546573.63,878289.58,1223281.54,1363335.43,1751002.38,512392.42,1964889.5,968128.94,1375230.3,645351.58,814911,1706786.56,535580.41,175769.2,322704.92,324525.53,5510713.91,676001.36,-14139.97,335248.45,770140.66,857835.68,511741.29,359985.86,3482414.41,358094.36,420844.67,1297629.82,1275078.57,1449838.77,1161395,867334.83,1621211.62,501859.07,2598554.81,801884.83,-228406.1,1096535.82,1142322.74,1044489.06,120597.86,2888091.35,4590489.14,3439866.9,1208192.59,2845022.34,1217251.06,560025.86,437675.18,310404.37,1332171.99,755418.32,1478756.85,608693.99,4076673.61,350262.4,2805899.47,1721893.08,2829616.43,151708.43,632128.16,-184238.55,455364.92,252489.29,954078.99,584461.77,699346.59,1040655.55,736872.67,883230.8,3651676.91,172561.69,914755.83,1268954.1,826060.03,841104.02,931820.84,56023.3
2527883.14,2150492.27,1001910.75,2737968.73,1046753.18,964153.59,1385462.83,1043468.73,1561690.88,845101.75,2085838.42,1813614.88,1098088.74,919483.94,1397977.84,2323548.63,1185497.15,2005601.11,671187.34,1555359.81,883204.58,2656066.66,997739.36,3368837.17,1740551.09,634189.01,1349269.57,846388.15,607466.94,950286.21,1261935.15,860424.86,1467962.33,832528.83,655105.91,1227007.52,790293.39,1137763.98,672830.13,1251728.22,742511.61,1587909.46,729763.01,834494.51,718909.53,1026354.3,1333261.25,841676.23,696482.34,664351.08,521689.55,2261250.64,689412.54,550430.08,481317.68,1048132.41,777528.49,928026.65,634794.47,1732067.56,505070.19,680100.52,1127959.66,901571.97,1508365.22,1070769.01,892623.92,1045210.1,630729.92,1019802.13,719739.92,578523.64,761179.18,852475.95,918190.78,712763.76,1898635.27,1960548.3,1983115.68,1180752.12,1527513.24,982971.32,705253.17,548597.03,647280.48,1114625.47,755357.26,1070890.7,635138.07,1451139.08,716159.87,2116594.03,1236567.6,1804877.24,548227.21,675503.88,650959.5,849114.55,602625.39,831388.75,814604.79,778432.64,843521.13,660279.73,897813.72,1458212.5,570685.57,1410294.16,1211650.55,741679.91,807124.51,784294.23,576099.11
1345108.68,794805.83,579424.33,1280495.62,519246.66,543188.42,606546.24,517050.98,744125.23,334776.68,771809.87,700245.26,475717.6,543237.73,597048.27,916377.41,496633.24,955044.42,271664.61,863114.59,318051.89,1780007.56,426030.91,1599901.9,503640.66,258772.54,657053.2,347659.01,136324.02,532576.56,560667.19,397142.69,915639.04,439870.52,358072.86,635568.1,318929.63,488188.94,259109.28,375122.28,307251.33,536972.52,289808.44,318564.85,308418.61,431671.97,533055.76,302778.62,317494.26,236161.07,260952.57,922165.51,323593.57,230211.2,216763.47,600958.1,336012.38,520175.7,208228.94,785976.2,229422.13,249518.07,321413.17,543385.76,733874.35,534277.24,440478.31,434675.53,291092.34,452511.29,329631.11,286443.24,357296.48,353295.02,543537.02,410954.06,896569.74,693438.31,667203.05,489382.94,882507.99,401713.29,284573.7,156231.99,318032.94,545587.06,321879.69,496333.61,282510.44,438541.27,390861.86,1205527.92,593391.63,862239.72,248723.91,286028.67,457729.04,442902.33,273656.17,348871.09,333178.01,343965.08,327566.03,331963.92,311664.81,640910.11,230408.17,767238.37,612287.64,357777.26,396650.26,336674.49,294348.41
781885.2,628518.25,402261.31,847144.26,516051.36,970596.46,640343.78,611011.29,906294.61,448552.65,1403972.86,574322.78,554380.75,321530.86,561743.74,534356.76,367571.79,686946.55,362755.83,1017968.58,414099.6,1042242.52,637805.33,875275.92,577826.34,446430.22,390642.39,363977.62,200424.99,368134.31,393142.79,440706.19,568868.05,285479.96,590004.9,1749100.48,361651.53,379484.13,348985.68,513634.53,367975.73,707209.11,363519.84,490969.01,438344.71,427209.97,414790.9,296585.61,490314.81,220746.72,244796.2,737000.31,312086.53,418377.85,310363.32,667473.52,498101.98,367523.53,263085.24,833942.65,282608.98,276044.38,441417.99,664501.29,558808.66,668534.12,1069812.73,441903.77,357266.12,426555.01,377199.56,298610.4,367227.76,316635.25,347501.09,536370.9,802367.26,799777.67,816743.89,920769.01,1167724.86,538632.12,330708.05,251934.08,453958.76,325017.38,336617.59,542273.29,394547.25,566069.3,476150.44,920544.57,645095.12,519842.12,366141.8,248689.65,386580.75,322160.06,489822.54,625207.67,1316190.09,473879.29,410726.48,356619.67,491002.35,607726.05,298144.69,467934.9,731918.16,547388.91,456140.95,475679.02,479075.72
