Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000,6230000
5470000,5469999.99,5470000,5469999.99,5470000,5470000,5470000,5469999.99,5469999.99,5470000,5469999.99,5470000,5469999.99,5470000,5469999.99,5469999.99,5469999.99,5469999.99,5470000,5470000,5469999.99,5470000,5469999.99,5469999.99,5470000,5470000,5470000,5470000,5470000,5470000,5470000,5470000,5470000,5470000,5470000,5469999.99,5469999.99,5469999.99,5469999.99,5470000,5469999.99,5470000,5469999.99,5470000,5469999.99,5470000,5470000,5469999.99,5470000,5470000,5469999.99,5470000,5469999.99,5470000,5470000,5470000,5469999.99,5470000,5470000,5470000,5469999.99,5470000,5470000,5469999.99,5470000,5469999.99,5469999.99,5469999.99,5469999.99,5470000,5470000,5470000,5469999.99,5469999.99,5469999.99,5470000,5470000,5469999.99,5470000,5469999.99,5469999.99,5469999.99,5470000,5470000,5470000,5470000,5470000,5470000,5470000,5470000,5470000,5469999.99,5469999.99,5469999.99,5469999.99,5470000,5470000,5470000,5470000,5470000,5469999.99,5470000,5470000,5469999.99,5469999.99,5470000,5469999.99,5470000,5470000,5469999.99,5470000,5469999.99,5470000
4789999.99,4789999.99,4789999.99,4789999.99,4790000,4790000,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4789999.99,4790000,4790000,4790000,4790000,4789999.99,4790000,4789999.99,4789999.99,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4790000,4789999.99,4790000,4789999.99,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4790000,4790000,4789999.99,4789999.99,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4789999.99,4790000,4789999.99,4789999.99,4789999.99,4789999.99,4790000
4079999.99,4079999.98,4079999.99,4079999.99,4080000,4079999.99,4079999.99,4079999.98,4079999.99,4079999.99,4080000,4079999.99,4079999.98,4079999.99,4079999.99,4079999.99,4079999.99,4079999.98,4079999.99,4079999.99,4079999.98,4079999.99,4079999.99,4079999.99,4079999.99,4079999.99,4079999.99,4079999.99,4080000,4080000,4079999.99,4079999.99,4079999.99,4079999.99,4080000,4079999.98,4079999.99,4079999.98,4079999.98,4079999.99,4079999.98,4079999.99,4079999.98,4079999.99,4079999.99,4079999.99,4079999.99,4079999.98,4080000,4080000,4079999.98,4079999.99,4079999.99,4080000,4079999.99,4079999.99,4079999.99,4079999.99,4080000,4079999.99,4079999.99,4079999.99,4079999.99,4079999.99,4079999.99,4079999.98,4079999.99,4079999.99,4079999.99,4079999.99,4079999.99,4080000,4079999.98,4079999.99,4079999.99,4079999.99,4079999.99,4079999.99,4080000,4080000,4080000,4080000,4079999.99,4079999.99,4080000,4079999.99,4079999.99,4080000,4079999.99,4079999.99,4079999.99,4079999.99,4079999.99,4079999.99,4079999.98,4079999.99,4080000,4079999.99,4080000,4079999.99,4079999.98,4080000,4079999.99,4079999.98,4079999.98,4079999.99,4079999.99,4080000,4079999.99,4079999.99,4079999.99,4080000,4079999.99
3440000,3439999.99,3439999.99,3439999.99,3440000,3439999.99,3439999.99,3329782.12,3440000,3439999.99,3440000,3439999.99,3329782.12,3440000,3439999.99,3439999.99,3439999.99,3439999.99,3440000,3329782.13,3329782.12,3440000,3329782.12,3329782.13,3329782.13,3439999.98,3439999.99,3329782.13,3440000,3440000,3329782.12,3440000,3440000,3392188.43,3440000,3439999.98,3439999.99,3439999.99,3329782.11,3329782.13,3363553.48,3329782.12,3329782.13,3329782.13,3386980.97,3333736.81,3439999.99,3439999.98,3440000,3429840.45,3439999.99,3440000,3440000,3390265.11,3384591.58,3439999.99,3329782.13,3439999.99,3344361.1,3440000,3439999.98,3439999.98,3329782.13,3439999.99,3439999.98,3439999.99,3364567.18,3440000,3440000,3439999.99,3366087.82,3440000,3439999.99,3439999.99,3440000,3439999.99,3439999.99,3440000,3440000,3440000,3440000,3329782.13,3347342.62,3440000,3440000,3329782.12,3440000,3440000.01,3329782.12,3440000,3440000,3439999.99,3439999.99,3439999.99,3439999.99,3372198.7,3440000,3439999.99,3440000,3439999.99,3439999.98,3440000,3329782.13,3329782.13,3439999.99,3440000,3439999.99,3408503.19,3329782.12,3329782.12,3352295.41,3440000,3439999.99
2809999.99,2809999.99,2809999.99,2809999.99,2810000,2809999.99,2809999.99,2579564.26,2810000,2809999.99,2810000,2809999.99,2579564.26,2809999.99,2809999.98,2809999.99,2809999.99,2809999.99,2810000,2579564.27,2579564.26,2809999.99,2579564.26,2579564.26,2579564.27,2809999.99,2809999.99,2579564.27,2810000,2810000,2579564.26,2809999.99,2810000,2714254.38,2810000,2809999.98,2809999.99,2809999.99,2579564.25,2579564.27,2650035.21,2579564.26,2579564.26,2579564.26,2685225.66,2627935.24,2809999.98,2809999.99,2809999.99,2801701.07,2809999.99,2810000,2809999.99,2769373.54,2659272.72,2809999.99,2579564.26,2809999.99,2643967.46,2810000,2809999.98,2809999.99,2583844.91,2809999.99,2809999.98,2809999.99,2657624.99,2809999.99,2809999.99,2809999.99,2688461.73,2810000,2809999.99,2809999.99,2809999.99,2809999.99,2809999.99,2810000,2809999.99,2809999.99,2809999.99,2579564.26,2631649.87,2810000,2809999.99,2592310.85,2810000,2810000,2582221.38,2810000,2809999.99,2809999.99,2809999.99,2809999.99,2809999.99,2690992.79,2809999.99,2809999.99,2810000.01,2809999.99,2809999.98,2810000,2579564.26,2579564.26,2809999.99,2809999.99,2809999.99,2766928.55,2579564.26,2608921.89,2620515.79,2810000,2810000
2149999.99,2149999.98,2150000,2149999.98,2150000,2149999.99,2149999.99,1787080.61,2149999.99,2149999.99,2149999.99,2149999.98,1787080.59,2150000,2149999.98,2149999.98,2149999.99,2149999.99,2150000,1787080.61,1787080.6,2149999.99,1787080.6,1787080.6,1787080.61,2149999.99,2149999.99,1787080.6,2150000.01,2150000,1787080.6,2149999.99,2149999.99,1960358.46,2150000,2149999.98,2149999.98,2149999.99,1787080.59,1787080.6,1999669.32,1787080.6,1787080.6,1787080.6,1968862.2,1955053.36,2149999.98,2149999.99,2149999.99,2143650.28,2149999.99,2149999.99,2149999.99,2118915.69,1967683.24,2150000,1787080.6,2149999.99,2022964.43,2149999.99,2149999.98,2149999.99,1799818.2,2150000,2149999.98,2149999.99,1969608.81,2149999.99,2149999.99,2149999.99,2020507.16,2150000,2149999.99,2149999.98,2149999.99,2149999.99,2149999.99,2149999.99,2149999.98,2149999.99,2149999.99,1787080.6,1951397.41,2149999.99,2150000,1881512.19,2149999.99,2150000,1908659.33,2149999.99,2149999.99,2149999.99,2149999.99,2149999.99,2149999.99,1996743.24,2149999.99,2149999.99,2150000,2149999.99,2149999.99,2150000,1787080.6,1787080.6,2149999.99,2149999.99,2149999.99,2117044.98,1787080.6,1892111.79,1838913.44,2149999.99,2149999.99
1399999.99,1399999.98,1400000,1399999.99,1399999.99,1400000,1399999.99,888932.46,1399999.99,1400000,1399999.99,1399999.98,888932.46,1400000,1399999.98,1399999.99,1400000,1399999.99,1400000,921331.89,888932.44,1399999.99,888932.46,888932.45,888932.46,1399999.99,1399999.99,1020179.63,1400000,1400000.01,888932.45,1399999.99,1399999.99,1200780.34,1400000,1399999.99,1399999.99,1400000,888932.46,888932.46,1302110.25,888932.45,888932.45,888932.45,1197579.95,1247017.17,1400000,1399999.99,1399999.99,1395865.3,1400000,1399999.99,1399999.99,1379759.05,1269465.35,1400000,888932.46,1399999.99,1317279.16,1399999.99,1399999.99,1399999.99,929037.85,1400000,1399999.99,1400000,1219137.65,1399999.99,1399999.99,1399999.99,1315679.08,1400000,1399999.99,1399999.99,1400000,1400000,1399999.99,1399999.99,1399999.99,1400000,1399999.99,888932.46,1270677.37,1400000,1400000,1176142.11,1400000,1400000.01,1242847.94,1399999.99,1399999.99,1400000,1400000,1400000,1400000,1300204.9,1400000,1400000,1400000,1399999.98,1400000,1400000,888932.47,888932.45,1399999.99,1399999.99,1400000,1378540.92,888932.45,1041057.83,950268.09,1399999.99,1400000
600000,600000,600000,600000,599999.99,600000,599999.99,297520.66,600000.01,600000,600000.01,600000,297520.66,600000,600000.01,600000.01,599999.99,600000,600000,297520.66,297520.66,599999.99,297520.66,297520.66,297520.66,600000,599999.99,297520.66,600000,600000,297520.66,600000,599999.99,297520.66,600000,599999.99,599999.99,599999.99,297520.66,297520.66,525438.45,297520.66,297520.66,297520.66,297520.66,297520.66,600000,599999.99,600000,598227.99,600000,600000.01,599999.99,591325.31,318454.94,600000,297520.66,600000,564548.21,600000,600000,600000,297520.66,600000,600000,599999.99,297520.66,599999.99,600000,599999.99,502491.25,600000,600000,599999.99,600000,600000,600000,600000,600000,599999.99,599999.99,297520.66,398530.24,600000,600000,297520.66,600000,599999.99,532649.12,600000,600000,600000.01,599999.99,600000,600000,479369.46,600000,600000,600000,599999.98,600000,600000,297520.66,297520.66,600000,599999.99,600000,590803.25,297520.66,297520.66,297520.66,599999.99,600000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
