Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
2717,1026,1238,737,1160,2635,3256,1280,1226,1772,2145,1099,1993,896,2182,2426,1184,772,922,567,1154,1297,1146,906,918,494,928,664,1561,1626,1265,538,1525,1327,2378,2128,1519,1864,994,1265,973,930,1411,912,1775,1294,2101,1567,1594,1142,1452,1809,805,1021,990,621,1039,799,726,1199,1476,1322,1629,5946,1611,1527,1058,925,1335,1056,1154,908,1698,826,3096,1482,1291,2130,1527,1646,1341,1188,972,1192,958,954,820,4439,1121,1803,1260,2680,1196,1222,1170,1133,1009,1004,758,8531,1065,926,1778,1478,1644,996,1373,1869,1283,1026,1030,2958,1025
2848,1529,3401,1420,1873,2455,3991,2321,1986,2809,3800,2146,2452,2747,6251,2900,3084,1978,1706,1571,1250,3019,1745,1347,1591,1718,8499,1321,1172,1900,2448,4195,1400,998,2430,4165,1341,2095,1749,1553,1295,1246,3237,2099,2110,1079,1674,1022,1260,1656,993,2166,2799,1061,1749,861,4432,1300,984,1005,1561,1494,3601,2732,1238,1149,1054,3193,1404,1601,2945,972,2039,2838,13892,1224,1892,2906,1301,1788,1630,1607,1311,2430,1223,1188,1890,7238,1593,3076,1862,1347,1329,914,1073,1250,794,1541,1398,3769,1277,1246,4109,1367,2430,1103,1021,1170,1214,1166,1906,3526,768
3349,1647,3166,1723,2023,3288,4586,3024,2468,2350,7160,2186,3127,4478,4029,3101,4248,1667,1529,1319,908,3326,2507,1575,817,742,3614,2418,847,2390,1258,6393,10731,2196,819,4177,2104,1892,4907,2218,1337,890,1513,3320,1174,1000,3007,994,1715,2271,651,890,4224,836,2214,1205,1427,701,1082,978,1802,928,1888,3972,1716,1196,545,5651,1426,2176,1535,559,5081,13285,5425,1817,1807,4822,1144,1966,1587,1543,932,1517,890,1642,3576,10982,1670,4052,1190,1440,1611,592,1541,2765,615,1442,1680,3404,2237,1059,1972,1091,4167,2452,1285,1297,1460,2838,1098,1190,940
1670,808,1638,978,960,1640,2486,1441,1086,1264,2041,1397,1685,2676,1916,1171,2397,1259,1341,659,3420,383,399,452,294,351,1119,613,343,2549,494,2803,1168,720,335,5074,1472,819,1827,1167,962,376,1031,2116,366,762,2741,521,644,450,410,682,2255,322,461,708,851,390,1083,3160,584,511,1000,2553,478,345,311,3221,515,1319,1545,389,1932,5552,3896,1105,1367,2398,814,1411,1019,764,1843,382,446,560,1795,2535,751,2069,514,1406,1248,878,385,989,282,547,1274,2749,1426,441,871,623,2079,1678,581,688,516,610,1093,1124,670
1004,485,964,403,474,986,1805,865,529,540,887,595,1310,1887,1376,710,1485,800,321,192,655,125,538,196,357,591,526,474,3219,750,204,474,666,214,246,2343,442,228,1079,283,244,430,338,460,250,1024,461,347,457,276,349,993,1088,288,392,261,258,254,769,984,288,627,738,836,244,416,267,1213,270,465,630,468,415,2408,2279,861,754,1454,274,483,270,1105,601,336,341,255,2701,1541,416,1210,273,452,509,502,243,399,234,307,259,2085,346,281,296,493,542,977,195,506,274,1156,606,399,361
744,435,686,262,345,746,572,516,368,473,491,702,810,708,668,742,726,365,208,210,117,1063,125,159,331,292,224,157,468,190,210,321,1085,163,184,518,177,161,476,177,170,246,751,3309,224,234,495,249,527,311,242,412,278,228,827,213,370,202,241,408,207,452,176,219,455,198,3469,520,212,263,205,351,196,655,565,688,227,677,209,321,250,249,324,230,549,265,448,675,211,668,230,449,367,457,242,787,190,217,220,823,395,205,185,283,269,455,140,380,200,3030,194,237,182
1441,1234,1998,1453,1192,1511,2027,1531,1142,921,2671,1476,1229,2156,1672,3199,3681,1553,2160,2420,776,2880,1942,8097,3094,867,4005,3092,1010,887,10592,2491,462,143,208,2539,970,309,204,724,2119,312,440,418,2622,296,1038,3405,1997,834,1157,3427,713,468,232,898,257,208,1420,916,787,1937,5110,3474,978,1002,444,260,1175,2665,434,828,309,392,681,2723,414,2144,2749,1394,1282,506,311,1148,2128,233,527,364,239,662,739,397,2100,2511,445,527,181,310,1052,237,591,1542,615,1123,1185,384,1154,1690,285,841,237,1096,2741
3097,2251,4372,3602,2144,3024,3415,2663,2278,1169,6361,1944,2248,3731,2335,6592,2530,2810,365,7644,1283,4439,3852,10685,7006,1053,14571,2440,5891,1771,9521,2656,1496,1047,2428,906,1958,5254,354,4228,7980,11635,3935,1416,691,4888,2001,6715,359,4817,1576,3701,3191,6456,288,11068,341,7379,3363,1937,904,2921,6825,3167,3911,6492,2922,1812,970,1204,277,1339,336,1577,1432,4168,3720,3295,3398,766,2257,3790,2335,1966,652,751,4269,1728,1511,926,485,4484,785,6401,657,1160,330,1695,1129,2192,1420,5302,2222,652,3296,629,5242,2898,3059,4249,2803,1372,4108
2412,1430,1821,6642,1306,2089,3165,2135,1285,1490,1374,1278,1296,1882,1396,2361,1872,1001,6016,11679,2579,25216,353,8378,2392,1250,1513,2408,762,2448,6514,2741,3586,23479,14309,904,595,2132,302,2359,716,546,387,2338,945,690,1373,470,4299,287,277,437,9699,661,558,8569,4017,5671,458,1845,1214,10235,249,1660,1065,653,2728,658,658,2248,371,507,300,266,12386,2662,1380,1923,1416,1103,3494,656,958,274,1484,1537,1944,494,2250,997,516,11691,6367,3474,363,605,2237,827,2070,275,1297,1690,557,660,287,2080,1514,11207,9132,3509,4549,1384,377
1352,2680,1726,578,4344,6094,2689,1644,3366,1503,13472,2370,3854,1425,2176,4369,371,2419,1166,17703,952,887,811,795,1650,1271,1230,1337,401,528,1785,1220,1103,1010,2063,5812,1386,4754,434,5042,3334,2678,871,1155,375,482,570,572,3486,368,664,5632,695,595,4390,430,1506,1254,452,978,738,495,547,972,432,2546,10656,460,2326,446,518,767,735,628,1351,3023,1131,1904,1851,2323,2067,1617,781,483,998,436,2872,2750,1589,788,1033,1865,2466,438,7843,466,1247,1006,3732,1958,9489,501,464,346,6459,1270,846,1154,845,5280,1379,551,3515
