Head,TurbineCapacity
300,0
350,1512103.14
356,1556374.215
358,1563752.727
360,1571131.24
362,1578509.752
364,1585888.264
366,1593266.777
368,1600645.289
370,1611467.107
372,1615402.314
374,1622780.826
376,1629667.438
378,1637045.95
380,1644424.463
382,1651802.975
384,1659181.488
386,1666560
388,1673938.512
390,1681317.025
392,1688695.537
394,1692138.843
396,1696074.05
398,1703452.562
400,1706895.868
402,1718209.587
404,1725096.198
406,1729031.405
408,1732474.711
410,1739853.223
412,1747231.736
414,1751166.942
416,1754610.248
418,1758545.455
420,1761988.76
422,1769367.273
424,1776745.785
426,1784124.298
428,1787567.603
430,1794946.116
432,1798881.322
434,1806259.835
436,1809703.14
438,1813638.347
440,1817081.653
442,1820524.959
444,1827903.471
446,1839217.19
448,1842660.496
450,1850039.008
452,1857417.521
454,1864796.033
456,1872174.545
458,1879553.058
460,1882996.364
462,1886931.57
464,1894310.083
466,1897753.388
468,1901688.595
470,1909067.107
472,1912510.413
474,1919888.926
476,1927267.438
478,1930710.744
480,1934645.95
482,1942024.463
484,1945467.769
486,1949402.975
488,1952846.281
490,1964160
492,1967603.306
494,1967603.306
496,1974981.818
498,1978425.124
500,1982360.331
502,1985803.636
504,1993182.149
506,1993182.149
508,1997117.355
510,2000560.661
512,2004495.868
514,2004495.868
516,2007939.174
518,2015317.686
520,2018760.992
522,2022696.198
524,2026139.504
526,2030074.711
528,2030074.711
530,2033518.017
532,2037453.223
534,2037453.223
536,2040896.529
538,2044831.736
540,2048275.041
542,2052210.248
544,2052210.248
546,2055653.554
548,2059588.76
550,2063032.066
552,2063032.066
554,2048766.942
556,2040896.529
558,2033026.116
560,2025647.603
562,2018760.992
564,2011382.479
566,2004003.967
568,1996625.455
