Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111,Run112
731603.77,654615.77,753607.77,565968.77,707776.77,803920.77,686520.77,689585.11,664201.77,696607.77,573848.77,741872.77,701229.11,677000.77,697717.44,641889.77,695928.77,701987.77,728431.44,748076.11,681610.11,527249.77,732974.77,697241.44,807910.11,633508.44,693193.11,668685.44,716301.44,662021.77,677737.77,668007.77,660698.77,824536.11,663539.77,549037.77,740740.77,618870.77,724588.11,705553.77,716203.77,683818.11,685358.77,637439.11,665911.77,662511.77,616303.77,598925.77,662739.77,642255.11,642158.77,636228.77,592242.77,654059.77,630936.11,709674.11,650717.77,666234.77,683053.11,626177.77,627372.77,616033.77,632805.77,609651.77,628840.77,633498.77,650720.77,647364.77,646586.77,654977.77,684463.44,644073.44,579458.77,589869.77,609866.77,600863.11,622414.77,779730.77,705172.77,689884.11,649869.77,704450.11,651785.44,657181.11,653687.44,641200.44,662300.44,497881.77,662832.44,593800.77,619211.77,703113.77,737466.77,542568.77,621299.77,617584.11,666081.11,630137.77,648543.77,498372.77,658423.77,662011.11,664327.44,684422.11,599172.77,659896.77,688316.77,640145.11,663037.44,662324.44,679291.77,623618.77,650144.77
715192.35,698569.35,788578.35,657607.35,711814.35,714804.35,732205.35,798699.69,763206.35,652980.35,682694.35,746716.35,695190.69,737193.35,628863.02,658756.35,685844.35,698468.35,718127.02,704632.69,707050.69,532351.35,759319.35,819905.02,774134.69,795511.02,482865.69,778357.02,741572.02,685463.35,775502.35,622990.35,742230.35,796571.69,710914.35,666449.35,556990.35,724341.35,753016.69,762114.35,753739.35,748205.69,701136.35,717779.69,751170.35,758833.35,732282.35,687711.35,677814.35,707876.69,728214.35,772977.35,618403.35,696897.35,769092.69,786075.69,801896.35,755133.35,811565.69,765247.35,790319.35,746869.35,782617.35,747823.35,776241.35,758125.35,776284.35,725975.35,764662.35,764393.35,784658.02,803155.02,771189.35,754386.35,696308.35,789008.69,794457.35,596226.35,735965.35,813250.69,719678.35,716855.69,742582.02,769939.69,778893.02,746221.02,752011.02,508356.35,790733.02,688867.35,749590.35,754725.35,707809.35,735273.35,749198.35,746806.69,787729.69,717389.35,742994.35,566440.35,731220.35,796638.69,801304.02,764282.69,783871.35,729735.35,790014.35,792340.69,786879.02,789025.02,800922.35,722568.35,761431.35
805120.08,804300.08,799999.08,698056.08,821166.08,846432.08,840590.08,864502.42,925764.08,879693.08,791466.08,847968.08,930304.42,955537.08,838803.75,846513.08,951091.08,786391.08,865111.75,918957.42,869293.42,756182.08,952710.08,921877.75,998589.42,969220.75,922754.42,928525.75,800116.75,880599.08,960110.08,896204.08,820467.08,831931.42,940166.08,645879.08,866465.08,900416.08,854515.42,852060.08,852073.08,821363.42,861767.08,856111.42,873851.08,971270.08,733405.08,823228.08,863160.08,934799.42,921816.08,925319.08,894327.08,923011.08,968003.42,978365.42,976659.08,920147.08,953072.42,907488.08,915486.08,912088.08,943895.08,927100.08,899302.08,940452.08,931227.08,868539.08,937209.08,946859.08,991825.75,933425.75,929488.08,891947.08,807486.08,937547.42,925626.08,794928.08,841049.08,799197.42,916990.08,866432.42,901747.75,890686.42,928157.75,926913.75,844285.75,601415.08,930773.75,816330.08,917244.08,893950.08,885375.08,879895.08,908149.08,954165.42,940256.42,954364.08,958105.08,762558.08,881172.08,907162.42,946432.75,943382.42,902873.08,914408.08,943529.08,951885.42,1007061.75,990093.75,909312.08,922242.08,935590.08
844109.24,885574.24,925188.24,847662.24,841265.24,966119.24,1108968.24,968810.57,976055.24,802954.24,928419.24,943485.24,939154.57,1012061.24,896927.91,906705.24,987060.24,886527.24,917070.91,911644.57,899833.57,937973.24,1017689.24,1108095.91,1048487.57,921169.91,1093327.57,973288.91,920325.91,980760.24,1014076.24,997465.24,967910.24,997552.57,949601.24,841110.24,1055413.24,988559.24,970210.57,967522.24,978745.24,1008709.57,995006.24,916609.57,957705.24,858081.24,881655.24,909251.24,964864.24,935914.57,874351.24,941442.24,909398.24,944720.24,919671.57,957128.57,948777.24,932791.24,943543.57,841395.24,961457.24,931178.24,953266.24,920642.24,923329.24,919874.24,961341.24,978576.24,1000625.24,987243.24,977699.91,989017.91,940326.24,985556.24,940581.24,978658.57,959544.24,1046264.24,925368.24,959457.57,943225.24,953426.57,951936.91,984835.57,995311.91,991037.91,998535.91,955585.24,1015633.91,943101.24,973887.24,964290.24,910783.24,963721.24,1000435.24,1002555.57,996949.57,956699.24,947204.24,958740.24,958907.24,978970.57,991933.91,989781.57,969927.24,951048.24,989207.24,1003994.57,967612.91,982163.91,973427.24,971879.24,1022284.24
798677.15,796186.15,757044.15,752097.15,760462.15,863791.15,854113.15,880967.49,764738.15,795219.15,752694.15,805031.15,850390.49,794005.15,976440.82,801101.15,804743.15,850106.15,798810.82,835589.49,833304.49,841115.15,865294.15,856637.82,906408.49,824492.82,861457.49,873921.82,889668.82,888816.15,840615.15,836417.15,815361.15,846797.49,801591.15,1072825.15,863596.15,878667.15,879415.49,880227.15,845205.15,816823.49,774438.15,786137.49,779839.15,798424.15,797676.15,776573.15,795886.15,791293.49,772708.15,786435.15,679770.15,809226.15,862701.49,891739.49,844277.15,828800.15,827398.49,781390.15,845090.15,822442.15,829650.15,800177.15,803174.15,817158.15,836935.15,812832.15,833110.15,830929.15,846488.82,834710.82,828720.15,821782.15,797591.15,822483.49,792944.15,843403.15,846412.15,881982.49,953984.15,818454.49,834699.82,802179.49,820588.82,834146.82,812662.82,772575.15,815393.82,780443.15,763855.15,810977.15,802198.15,798917.15,792422.15,814463.49,820208.49,788972.15,828246.15,816410.15,801654.15,810438.49,825799.82,796559.49,853264.15,803528.15,806999.15,825533.49,857329.82,830114.82,833964.15,796423.15,834835.15
958372.8,862824.8,801508.8,818671.8,837042.8,911078.8,911448.8,922789.14,817459.8,909994.8,818853.8,903979.8,1022097.14,821857.8,952030.47,883942.8,877146.8,958163.8,890152.47,820065.14,921024.14,868258.8,857963.8,985850.47,911795.14,910981.47,823031.14,934249.47,941873.47,912572.8,938032.8,923492.8,903890.8,912525.14,901757.8,777791.8,890273.8,908970.8,902941.14,899382.8,890994.8,879052.14,907662.8,873756.14,824614.8,847858.8,831078.8,847363.8,841433.8,903229.14,851567.8,909080.8,803029.8,904143.8,927759.14,915263.14,904621.8,907657.8,938395.14,911470.8,906015.8,871543.8,901382.8,883575.8,904531.8,878047.8,920913.8,928753.8,924617.8,908764.8,955570.47,926787.47,912630.8,899540.8,953584.8,955746.14,854072.8,1099626.8,941217.8,918855.14,807320.8,885477.14,881067.47,895372.14,897547.47,934597.47,912873.47,850576.8,910582.47,864139.8,861376.8,884653.8,866716.8,878478.8,860332.8,889712.14,894458.14,863812.8,902916.8,877750.8,878015.8,913983.14,935662.47,882932.14,921768.8,896712.8,944180.8,937090.14,970563.47,939258.47,904585.8,922621.8,961052.8
850861.58,761880.58,735016.58,754165.58,738562.58,858951.58,835018.58,830038.92,812208.58,896526.58,812464.58,826341.58,878907.92,713629.58,833022.25,872848.58,758971.58,911526.58,891789.25,763360.92,868733.92,776545.58,830036.58,937375.25,776099.92,808274.25,764147.92,811685.25,961511.25,869968.58,917357.58,889088.58,901807.58,897933.92,883927.58,751297.58,712215.58,867193.58,924969.92,854994.58,876488.58,910441.92,867078.58,866441.92,785032.58,863494.58,760229.58,775787.58,837501.58,780042.92,791067.58,814348.58,846885.58,851581.58,889029.92,853384.92,874697.58,885782.58,870359.92,862410.58,881334.58,857413.58,869034.58,848791.58,844862.58,867344.58,900240.58,922070.58,877980.58,907119.58,936030.25,924167.25,889866.58,865164.58,768127.58,910622.92,877882.58,946200.58,873624.58,885157.92,855284.58,879105.92,897447.25,868137.92,882395.25,924686.25,887187.25,879815.58,911306.25,861939.58,846941.58,890801.58,873850.58,830242.58,880462.58,899503.92,896863.92,867856.58,879863.58,890381.58,872752.58,894527.92,899873.25,883430.92,932841.58,885216.58,867281.58,918833.92,902527.25,927264.25,920157.58,896353.58,919496.58
835543.07,853893.07,808822.07,768744.07,776673.07,873946.07,842405.07,903560.41,828481.07,868765.07,804585.07,829931.07,841588.41,854309.07,803157.74,890619.07,756211.07,895621.07,826657.74,781360.41,929328.41,840444.07,869552.07,847586.74,800265.41,826470.74,803755.41,813213.74,871748.74,913175.07,898528.07,910396.07,857217.07,912857.41,892746.07,982048.07,803083.07,869827.07,951066.41,869757.07,848630.07,818576.41,831281.07,900129.41,876732.07,735133.07,827779.07,833864.07,835647.07,738294.41,807586.07,776550.07,772470.07,759111.07,828635.41,776153.41,803335.07,769829.07,829295.41,818431.07,834315.07,789956.07,854759.07,823696.07,787727.07,778314.07,833128.07,869787.07,855669.07,903774.07,950874.74,847830.74,864851.07,821977.07,869718.07,861858.41,796340.07,794182.07,793415.07,893264.41,826142.07,863093.41,823486.74,841705.41,853644.74,888385.74,852130.74,833826.07,899662.74,874173.07,832695.07,870094.07,860478.07,853981.07,835671.07,858030.41,872548.41,847032.07,891329.07,822612.07,855823.07,889847.41,869519.74,898104.41,916113.07,869388.07,883622.07,883245.41,886654.74,927532.74,901359.07,897287.07,913592.07
628690.38,691936.38,605553.38,632408.38,667559.38,682511.38,673442.38,707530.71,634584.38,644473.38,615018.38,628222.38,658147.71,586262.38,598751.04,651026.38,571292.38,705272.38,655501.04,661199.71,709262.71,766140.38,696123.38,706472.04,604882.71,642818.04,660828.71,643716.04,681090.04,757328.38,766002.38,734822.38,712000.38,326566.71,717865.38,758868.38,729253.38,751061.38,753587.71,749317.38,757948.38,756325.71,709133.38,769573.71,666415.38,656674.38,685483.38,626489.38,649780.38,673286.71,623361.38,668397.38,665723.38,651365.38,651365.71,713275.71,649002.38,624239.38,675097.71,646724.38,643564.38,638064.38,711604.38,643097.38,699866.38,674142.38,728987.38,708814.38,689107.38,689083.38,588755.04,667159.04,692959.38,660677.38,618213.38,646562.71,675715.38,671139.38,661756.38,659625.71,685350.38,693563.71,718894.04,687090.71,688605.04,718130.04,710478.04,674624.38,700628.04,679622.38,669516.38,627291.38,735836.38,714165.38,696689.38,702948.71,710107.71,693136.38,670281.38,684963.38,693962.38,713464.71,714012.04,704326.71,729608.38,688417.38,727854.38,748509.71,740850.04,743766.04,741341.38,697524.38,739614.38
469088.81,413057.81,562484.81,554553.81,418649.81,502846.81,520038.81,481570.14,534987.81,517215.81,535845.81,417730.81,526227.14,380610.81,550038.48,528680.81,422751.81,528821.81,518436.48,447532.14,561781.14,555838.81,477040.81,419817.48,427046.14,463374.48,401927.14,588530.48,472696.48,609966.81,588436.81,578625.81,571399.81,567968.14,608295.81,622319.81,569604.81,572890.81,612568.14,673831.81,587260.81,594648.14,502759.81,550468.14,526174.81,520428.81,487661.81,458383.81,503842.81,499595.14,528515.81,486539.81,465312.81,489795.81,520304.14,495337.14,536727.81,452613.81,491587.14,464622.81,489058.81,498353.81,506572.81,497363.81,484108.81,485098.81,484507.81,515280.81,492812.81,490534.81,523306.48,526796.48,476249.81,466470.81,514315.81,504210.14,494752.81,419601.81,539615.81,467168.14,458037.81,480434.14,507961.48,533260.14,537881.48,546015.48,530251.48,512335.81,534013.48,494690.81,470376.81,492650.81,492386.81,511140.81,509959.81,507256.14,503063.14,509235.81,462034.81,477525.81,471804.81,519796.14,526460.48,528071.14,531280.81,501789.81,521616.81,549587.14,553681.48,546646.48,545449.81,544687.81,539846.81
