Outflow,Twelevation
0,3130.509149
50,3130.959832
100,3131.146511
150,3131.289755
200,3131.410515
250,3131.516906
300,3131.613092
350,3131.701544
400,3131.783873
450,3131.861197
500,3131.934333
550,3132.003895
600,3132.07036
650,3132.134109
700,3132.19545
750,3132.254636
800,3132.31188
850,3132.367362
900,3132.421234
950,3132.47363
1000,3132.524664
1050,3132.574437
1100,3132.623039
1150,3132.670548
1200,3132.717035
1250,3132.762563
1300,3132.80719
1350,3132.850966
1400,3132.893938
1450,3132.93615
1500,3132.977641
1550,3133.018445
1600,3133.058596
1650,3133.098125
1700,3133.137059
1750,3133.175425
1800,3133.213246
1850,3133.250546
1900,3133.287345
1950,3133.323662
2000,3133.359518
2050,3133.394927
2100,3133.429908
2150,3133.464474
2200,3133.498641
2250,3133.532421
2300,3133.565829
2350,3133.598875
2400,3133.631571
2450,3133.663929
2500,3133.695958
2550,3133.727668
2600,3133.759069
2650,3133.79017
2700,3133.820978
2750,3133.851502
2800,3133.881751
2850,3133.91173
2900,3133.941447
2950,3133.97091
3000,3134.000123
3050,3134.029095
3100,3134.057829
3150,3134.086333
3200,3134.114612
3250,3134.14267
3300,3134.170514
3350,3134.198147
3400,3134.225575
3450,3134.252802
3500,3134.279832
3550,3134.30667
3600,3134.33332
3650,3134.359785
3700,3134.386069
3750,3134.412177
3800,3134.438111
3850,3134.463875
3900,3134.489472
3950,3134.514906
4000,3134.540179
4050,3134.565295
4100,3134.590256
4150,3134.615065
4200,3134.639726
4250,3134.66424
4300,3134.68861
4350,3134.712839
4400,3134.736929
4450,3134.760882
4500,3134.784702
4550,3134.808389
4600,3134.831947
4650,3134.855377
4700,3134.878681
4750,3134.901862
4800,3134.924921
4850,3134.94786
4900,3134.970682
4950,3134.993387
5000,3135.015977
5050,3135.038456
5100,3135.060823
5150,3135.08308
5200,3135.10523
5250,3135.127274
5300,3135.149213
5350,3135.171049
5400,3135.192783
5450,3135.214416
5500,3135.235951
5550,3135.257387
5600,3135.278728
5650,3135.299973
5700,3135.321125
5750,3135.342184
5800,3135.363152
5850,3135.384029
5900,3135.404818
5950,3135.425518
6000,3135.446132
6050,3135.46666
6100,3135.487104
6150,3135.507464
6200,3135.527741
6250,3135.547936
6300,3135.568051
6350,3135.588087
6400,3135.608043
6450,3135.627922
6500,3135.647724
6550,3135.66745
6600,3135.687101
6650,3135.706677
6700,3135.72618
6750,3135.74561
6800,3135.764969
6850,3135.784256
6900,3135.803474
6950,3135.822621
7000,3135.8417
7050,3135.860711
7100,3135.879655
7150,3135.898532
7200,3135.917343
7250,3135.936089
7300,3135.954771
7350,3135.973388
7400,3135.991942
7450,3136.010434
7500,3136.028864
7550,3136.047233
7600,3136.06554
7650,3136.083788
7700,3136.101976
7750,3136.120105
7800,3136.138176
