Date,TotalUpper0,TotalLower0,TotalLowerMexico0,TotalUpper1,TotalLower1,TotalLowerMexico1,TotalUpper2,TotalLower2,TotalLowerMexico2,TotalUpper3,TotalLower3,TotalLowerMexico3,TotalUpper4,TotalLower4,TotalLowerMexico4,TotalUpper5,TotalLower5,TotalLowerMexico5
21-Jan,44720.58,473826.6171,598718.6171,44720.58,439117.61,574117.61,44720.58,439117.61,574117.61,44720.58,439117.61,574117.61,44720.58,439117.61,574117.61,44720.58,439117.61,574117.61
21-Feb,45458.2,623911.0565,761276.0565,45458.2,584190.16,734190.16,45458.2,584190.16,734190.16,45458.2,584190.16,734190.16,45458.2,584190.16,734190.16,45458.2,584190.16,734190.16
21-Mar,60207.7,722750.8859,872588.8859,60207.7,673094.1,838094.1,60207.7,673094.1,838094.1,60207.7,673094.1,838094.1,60207.7,673094.1,838094.1,60207.7,673094.1,838094.1
21-Apr,231109.67,780512.6729,955296.6729,231109.67,714289.35,909289.35,231109.67,714289.35,909289.35,231109.67,714289.35,909289.35,231109.67,714289.35,909289.35,231109.67,714289.35,909289.35
21-May,1035233.1,775736.427,855466.427,1035233.1,675167.7,780167.7,1035233.1,675167.7,780167.7,1035233.1,675167.7,780167.7,1035233.1,675167.7,780167.7,1035233.1,675167.7,780167.7
21-Jun,1646866.49,847344.224,927074.224,1646866.49,716321.24,821321.24,1646866.49,716321.24,821321.24,1646866.49,716321.24,821321.24,1646866.49,716321.24,821321.24,1646866.49,716321.24,821321.24
21-Jul,1033985.18,884492.094,974168.094,1033985.18,734885.97,854885.97,1033985.18,734885.97,854885.97,1033985.18,734885.97,854885.97,1033985.18,734885.97,854885.97,1033985.18,734885.97,854885.97
21-Aug,585924.98,858196.437,935399.437,585924.98,723123.71,828123.71,585924.98,723123.71,828123.71,585924.98,723123.71,828123.71,585924.98,723123.71,828123.71,585924.98,723123.71,828123.71
21-Sep,241158.92,738248.8881,802978.8881,241158.92,632545.55,722545.55,241158.92,632545.55,722545.55,241158.92,632545.55,722545.55,241158.92,632545.55,722545.55,241158.92,632545.55,722545.55
21-Oct,91338.54,672375.1835,752105.1835,91338.54,592807.45,697807.45,91338.54,592807.45,697807.45,91338.54,592807.45,697807.45,91338.54,592807.45,697807.45,91338.54,592807.45,697807.45
21-Nov,41574.06,539028.1481,623812.1481,41574.06,484146.67,589146.67,41574.06,484146.67,589146.67,41574.06,484146.67,589146.67,41574.06,484146.67,589146.67,41574.06,484146.67,589146.67
21-Dec,42842.27,484171.4155,589009.4155,42842.27,443765.55,563765.55,42842.27,443765.55,563765.55,42842.27,443765.55,563765.55,42842.27,443765.55,563765.55,42842.27,443765.55,563765.55
22-Jan,45567.8,475259.8639,599883.8639,45567.8,439976.85,574976.85,45567.8,439976.85,574976.85,45567.8,439976.85,574976.85,45567.8,439976.85,574976.85,45567.8,439976.85,574976.85
22-Feb,46306.13,625874.9264,762904.9264,46306.13,585179.03,735179.03,46306.13,585179.03,735179.03,46306.13,585179.03,735179.03,46306.13,585179.03,735179.03,46306.13,585179.03,735179.03
22-Mar,61098.88,725300.059,874736.059,61098.88,674300.27,839300.27,61098.88,674300.27,839300.27,61098.88,674300.27,839300.27,61098.88,674300.27,839300.27,61098.88,674300.27,839300.27
22-Apr,232385.48,783439.813,957687.813,232385.48,715754.49,910754.49,232385.48,715754.49,910754.49,232385.48,715754.49,910754.49,232385.48,715754.49,910754.49,232385.48,715754.49,910754.49
22-May,1038873.97,779052.3611,858112.3611,1038873.97,676902.63,781902.63,1038873.97,676902.63,781902.63,1038873.97,676902.63,781902.63,1038873.97,676902.63,781902.63,1038873.97,676902.63,781902.63
22-Jun,1652175.89,850781.5451,929841.5451,1652175.89,718069.57,823069.57,1652175.89,718069.57,823069.57,1652175.89,718069.57,823069.57,1652175.89,718069.57,823069.57,1652175.89,718069.57,823069.57
22-Jul,1038555.41,888231.9651,977103.9651,1038555.41,736947.85,856947.85,1038555.41,736947.85,856947.85,1038555.41,736947.85,856947.85,1038555.41,736947.85,856947.85,1038555.41,736947.85,856947.85
22-Aug,589121.73,861655.8211,938121.8211,589121.73,725035.09,830035.09,589121.73,725035.09,830035.09,589121.73,725035.09,830035.09,589121.73,725035.09,830035.09,589121.73,725035.09,830035.09
22-Sep,242888.99,741428.1346,805488.1346,242888.99,634284.79,724284.79,242888.99,634284.79,724284.79,242888.99,634284.79,724284.79,242888.99,634284.79,724284.79,242888.99,634284.79,724284.79
22-Oct,92324.58,675188.1204,754248.1204,92324.58,594548.39,699548.39,92324.58,594548.39,699548.39,92324.58,594548.39,699548.39,92324.58,594548.39,699548.39,92324.58,594548.39,699548.39
22-Nov,42380.24,541376.9959,625624.9959,42380.24,485542.52,590542.52,42380.24,485542.52,590542.52,42380.24,485542.52,590542.52,42380.24,485542.52,590542.52,42380.24,485542.52,590542.52
22-Dec,43683.22,485849.4444,590285.4444,43683.22,444858.57,564858.57,43683.22,444858.57,564858.57,43683.22,444858.57,564858.57,43683.22,444858.57,564858.57,43683.22,444858.57,564858.57
23-Jan,46414.59,475297.5107,599653.5107,46414.59,440558.5,575558.5,46414.59,440558.5,575558.5,46414.59,440558.5,575558.5,46414.59,440558.5,575558.5,46414.59,440558.5,575558.5
23-Feb,47153.63,627585.7464,764280.7464,47153.63,585914.85,735914.85,47153.63,585914.85,735914.85,47153.63,585914.85,735914.85,47153.63,585914.85,735914.85,47153.63,585914.85,735914.85
23-Mar,61989.55,728235.6321,877269.6321,61989.55,675268.84,840268.84,61989.55,675268.84,840268.84,61989.55,675268.84,840268.84,61989.55,675268.84,840268.84,61989.55,675268.84,840268.84
23-Apr,233660.91,786289.9031,960001.9031,233660.91,716976.58,911976.58,233660.91,716976.58,911976.58,233660.91,716976.58,911976.58,233660.91,716976.58,911976.58,233660.91,716976.58,911976.58
23-May,1042512.2,781896.6951,860286.6951,1042512.2,678457.97,783457.97,1042512.2,678457.97,783457.97,1042512.2,678457.97,783457.97,1042512.2,678457.97,783457.97,1042512.2,678457.97,783457.97
23-Jun,1657475.08,855281.8161,933671.8161,1657475.08,719628.84,824628.84,1657475.08,719628.84,824628.84,1657475.08,719628.84,824628.84,1657475.08,719628.84,824628.84,1657475.08,719628.84,824628.84
23-Jul,1043120.73,893534.2361,981602.2361,1043120.73,738818.12,858818.12,1043120.73,738818.12,858818.12,1043120.73,738818.12,858818.12,1043120.73,738818.12,858818.12,1043120.73,738818.12,858818.12
23-Aug,592318.23,867136.1551,942865.1551,592318.23,726753.43,831753.43,592318.23,726753.43,831753.43,592318.23,726753.43,831753.43,592318.23,726753.43,831753.43,592318.23,726753.43,831753.43
