Date,TotalUpper0,TotalLower0,TotalLowerMexico0,TotalUpper1,TotalLower1,TotalLowerMexico1,TotalUpper2,TotalLower2,TotalLowerMexico2,TotalUpper3,TotalLower3,TotalLowerMexico3,TotalUpper4,TotalLower4,TotalLowerMexico4,TotalUpper5,TotalLower5,TotalLowerMexico5
Jan-20,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
Feb-20,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
Mar-20,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
Apr-20,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
May-20,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
Jun-20,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
Jul-20,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
Aug-20,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
Sep-20,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
Oct-20,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
Nov-20,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
Dec-20,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
Jan-21,101206,512661,647661,99231,519159,654159,105343,520363,655363,98890,514919,649919,98389,512644,647644,98672,517683,652683
Feb-21,101136,659367,809367,99160,660965,810965,105273,667634,817634,98820,662012,812012,98321,659629,809629,98601,664246,814246
Mar-21,114012,749396,914396,111945,745456,910456,118015,757917,922917,111390,752240,917240,110949,749848,914848,111208,753983,918983
Apr-21,254854,789764,984764,249690,782360,977360,259433,798797,993797,253391,792975,987975,249309,790436,985436,254390,794718,989718
May-21,897734,750162,855162,878796,741090,846090,903720,759572,864572,901602,755466,860466,884588,752408,857408,908021,755981,860981
Jun-21,1422025,791904,896904,1397500,779051,884051,1427560,801442,906442,1432407,797216,902216,1404431,794274,899274,1444421,797730,902730
Jul-21,898479,810223,930223,881696,795664,915664,907564,820021,940021,906190,815795,935795,888287,812575,932575,912633,816310,936310
Aug-21,517261,797118,902118,506263,782167,887167,525617,806842,911842,520684,802736,907736,509860,799542,904542,523484,803251,908251
Sep-21,256393,701065,791065,249437,691114,781114,261166,710422,800422,255781,706696,796696,251564,703574,793574,256732,707253,797253
Oct-21,142337,661124,766124,139497,660644,765644,146264,670229,775229,140091,664463,769463,138895,661512,766512,140374,666696,771696
Nov-21,97269,554619,659619,95781,557784,662784,101300,563105,668105,94754,557286,662286,94523,554799,659799,94512,560050,665050
Dec-21,97540,514282,634282,95640,517550,637550,101647,522409,642409,95178,517610,637610,94805,514929,634929,94965,519965,639965
Jan-22,101206,512661,647661,100181,520234,655234,107114,522592,657592,99942,516573,651573,99322,514111,649111,99712,519623,654623
Feb-22,101136,659367,809367,100111,662285,812285,107044,670176,820176,99872,663945,813945,99254,661328,811328,99642,666451,816451
Mar-22,114012,749396,914396,112880,746999,911999,119773,760740,925740,112401,754429,919429,111846,751760,916760,112221,756435,921435
Apr-22,254854,789764,984764,250768,783963,978963,261355,801729,996729,254671,795273,990273,249920,792409,987409,255884,797278,992278
May-22,897734,750162,855162,881267,742861,847861,907107,762767,867767,905098,757996,862996,885709,754542,859542,912669,758764,863764
Jun-22,1422025,791904,896904,1401440,780797,885797,1432034,804614,909614,1438219,799722,904722,1406430,796382,901382,1452325,800490,905490
Jul-22,898479,810223,930223,884919,797520,917520,911151,823351,943351,910075,818459,938459,889849,814792,934792,917646,819227,939227
Aug-22,517261,797118,902118,508456,783954,888954,528527,810078,915078,523238,805307,910307,511011,801690,906690,526542,806075,911075
Sep-22,256393,701065,791065,250828,692778,782778,263144,713476,803476,257235,709117,799117,252441,705604,795604,258373,709931,799931
Oct-22,142337,661124,766124,140557,662202,767202,148004,673131,778131,141164,666755,771755,139770,663449,768449,141530,669261,774261
Nov-22,97269,554619,659619,96706,559031,664031,103060,565603,670603,95779,559211,664211,95459,556439,661439,95526,562260,667260
Dec-22,97540,514282,634282,96590,518718,638718,103400,524786,644786,96209,519411,639411,95740,516487,636487,95988,522049,642049
Jan-23,101206,512661,647661,101131,521334,656334,108886,525119,660119,100993,518256,653256,100255,515638,650638,100753,521628,656628
Feb-23,101136,659367,809367,101061,663625,813625,108815,673012,823012,100923,665901,815901,100187,663080,813080,100683,668715,818715
Mar-23,114012,749396,914396,113815,748560,913560,121531,763855,928855,113413,756639,921639,112744,753722,918722,113234,758942,923942
Apr-23,254854,789764,984764,251846,785574,980574,263276,804944,999944,255951,797582,992582,250530,794422,989422,257379,799885,994885
May-23,897734,750162,855162,883739,744632,849632,910493,766239,871239,908594,760530,865530,886829,756708,861708,917317,761587,866587
Jun-23,1422025,791904,896904,1405380,782542,887542,1436508,808060,913060,1444032,802231,907231,1408428,798522,903522,1460229,803287,908287
Jul-23,898479,810223,930223,888141,799369,919369,914737,826950,946950,913960,821121,941121,891411,817034,937034,922660,822177,942177
Aug-23,517261,797118,902118,510649,785737,890737,531436,813586,918586,525791,807877,912877,512162,803867,908867,529601,808934,913934
Sep-23,256393,701065,791065,252220,694442,784442,265121,716806,806806,258689,711543,801543,253318,707668,797668,260015,712648,802648
Oct-23,142337,661124,766124,141617,663760,768760,149745,676310,781310,142237,669054,774054,140645,665420,770420,142687,671867,776867
Nov-23,97269,554619,659619,97630,560286,665286,104820,568386,673386,96803,561148,666148,96396,558122,663122,96540,564518,669518
Dec-23,97540,514282,634282,97540,519902,639902,105154,527455,647455,97240,521232,641232,96675,518096,638096,97011,524189,644189
Jan-24,101206,512661,647661,102081,522250,657250,110657,527558,662558,102045,519618,654618,101188,517118,652118,101794,523612,658612
Feb-24,101136,659367,809367,102011,664726,814726,110587,675701,825701,101975,667481,817481,101121,664731,814731,101724,670904,820904
Mar-24,114012,749396,914396,114750,749802,914802,123289,766738,931738,114425,758391,923391,113642,755502,920502,114247,761293,926293
Apr-24,254854,789764,984764,252924,786882,981882,265198,807942,1002942,257231,799449,994449,251140,796267,991267,258873,802350,997350
May-24,897734,750162,855162,886210,746042,851042,913879,769423,874423,912090,762561,867561,887950,758645,863645,921965,764207,869207
Jun-24,1422025,791904,896904,1409320,783952,888952,1440982,811244,916244,1449844,804261,909261,1410427,800458,905458,1468134,805906,910906
Jul-24,898479,810223,930223,891364,800847,920847,918324,830251,950251,917846,823267,943267,892973,819036,939036,927673,824913,944913
Aug-24,517261,797118,902118,512842,787179,892179,534346,816825,921825,528345,809963,914963,513313,805833,910833,532660,811610,916610
Sep-24,256393,701065,791065,253612,695795,785795,267098,719899,809899,260143,713514,803514,254195,709551,799551,261656,715212,805212
Oct-24,142337,661124,766124,142677,665033,770033,151486,679290,784290,143310,670924,775924,141520,667237,772237,143844,674346,779346
Nov-24,97269,554619,659619,98554,561340,666340,106579,571060,676060,97828,562744,667744,97333,559736,664736,97554,566736,671736
Dec-24,97540,514282,634282,98490,520894,640894,106908,530021,650021,98271,522720,642720,97610,519648,639648,98035,526297,646297
Jan-25,101206,512661,647661,103031,522870,657870,112428,529707,664707,103096,521028,656028,102121,518170,653170,102835,525165,660165
Feb-25,101136,659367,809367,102961,665526,815526,112358,678097,828097,103026,669106,819106,102054,665950,815950,102764,672657,822657
Mar-25,114012,749396,914396,115685,750738,915738,125047,769325,934325,115437,760187,925187,114540,756848,921848,115259,763206,928206
Apr-25,254854,789764,984764,254001,787876,982876,267119,810639,1005639,258511,801355,996355,251750,797673,992673,260368,804373,999373
May-25,897734,750162,855162,888681,747129,852129,917265,772297,877297,915586,764625,869625,889071,760136,865136,926613,766379,871379
Jun-25,1422025,791904,896904,1413260,785037,890037,1445456,814118,919118,1455657,806324,911324,1412425,801948,906948,1476038,808078,913078
Jul-25,898479,810223,930223,894586,801993,921993,921911,833237,953237,921731,825444,945444,894535,820587,940587,932686,827197,947197
Aug-25,517261,797118,902118,515035,788293,893293,537255,819753,924753,530899,812081,917081,514464,807352,912352,535719,813835,918835
Sep-25,256393,701065,791065,255003,696825,786825,269075,722682,812682,261597,715520,805520,255072,710990,800990,263297,717329,807329
Oct-25,142337,661124,766124,143737,665983,770983,153226,681965,786965,144383,672829,777829,142395,668610,773610,145001,676379,781379
Nov-25,97269,554619,659619,99478,562080,667080,108339,573435,678435,98853,564379,669379,98269,560912,665912,98568,568513,673513
Dec-25,97540,514282,634282,99440,521579,641579,108662,532292,652292,99302,524253,644253,98546,520766,640766,99058,527969,647969
Jan-26,101206,512661,647661,103981,523276,658276,114162,531445,666445,104110,522157,657157,103054,518625,653625,103837,526145,661145
Feb-26,101136,659367,809367,103911,666108,816108,114092,680074,830074,104040,670443,820443,102988,666566,816566,103767,673832,823832
Mar-26,114012,749396,914396,116620,751452,916452,126767,771487,936487,116411,761687,926687,115437,757583,922583,116234,764533,929533
Apr-26,254854,789764,984764,255079,788639,983639,269003,812898,1007898,259754,802952,997952,252360,798455,993455,261825,805797,1000797
May-26,897734,750162,855162,891153,747974,852974,920609,774720,879720,919040,766367,871367,890192,760989,865989,931218,767938,872938
Jun-26,1422025,791904,896904,1417200,785882,890882,1449887,816540,921540,1461427,808065,913065,1414423,802800,907800,1483899,809635,914635
Jul-26,898479,810223,930223,897808,802890,922890,925455,835759,955759,925573,827284,947284,896097,821487,941487,937657,828854,948854
Aug-26,517261,797118,902118,517228,789162,894162,540122,822223,927223,533410,813869,918869,515615,808225,913225,538735,815440,920440
Sep-26,256393,701065,791065,256395,697615,787615,271014,725013,815013,263014,717203,807203,255949,711791,801791,264900,718833,808833
Oct-26,142337,661124,766124,144797,666693,771693,154929,684190,789190,145418,674413,779413,143270,669347,774347,146120,677800,782800
Nov-26,97269,554619,659619,100402,562588,667588,110061,575372,680372,99840,565706,670706,99206,561464,666464,99544,569691,674691
Dec-26,97540,514282,634282,100390,522043,642043,110378,534138,654138,100295,525491,645491,99481,521275,641275,100043,529056,649056
Jan-27,101206,512661,647661,104931,525366,660366,115896,533351,668351,105123,523276,658276,103988,519165,654165,104840,527075,662075
Feb-27,101136,659367,809367,104861,668369,818369,115826,682216,832216,105053,671764,821764,103921,667264,817264,104770,674951,824951
Mar-27,114012,749396,914396,117555,753840,918840,128487,773808,938808,117385,763164,928164,116335,758397,923397,117209,765800,930800
Apr-27,254854,789764,984764,256157,791067,986067,270887,815306,1010306,260996,804516,999516,252970,799311,994311,263281,807151,1002151
May-27,897734,750162,855162,893624,750478,855478,923953,777283,882283,922493,768057,873057,891312,761910,866910,935824,769416,874416
