Date,TotalUpper0,TotalLower0,TotalLowerMexico0,TotalUpper1,TotalLower1,TotalLowerMexico1,TotalUpper2,TotalLower2,TotalLowerMexico2,TotalUpper3,TotalLower3,TotalLowerMexico3,TotalUpper4,TotalLower4,TotalLowerMexico4,TotalUpper5,TotalLower5,TotalLowerMexico5,,,,,,,,,,,,,,,,,,
1/2020,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620,,,,,,,,,,,,,,,,,,
2/2020,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214,,,,,,,,,,,,,,,,,,
3/2020,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149,,,,,,,,,,,,,,,,,,
4/2020,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617,,,,,,,,,,,,,,,,,,
5/2020,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943,,,,,,,,,,,,,,,,,,
6/2020,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569,,,,,,,,,,,,,,,,,,
7/2020,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127,,,,,,,,,,,,,,,,,,
8/2020,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018,,,,,,,,,,,,,,,,,,
9/2020,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021,,,,,,,,,,,,,,,,,,
10/2020,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428,,,,,,,,,,,,,,,,,,
11/2020,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697,,,,,,,,,,,,,,,,,,
12/2020,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750,,,,,,,,,,,,,,,,,,
1/2021,102403,513888,648888,99231,519159,654159,105343,520363,655363,98890,514919,649919,98389,512644,647644,98672,517683,652683,,,,,,,,,,,,,,,,,,
2/2021,102333,660557,810557,99160,660965,810965,105273,667634,817634,98820,662012,812012,98321,659629,809629,98601,664246,814246,,,,,,,,,,,,,,,,,,
3/2021,115208,750376,915376,111945,745456,910456,118015,757917,922917,111390,752240,917240,110949,749848,914848,111208,753983,918983,,,,,,,,,,,,,,,,,,
4/2021,256165,790965,985965,249690,782360,977360,259433,798797,993797,253391,792975,987975,249309,790436,985436,254390,794718,989718,,,,,,,,,,,,,,,,,,
5/2021,900793,751256,856256,878796,741090,846090,903720,759572,864572,901602,755466,860466,884588,752408,857408,908021,755981,860981,,,,,,,,,,,,,,,,,,
6/2021,1426896,793122,898122,1397500,779051,884051,1427560,801442,906442,1432407,797216,902216,1404431,794274,899274,1444421,797730,902730,,,,,,,,,,,,,,,,,,
