Date,TotalUpper0,TotalLower0,TotalLowerMexico0,TotalUpper1,TotalLower1,TotalLowerMexico1,TotalUpper2,TotalLower2,TotalLowerMexico2,TotalUpper3,TotalLower3,TotalLowerMexico3,TotalUpper4,TotalLower4,TotalLowerMexico4,TotalUpper5,TotalLower5,TotalLowerMexico5
20-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
20-Feb,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
20-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
20-Apr,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
20-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
20-Jun,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
20-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
20-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
20-Sep,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
20-Oct,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
20-Nov,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
20-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
21-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
21-Feb,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
21-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
21-Apr,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
21-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
21-Jun,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
21-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
21-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
21-Sep,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
21-Oct,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
21-Nov,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
21-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
22-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
22-Feb,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
22-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
22-Apr,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
22-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
22-Jun,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
22-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
22-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
22-Sep,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
22-Oct,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
22-Nov,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
22-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
23-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
23-Feb,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
23-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
23-Apr,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
23-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
23-Jun,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
23-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
23-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
23-Sep,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
23-Oct,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
23-Nov,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
23-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
24-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
24-Feb,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
24-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
24-Apr,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
24-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
24-Jun,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
24-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
24-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
24-Sep,256393,701065,791065,248045,690833,780833,259189,708765,798765,254327,705650,795650,250687,702983,792983,255091,706021,796021
24-Oct,142337,661124,766124,138438,660321,765321,144523,668575,773575,139018,663396,768396,138020,660864,765864,139217,665428,770428
24-Nov,97269,554619,659619,94857,557330,662330,99541,561414,666414,93729,556149,661149,93586,554011,659011,93498,558697,663697
24-Dec,97540,514282,634282,94690,517183,637183,99893,520851,640851,94147,516607,636607,93870,514232,634232,93942,518750,638750
25-Jan,101206,512661,647661,98281,518892,653892,103571,518965,653965,97839,514072,649072,97456,512051,647051,97631,516620,651620
25-Feb,101136,659367,809367,98210,660751,810751,103501,666217,816217,97769,661182,811182,97387,659099,809099,97561,663214,813214
25-Mar,114012,749396,914396,111010,745463,910463,116257,756662,921662,110378,751597,916597,110051,749547,914547,110195,753149,918149
25-Apr,254854,789764,984764,248612,782150,977150,257512,797274,992274,252111,792064,987064,248699,789915,984915,252895,793617,988617
25-May,897734,750162,855162,876325,741003,846003,900334,758074,863074,898106,754611,859611,883467,752014,857014,903374,754943,859943
25-Jun,1422025,791904,896904,1393560,778840,883840,1423087,799820,904820,1426595,796236,901236,1402433,793756,898756,1436517,796569,901569
25-Jul,898479,810223,930223,878474,795484,915484,903978,818378,938378,902305,814795,934795,886725,812086,932086,907619,815127,935127
25-Aug,517261,797118,902118,504070,781910,886910,522708,805149,910149,518131,801686,906686,508710,798979,903979,520425,802018,907018
