,inflow
6-Jan,64750
6-Feb,75468
6-Mar,215834
6-Apr,123784
6-May,65794
6-Jun,56590
6-Jul,56898
6-Aug,61155
6-Sep,85170
6-Oct,57983
6-Nov,65806
6-Dec,61012
7-Jan,63068
7-Feb,69383
7-Mar,252588
7-Apr,236990
7-May,64380
7-Jun,55942
7-Jul,57097
7-Aug,97330
7-Sep,87156
7-Oct,58334
7-Nov,59788
7-Dec,62845
8-Jan,87361
8-Feb,79746
8-Mar,78348
8-Apr,66567
8-May,66393
8-Jun,61028
8-Jul,57509
8-Aug,75050
8-Sep,104108
8-Oct,61702
8-Nov,84425
8-Dec,62115
9-Jan,64251
9-Feb,66854
9-Mar,77349
9-Apr,131895
9-May,63922
9-Jun,67063
9-Jul,58839
9-Aug,100687
9-Sep,97785
9-Oct,60062
9-Nov,67821
9-Dec,62400
10-Jan,69203
10-Feb,69775
10-Mar,67952
10-Apr,88978
10-May,64635
10-Jun,56491
10-Jul,56798
10-Aug,59767
10-Sep,96058
10-Oct,98486
10-Nov,103256
10-Dec,65142
11-Jan,74713
11-Feb,79644
11-Mar,77060
11-Apr,81528
11-May,83562
11-Jun,61388
11-Jul,58136
11-Aug,61921
11-Sep,68591
11-Oct,68170
11-Nov,71099
11-Dec,75901
12-Jan,82263
12-Feb,88952
12-Mar,82645
12-Apr,175144
12-May,82330
12-Jun,63547
12-Jul,60567
12-Aug,64768
12-Sep,96976
12-Oct,106109
12-Nov,60478
12-Dec,66158
13-Jan,72342
13-Feb,72283
13-Mar,88076
13-Apr,77977
13-May,68271
13-Jun,56909
13-Jul,61282
13-Aug,133757
13-Sep,76694
13-Oct,95099
13-Nov,57341
13-Dec,59777
14-Jan,77397
14-Feb,65079
14-Mar,73003
14-Apr,62769
14-May,61785
14-Jun,54896
14-Jul,57114
14-Aug,58458
14-Sep,73121
14-Oct,57843
14-Nov,57747
14-Dec,76832
15-Jan,62370
15-Feb,66034
15-Mar,66082
15-Apr,68098
15-May,67434
15-Jun,56909
15-Jul,55214
15-Aug,68319
15-Sep,90458
15-Oct,62104
15-Nov,63694
15-Dec,70380
16-Jan,274328
16-Feb,91323
16-Mar,96373
16-Apr,98335
16-May,111995
16-Jun,64868
16-Jul,61982
16-Aug,114941
16-Sep,68321
16-Oct,70567
16-Nov,61438
16-Dec,90447
17-Jan,74337
17-Feb,78922
17-Mar,112056
17-Apr,88740
17-May,75644
17-Jun,62082
17-Jul,57965
17-Aug,147970
17-Sep,86248
17-Oct,59520
17-Nov,58396
17-Dec,96827
18-Jan,71760
18-Feb,70299
18-Mar,73945
18-Apr,124038
18-May,73368
18-Jun,60527
18-Jul,60488
18-Aug,133371
18-Sep,71966
18-Oct,59837
18-Nov,60194
18-Dec,63474
19-Jan,72783
19-Feb,70495
19-Mar,76721
19-Apr,222879
19-May,94283
19-Jun,60122
19-Jul,57983
19-Aug,76948
19-Sep,79889
19-Oct,62948
19-Nov,61723
19-Dec,71747
20-Jan,88724
20-Feb,127653
20-Mar,124323
20-Apr,96904
20-May,106975
20-Jun,62068
20-Jul,59042
20-Aug,63509
20-Sep,140058
20-Oct,59577
20-Nov,73834
20-Dec,66776
21-Jan,73274
21-Feb,87095
21-Mar,79033
21-Apr,77318
21-May,72463
21-Jun,56671
21-Jul,63494
21-Aug,172673
21-Sep,64705
21-Oct,64103
21-Nov,63198
21-Dec,72154
22-Jan,77219
22-Feb,82571
22-Mar,136559
22-Apr,99876
22-May,80040
22-Jun,62395
22-Jul,60979
22-Aug,63961
22-Sep,137843
22-Oct,67249
22-Nov,57063
22-Dec,60189
23-Jan,81979
23-Feb,110300
23-Mar,120831
23-Apr,106485
23-May,102444
23-Jun,62762
23-Jul,65282
23-Aug,140642
23-Sep,116482
23-Oct,63490
23-Nov,64006
23-Dec,62370
24-Jan,64543
24-Feb,59362
24-Mar,125881
24-Apr,100195
24-May,64722
24-Jun,55882
24-Jul,77415
24-Aug,67145
24-Sep,109901
24-Oct,59148
24-Nov,62586
24-Dec,75507
25-Jan,64440
25-Feb,65848
25-Mar,73903
25-Apr,68884
25-May,63167
25-Jun,62168
25-Jul,61206
25-Aug,138248
25-Sep,70286
25-Oct,79501
25-Nov,61429
25-Dec,62464
26-Jan,61467
26-Feb,57802
26-Mar,78482
26-Apr,195581
26-May,96450
26-Jun,57836
26-Jul,58626
26-Aug,63806
26-Sep,111712
26-Oct,60391
26-Nov,68057
26-Dec,64182
27-Jan,67199
27-Feb,136878
27-Mar,154316
27-Apr,137748
27-May,84993
27-Jun,100245
27-Jul,83692
27-Aug,92582
27-Sep,229154
27-Oct,74417
27-Nov,61374
27-Dec,60700
28-Jan,60611
28-Feb,87738
28-Mar,127824
28-Apr,81907
28-May,66762
28-Jun,55230
28-Jul,56611
28-Aug,62598
28-Sep,58054
28-Oct,55489
28-Nov,66470
28-Dec,59260
29-Jan,58739
29-Feb,61671
29-Mar,111791
29-Apr,242390
29-May,79093
29-Jun,56889
29-Jul,179689
29-Aug,205334
29-Sep,187943
29-Oct,69145
29-Nov,58510
29-Dec,59991
30-Jan,65117
Feb-30,67413
30-Mar,84963
30-Apr,88255
30-May,79201
30-Jun,56996
30-Jul,115036
30-Aug,183579
30-Sep,83824
30-Oct,67637
30-Nov,71075
30-Dec,68222
31-Jan,65898
Feb-31,82364
31-Mar,90653
Apr-31,70879
31-May,68155
Jun-31,53589
31-Jul,80060
31-Aug,116210
Sep-31,74716
31-Oct,71874
Nov-31,86505
31-Dec,69867
Jan-32,70528
Feb-32,303637
Mar-32,256404
Apr-32,182179
May-32,123850
Jun-32,70694
Jul-32,80804
Aug-32,150882
Sep-32,61813
Oct-32,63667
Nov-32,60993
Dec-32,66848
Jan-33,64806
Feb-33,72413
Mar-33,92266
Apr-33,79394
May-33,79548
Jun-33,57000
Jul-33,80466
Aug-33,78499
Sep-33,87495
Oct-33,90866
Nov-33,59548
Dec-33,65149
Jan-34,64531
Feb-34,61952
Mar-34,59665
Apr-34,55362
May-34,56625
Jun-34,55135
Jul-34,57128
Aug-34,82502
Sep-34,63887
Oct-34,55517
Nov-34,57534
Dec-34,64436
Jan-35,86587
Feb-35,95396
Mar-35,109023
Apr-35,166915
May-35,85286
Jun-35,58342
Jul-35,56049
Aug-35,99899
Sep-35,81418
Oct-35,56116
Nov-35,58414
Dec-35,62767
Jan-36,60334
Feb-36,74199
Mar-36,88515
Apr-36,122047
May-36,59775
Jun-36,54179
Jul-36,83207
Aug-36,121284
Sep-36,103899
Oct-36,63603
Nov-36,68943
Dec-36,62816
Jan-37,59946
Feb-37,210337
Mar-37,219755
Apr-37,197522
May-37,99269
Jun-37,59247
Jul-37,66629
Aug-37,59722
Sep-37,70001
Oct-37,63633
Nov-37,59481
Dec-37,67071
Jan-38,68742
Feb-38,70421
Mar-38,286253
Apr-38,112587
May-38,94876
Jun-38,57690
Jul-38,55104
Aug-38,74794
Sep-38,78490
Oct-38,58482
Nov-38,62401
Dec-38,65452
Jan-39,67004
Feb-39,65526
Mar-39,104453
Apr-39,109731
May-39,58945
Jun-39,53805
Jul-39,53697
Aug-39,57456
Sep-39,121551
Oct-39,60049
Nov-39,58754
Dec-39,60862
Jan-40,73273
Feb-40,97591
Mar-40,82992
Apr-40,71662
May-40,55903
Jun-40,53445
Jul-40,66713
Aug-40,105088
Sep-40,156965
Oct-40,84683
Nov-40,70687
Dec-40,95836
Jan-41,129076
Feb-41,167031
Mar-41,266332
Apr-41,235361
May-41,277537
Jun-41,73924
Jul-41,78520
Aug-41,100480
Sep-41,90171
Oct-41,137542
Nov-41,73856
Dec-41,71737
Jan-42,78294
Feb-42,73638
Mar-42,92923
Apr-42,156768
May-42,85073
Jun-42,55265
Jul-42,55207
Aug-42,60987
Sep-42,54629
Oct-42,60924
Nov-42,61824
Dec-42,62658
Jan-43,69845
Feb-43,80032
Mar-43,146307
Apr-43,98678
May-43,61849
Jun-43,54160
Jul-43,54459
Aug-43,86030
Sep-43,71022
Oct-43,63911
Nov-43,61050
Dec-43,64295
Jan-44,64276
Feb-44,66799
Mar-44,105294
Apr-44,155715
May-44,126810
Jun-44,61127
Jul-44,54152
Aug-44,54425
Sep-44,63585
Oct-44,57572
Nov-44,64702
Dec-44,63559
Jan-45,62843
Feb-45,74201
Mar-45,90771
Apr-45,144457
May-45,96375
Jun-45,54914
Jul-45,65627
Aug-45,119079
Sep-45,60771
Oct-45,74841
Nov-45,61431
Dec-45,65262
Jan-46,68536
Feb-46,63424
Mar-46,65993
Apr-46,65817
May-46,54837
Jun-46,54145
Jul-46,68669
Aug-46,128229
Sep-46,98762
Oct-46,90782
Nov-46,100373
Dec-46,78669
Jan-47,69650
Feb-47,72487
Mar-47,71284
Apr-47,66747
May-47,67324
Jun-47,54536
Jul-47,54991
Aug-47,179794
Sep-47,74921
Oct-47,136124
Nov-47,61064
Dec-47,67113
Jan-48,65292
Feb-48,71894
Mar-48,83249
Apr-48,138391
May-48,61402
Jun-48,55712
Jul-48,59925
Aug-48,79502
Sep-48,56928
Oct-48,61291
Nov-48,62911
Dec-48,63207
Jan-49,81854
Feb-49,80124
Mar-49,168111
Apr-49,160471
May-49,84448
Jun-49,66777
Jul-49,66677
Aug-49,96749
Sep-49,70105
Oct-49,66251
Nov-49,62230
Dec-49,64645
Jan-50,66843
Feb-50,79468
Mar-50,79564
Apr-50,69529
May-50,56768
Jun-50,54252
Jul-50,72179
Aug-50,57315
Sep-50,58536
Oct-50,55233
Nov-50,59877
Dec-50,61644
Jan-51,62452
Feb-51,58813
Mar-51,59055
Apr-51,58178
May-51,62113
Jun-51,53959
Jul-51,60139
Aug-51,97820
Sep-51,74794
Oct-51,66355
Nov-51,59847
Dec-51,73167
Jan-52,198001
Feb-52,72796
Mar-52,93282
Apr-52,264202
May-52,142613
Jun-52,62740
Jul-52,57194
Aug-52,69771
Sep-52,84912
Oct-52,56495
Nov-52,61315
Dec-52,68883
Jan-53,66675
Feb-53,61441
Mar-53,73495
Apr-53,62266
May-53,55125
Jun-53,54331
Jul-53,76538
Aug-53,84866
Sep-53,54702
Oct-53,57705
Nov-53,60920
Dec-53,61963
Jan-54,66548
Feb-54,63727
Mar-54,86057
Apr-54,94289
May-54,60231
Jun-54,56254
Jul-54,97423
Aug-54,66484
Sep-54,89111
Oct-54,66252
Nov-54,60123
Dec-54,64579
Jan-55,62999
Feb-55,63939
Mar-55,63320
Apr-55,56405
May-55,55435
Jun-55,89655
Jul-55,73359
Aug-55,234292
Sep-55,58360
Oct-55,55804
Nov-55,61194
Dec-55,64847
Jan-56,66515
Feb-56,64416
Mar-56,63572
Apr-56,57398
May-56,54905
Jun-56,54663
Jul-56,60700
Aug-56,64304
Sep-56,53841
Oct-56,54808
Nov-56,56819
Dec-56,58223
Jan-57,102971
Feb-57,106760
Mar-57,86546
Apr-57,58737
May-57,66299
Jun-57,59303
Jul-57,61641
Aug-57,116213
Sep-57,63404
Oct-57,83032
Nov-57,90390
Dec-57,67860
Jan-58,60950
Feb-58,76586
Mar-58,126677
Apr-58,160344
May-58,122250
Jun-58,57643
Jul-58,57158
Aug-58,81722
Sep-58,116490
Oct-58,69071
Nov-58,61767
Dec-58,60654
Jan-59,61602
Feb-59,64526
Mar-59,61888
Apr-59,57113
May-59,54377
Jun-59,53907
Jul-59,54407
Aug-59,103850
Sep-59,54953
Oct-59,61837
Nov-59,98288
Dec-59,78827
Jan-60,80439
Feb-60,70031
Mar-60,150405
Apr-60,74796
May-60,55083
Jun-60,54166
Jul-60,53872
Aug-60,53799
Sep-60,56563
Oct-60,69746
Nov-60,63951
Dec-60,59010
Jan-61,58380
Feb-61,58094
Mar-61,61351
Apr-61,66759
May-61,54086
Jun-61,54063
Jul-61,59905
Aug-61,87250
Sep-61,85616
Oct-61,56456
Nov-61,62113
Dec-61,63576
Jan-62,61339
Feb-62,131217
Mar-62,81976
Apr-62,169280
May-62,60125
Jun-62,53851
Jul-62,54106
Aug-62,53853
Sep-62,67408
Oct-62,62460
Nov-62,60005
Dec-62,58466
Jan-63,59790
Feb-63,62371
Mar-63,58084
Apr-63,56398
May-63,54140
Jun-63,53314
Jul-63,53565
Aug-63,109680
Sep-63,99231
Oct-63,58505
Nov-63,61325
Dec-63,57606
Jan-64,57367
Feb-64,58519
Mar-64,57723
Apr-64,90888
May-64,64671
Jun-64,53086
Jul-64,65110
Aug-64,169157
Sep-64,79832
Oct-64,54284
Nov-64,57468
Dec-64,60403
Jan-65,102010
Feb-65,71050
Mar-65,73633
Apr-65,171119
May-65,91537
Jun-65,59572
Jul-65,74906
Aug-65,66813
Sep-65,79062
Oct-65,57192
Nov-65,77884
Dec-65,103302
Jan-66,120268
Feb-66,67225
Mar-66,133312
Apr-66,84375
May-66,56575
Jun-66,53563
Jul-66,55471
Aug-66,71486
Sep-66,66367
Oct-66,61661
Nov-66,59885
Dec-66,153961
Jan-67,64100
Feb-67,60928
Mar-67,61320
Apr-67,63140
May-67,70180
Jun-67,59958
Jul-67,78746
Aug-67,147715
Sep-67,122679
Oct-67,57770
Nov-67,59889
Dec-67,64254
Jan-68,68114
Feb-68,108588
Mar-68,113454
Apr-68,132869
May-68,79957
Jun-68,54924
Jul-68,67409
Aug-68,105286
Sep-68,53666
Oct-68,61614
Nov-68,58290
Dec-68,61172
Jan-69,130202
Feb-69,94453
Mar-69,111330
Apr-69,172681
May-69,135561
Jun-69,63905
Jul-69,72354
Aug-69,65289
Sep-69,83240
Oct-69,64311
Nov-69,64322
Dec-69,63434
Jan-70,64648
Feb-70,59902
Mar-70,69784
Apr-70,59134
May-70,55077
Jun-70,54240
Jul-70,57751
Aug-70,74938
Sep-70,105575
Oct-70,55821
Nov-70,61920
Dec-70,62248
Jan-71,62002
Feb-71,60431
Mar-71,59755
Apr-71,55452
May-71,59076
Jun-71,53945
Jul-71,55067
Aug-71,135813
Sep-71,71774
Oct-71,137370
Nov-71,67011
Dec-71,102019
Jan-72,68552
Feb-72,60397
Mar-72,56202
Apr-72,54149
May-72,53845
Jun-72,68632
Jul-72,63290
Aug-72,69372
Sep-72,78010
Oct-72,335918
Nov-72,76490
Dec-72,69440
Jan-73,74461
Feb-73,92246
Mar-73,176562
Apr-73,356415
May-73,344962
Jun-73,75888
Jul-73,55051
Aug-73,56827
Sep-73,54050
Oct-73,55673
Nov-73,61708
Dec-73,62381
Jan-74,66119
Feb-74,60485
Mar-74,69374
Apr-74,60031
May-74,54364
Jun-74,53957
Jul-74,62504
Aug-74,61917
Sep-74,60942
Oct-74,72482
Nov-74,75383
Dec-74,60034
Jan-75,59658
Feb-75,60611
Mar-75,79191
Apr-75,91323
May-75,71606
Jun-75,55513
Jul-75,71183
Aug-75,63602
Sep-75,81678
Oct-75,56435
Nov-75,57548
Dec-75,60631
Jan-76,60904
Feb-76,82618
Mar-76,76254
Apr-76,94806
May-76,69411
Jun-76,54013
Jul-76,74477
Aug-76,58926
Sep-76,64630
Oct-76,63904
Nov-76,57632
Dec-76,57739
Jan-77,62993
Feb-77,58117
Mar-77,55836
Apr-77,59362
May-77,56602
Jun-77,56397
Jul-77,74444
Aug-77,94235
Sep-77,62037
Oct-77,61188
Nov-77,57702
Dec-77,58999
Jan-78,67445
Feb-78,78828
Mar-78,275377
Apr-78,149396
May-78,82054
Jun-78,55456
Jul-78,54347
Aug-78,54512
Sep-78,55148
Oct-78,63125
Nov-78,104829
Dec-78,168663
Jan-79,78526
Feb-79,116212
Mar-79,178968
Apr-79,289320
May-79,170243
Jun-79,75482
Jul-79,54631
Aug-79,63358
Sep-79,54185
Oct-79,56570
Nov-79,63574
Dec-79,63779
Jan-80,98122
Feb-80,319205
Mar-80,143869
Apr-80,214353
May-80,180474
Jun-80,77839
Jul-80,59393
Aug-80,62630
Sep-80,91048
Oct-80,65451
Nov-80,67563
Dec-80,68292
Jan-81,65530
Feb-81,64993
Mar-81,72387
Apr-81,77883
May-81,64010
