,inflow,,,
1/06,14750,,,
2/06,25468,,,
3/06,165834,,,
4/06,73784,,,
5/06,15794,,,
6/06,6590,,,
7/06,6898,,,
8/06,11155,,,
9/06,35170,,,
10/06,7983,,,
11/06,15806,,,
12/06,11012,,,
1/07,13068,,,
2/07,19383,,,
3/07,202588,,,
4/07,186990,,,
5/07,14380,,,
6/07,5942,,,
7/07,7097,,,
8/07,47330,,,
9/07,37156,,,
10/07,8334,,,
11/07,9788,,,
12/07,12845,,,
1/08,37361,,,
2/08,29746,,,
3/08,28348,,,
4/08,16567,,,
5/08,16393,,,
6/08,11028,,,
7/08,7509,,,
8/08,25050,,,
9/08,54108,,,
10/08,11702,,,
11/08,34425,,,
12/08,12115,,,
1/09,14251,,,
2/09,16854,,,
3/09,27349,,,
4/09,81895,,,
5/09,13922,,,
6/09,17063,,,
7/09,8839,,,
8/09,50687,,,
9/09,47785,,,
10/09,10062,,,
11/09,17821,,,
12/09,12400,,,
1/10,19203,,,
2/10,19775,,,
3/10,17952,,,
4/10,38978,,,
5/10,14635,,,
6/10,6491,,,
7/10,6798,,,
8/10,9767,,,
9/10,46058,,,
10/10,48486,,,
11/10,53256,,,
12/10,15142,,,
1/11,24713,,,
2/11,29644,,,
3/11,27060,,,
4/11,31528,,,
5/11,33562,,,
6/11,11388,,,
7/11,8136,,,
8/11,11921,,,
9/11,18591,,,
10/11,18170,,,
11/11,21099,,,
12/11,25901,,,
1/12,32263,,,
2/12,38952,,,
3/12,32645,,,
4/12,125144,,,
5/12,32330,,,
6/12,13547,,,
7/12,10567,,,
8/12,14768,,,
9/12,46976,,,
10/12,56109,,,
11/12,10478,,,
12/12,16158,,,
1/13,22342,,,
2/13,22283,,,
3/13,38076,,,
4/13,27977,,,
5/13,18271,,,
6/13,6909,,,
7/13,11282,,,
8/13,83757,,,
9/13,26694,,,
10/13,45099,,,
11/13,7341,,,
12/13,9777,,,
1/14,27397,,,
2/14,15079,,,
3/14,23003,,,
4/14,12769,,,
5/14,11785,,,
6/14,4896,,,
7/14,7114,,,
8/14,8458,,,
9/14,23121,,,
10/14,7843,,,
11/14,7747,,,
12/14,26832,,,
1/15,12370,,,
2/15,16034,,,
3/15,16082,,,
4/15,18098,,,
5/15,17434,,,
6/15,6909,,,
7/15,5214,,,
8/15,18319,,,
9/15,40458,,,
10/15,12104,,,
11/15,13694,,,
12/15,20380,,,
1/16,224328,,,
2/16,41323,,,
3/16,46373,,,
4/16,48335,,,
5/16,61995,,,
6/16,14868,,,
7/16,11982,,,
8/16,64941,,,
9/16,18321,,,
10/16,20567,,,
11/16,11438,,,
12/16,40447,,,
1/17,24337,,,
2/17,28922,,,
3/17,62056,,,
4/17,38740,,,
5/17,25644,,,
6/17,12082,,,
7/17,7965,,,
8/17,97970,,,
9/17,36248,,,
10/17,9520,,,
11/17,8396,,,
12/17,46827,,,
1/18,21760,,,
2/18,20299,,,
3/18,23945,,,
4/18,74038,,,
5/18,23368,,,
6/18,10527,,,
7/18,10488,,,
8/18,83371,,,
9/18,21966,,,
10/18,9837,,,
11/18,10194,,,
12/18,13474,,,
1/19,22783,,,
2/19,20495,,,
3/19,26721,,,
4/19,172879,,,
5/19,44283,,,
6/19,10122,,,
7/19,7983,,,
8/19,26948,,,
9/19,29889,,,
10/19,12948,,,
11/19,11723,,,
12/19,21747,,,
1/20,38724,,,
2/20,77653,,,
3/20,74323,,,
4/20,46904,,,
5/20,56975,,,
6/20,12068,,,
7/20,9042,,,
8/20,13509,,,
9/20,90058,,,
10/20,9577,,,
11/20,23834,,,
12/20,16776,,,
1/21,23274,,,
2/21,37095,,,
3/21,29033,,,
4/21,27318,,,
5/21,22463,,,
6/21,6671,,,
7/21,13494,,,
8/21,122673,,,
9/21,14705,,,
10/21,14103,,,
11/21,13198,,,
12/21,22154,,,
1/22,27219,,,
2/22,32571,,,
3/22,86559,,,
4/22,49876,,,
5/22,30040,,,
6/22,12395,,,
7/22,10979,,,
8/22,13961,,,
9/22,87843,,,
10/22,17249,,,
11/22,7063,,,
12/22,10189,,,
1/23,31979,,,
2/23,60300,,,
3/23,70831,,,
4/23,56485,,,
5/23,52444,,,
6/23,12762,,,
7/23,15282,,,
8/23,90642,,,
9/23,66482,,,
10/23,13490,,,
11/23,14006,,,
12/23,12370,,,
1/24,14543,,,
2/24,9362,,,
3/24,75881,,,
4/24,50195,,,
5/24,14722,,,
6/24,5882,,,
7/24,27415,,,
8/24,17145,,,
9/24,59901,,,
10/24,9148,,,
11/24,12586,,,
12/24,25507,,,
1/25,14440,,,
2/25,15848,,,
3/25,23903,,,
4/25,18884,,,
5/25,13167,,,
6/25,12168,,,
7/25,11206,,,
8/25,88248,,,
9/25,20286,,,
10/25,29501,,,
11/25,11429,,,
12/25,12464,,,
1/26,11467,,,
2/26,7802,,,
3/26,28482,,,
4/26,145581,,,
5/26,46450,,,
6/26,7836,,,
7/26,8626,,,
8/26,13806,,,
9/26,61712,,,
10/26,10391,,,
11/26,18057,,,
12/26,14182,,,
1/27,17199,,,
2/27,86878,,,
3/27,104316,,,
4/27,87748,,,
5/27,34993,,,
6/27,50245,,,
7/27,33692,,,
8/27,42582,,,
9/27,179154,,,
10/27,24417,,,
11/27,11374,,,
12/27,10700,,,
1/28,10611,,,
2/28,37738,,,
3/28,77824,,,
4/28,31907,,,
5/28,16762,,,
6/28,5230,,,
7/28,6611,,,
8/28,12598,,,
9/28,8054,,,
10/28,5489,,,
11/28,16470,,,
12/28,9260,,,
1/29,8739,,,
2/29,11671,,,
3/29,61791,,,
4/29,192390,,,
5/29,29093,,,
