,inflow
6-Jan,67900
6-Feb,77435
6-Mar,218204
6-Apr,121358
6-May,53435
6-Jun,57347
6-Jul,57439
6-Aug,59740
6-Sep,80635
6-Oct,69375
6-Nov,96621
6-Dec,99017
7-Jan,90588
7-Feb,88350
7-Mar,269059
7-Apr,249364
7-May,39550
7-Jun,71747
7-Jul,110453
7-Aug,143126
7-Sep,123741
7-Oct,59215
7-Nov,65888
7-Dec,107422
8-Jan,122301
8-Feb,108625
8-Mar,105369
8-Apr,62104
8-May,28858
8-Jun,89875
8-Jul,109625
8-Aug,129445
8-Sep,151784
8-Oct,73035
8-Nov,114968
8-Dec,114611
9-Jan,108988
9-Feb,86028
9-Mar,94391
9-Apr,147067
9-May,5069
9-Jun,95897
9-Jul,112546
9-Aug,94558
9-Sep,107199
9-Oct,85685
9-Nov,124621
9-Dec,110054
10-Jan,94842
10-Feb,84877
10-Mar,82029
10-Apr,89285
10-May,38218
10-Jun,93545
10-Jul,58909
10-Aug,44560
10-Sep,139327
10-Oct,116997
10-Nov,130154
10-Dec,111862
11-Jan,110895
11-Feb,116011
11-Mar,100137
11-Apr,123757
11-May,62000
11-Jun,93665
11-Jul,118550
11-Aug,58123
11-Sep,114210
11-Oct,78356
11-Nov,110605
11-Dec,127412
12-Jan,109365
12-Feb,103705
12-Mar,90583
12-Apr,134159
12-May,39083
12-Jun,64353
12-Jul,120330
12-Aug,62868
12-Sep,149943
12-Oct,108601
12-Nov,62774
12-Dec,101536
13-Jan,92044
13-Feb,93132
13-Mar,99001
13-Apr,87696
13-May,-2553
13-Jun,-12967
13-Jul,68552
13-Aug,132385
13-Sep,106846
13-Oct,102437
13-Nov,86292
13-Dec,95191
14-Jan,102964
14-Feb,80952
14-Mar,91704
14-Apr,90833
14-May,7972
14-Jun,185721
14-Jul,59358
14-Aug,43790
14-Sep,117963
14-Oct,82048
14-Nov,108294
14-Dec,113751
15-Jan,91311
15-Feb,89110
15-Mar,41241
15-Apr,-50153
15-May,-27912
15-Jun,84956
15-Jul,108874
15-Aug,62323
15-Sep,107684
15-Oct,82433
15-Nov,122157
15-Dec,111929
16-Jan,304920
16-Feb,109313
16-Mar,113002
16-Apr,97707
16-May,79331
16-Jun,73818
16-Jul,58425
16-Aug,170542
16-Sep,129662
16-Oct,86085
16-Nov,84615
16-Dec,117731
17-Jan,95084
17-Feb,87950
17-Mar,105136
17-Apr,-19982
17-May,-32202
17-Jun,18035
17-Jul,96754
17-Aug,187274
17-Sep,118727
17-Oct,74944
17-Nov,99568
17-Dec,150139
18-Jan,122624
18-Feb,92897
18-Mar,97617
18-Apr,166361
18-May,45379
18-Jun,78965
18-Jul,83120
18-Aug,130966
18-Sep,125144
18-Oct,88505
18-Nov,97946
18-Dec,129669
19-Jan,119880
19-Feb,98252
19-Mar,102671
19-Apr,223992
19-May,52000
19-Jun,95178
19-Jul,158775
19-Aug,71434
19-Sep,161989
19-Oct,71857
19-Nov,97427
19-Dec,119086
20-Jan,129188
20-Feb,146265
20-Mar,146571
20-Apr,90162
20-May,91379
20-Jun,94003
20-Jul,76864
20-Aug,60767
20-Sep,180885
20-Oct,73978
20-Nov,91130
20-Dec,97244
21-Jan,102664
21-Feb,116822
21-Mar,99116
21-Apr,119506
21-May,85784
21-Jun,164942
21-Jul,32144
21-Aug,170833
21-Sep,106533
21-Oct,104204
21-Nov,90679
21-Dec,104870
22-Jan,102493
22-Feb,101984
22-Mar,156147
22-Apr,131139
22-May,34704
22-Jun,22234
22-Jul,57858
22-Aug,110316
22-Sep,185488
22-Oct,86751
22-Nov,81017
22-Dec,100742
23-Jan,109079
23-Feb,109615
23-Mar,129070
23-Apr,125776
23-May,61062
23-Jun,145107
23-Jul,62661
23-Aug,151501
23-Sep,131656
23-Oct,85314
23-Nov,183420
23-Dec,233740
24-Jan,123805
24-Feb,82041
24-Mar,83773
24-Apr,93931
24-May,4143
24-Jun,82906
24-Jul,112129
24-Aug,92523
24-Sep,101245
24-Oct,79810
24-Nov,77643
24-Dec,89517
25-Jan,75098
25-Feb,88456
25-Mar,120997
25-Apr,84291
25-May,40225
25-Jun,72494
25-Jul,106926
25-Aug,143911
25-Sep,190356
25-Oct,102059
25-Nov,69864
25-Dec,75036
26-Jan,73095
26-Feb,68544
26-Mar,72028
26-Apr,173317
26-May,106884
26-Jun,104728
26-Jul,103505
26-Aug,101987
26-Sep,149357
26-Oct,98078
26-Nov,105052
26-Dec,101000
27-Jan,89890
27-Feb,144268
27-Mar,145329
27-Apr,153512
27-May,87729
27-Jun,76645
27-Jul,180126
27-Aug,133148
27-Sep,210124
27-Oct,102633
27-Nov,105167
27-Dec,106052
28-Jan,90732
28-Feb,108771
28-Mar,99620
28-Apr,76415
28-May,-3258
28-Jun,118180
28-Jul,78671
28-Aug,98154
28-Sep,84616
28-Oct,64209
28-Nov,80043
28-Dec,82005
29-Jan,78622
29-Feb,77491
29-Mar,95285
29-Apr,167248
29-May,-91953
29-Jun,-23007
29-Jul,176031
29-Aug,177510
29-Sep,133726
29-Oct,79938
29-Nov,82371
29-Dec,83203
30-Jan,86647
Feb-30,63884
30-Mar,103372
30-Apr,23996
30-May,100790
30-Jun,65591
30-Jul,151333
30-Aug,233420
30-Sep,85644
30-Oct,83942
30-Nov,91654
30-Dec,88799
31-Jan,82282
Feb-31,87932
31-Mar,83265
Apr-31,66733
31-May,64025
Jun-31,80075
31-Jul,110498
31-Aug,137867
Sep-31,87488
31-Oct,91056
Nov-31,106233
31-Dec,85110
Jan-32,95317
Feb-32,302347
Mar-32,268100
Apr-32,182755
May-32,107123
Jun-32,72850
Jul-32,128766
Aug-32,145061
Sep-32,112539
Oct-32,80806
Nov-32,78384
Dec-32,93780
Jan-33,77608
Feb-33,87377
Mar-33,94272
Apr-33,84572
May-33,22822
Jun-33,57438
Jul-33,125200
Aug-33,104159
Sep-33,100366
Oct-33,113818
Nov-33,70648
Dec-33,85233
Jan-34,85602
Feb-34,76214
Mar-34,73243
Apr-34,52655
May-34,59555
Jun-34,88898
Jul-34,69947
Aug-34,92722
Sep-34,87672
Oct-34,75100
Nov-34,73683
Dec-34,78900
Jan-35,98760
Feb-35,97319
Mar-35,105893
Apr-35,163951
May-35,41760
Jun-35,46846
Jul-35,97088
Aug-35,122065
Sep-35,84620
Oct-35,92852
Nov-35,74040
Dec-35,86401
Jan-36,76994
Feb-36,84743
Mar-36,108783
Apr-36,55772
May-36,51661
Jun-36,112879
Jul-36,111121
Aug-36,121511
Sep-36,141518
Oct-36,77608
Nov-36,79277
Dec-36,85664
Jan-37,79761
Feb-37,199842
Mar-37,215220
Apr-37,149969
May-37,91997
Jun-37,108315
Jul-37,105770
Aug-37,76931
Sep-37,109089
Oct-37,89494
Nov-37,78919
Dec-37,90398
Jan-38,87938
Feb-38,79936
Mar-38,251682
Apr-38,35421
May-38,25958
Jun-38,69696
Jul-38,86616
Aug-38,102818
Sep-38,93534
Oct-38,87755
Nov-38,91475
Dec-38,95809
Jan-39,86156
Feb-39,87543
Mar-39,83327
Apr-39,122299
May-39,-23663
Jun-39,60783
Jul-39,103298
Aug-39,77682
Sep-39,141280
Oct-39,89537
Nov-39,82133
Dec-39,89353
Jan-40,97284
Feb-40,119601
Mar-40,103987
Apr-40,76182
May-40,20608
Jun-40,84204
Jul-40,94481
Aug-40,133009
Sep-40,162584
Oct-40,131041
Nov-40,89154
Dec-40,113272
Jan-41,150287
Feb-41,172461
Mar-41,281811
Apr-41,230003
May-41,182323
Jun-41,165143
Jul-41,158773
Aug-41,133747
Sep-41,106030
Oct-41,179187
Nov-41,118907
Dec-41,86155
Jan-42,92427
Feb-42,104316
Mar-42,92919
Apr-42,18998
May-42,32229
Jun-42,94956
Jul-42,81906
Aug-42,91136
Sep-42,72421
Oct-42,81052
Nov-42,77729
Dec-42,77177
Jan-43,85787
Feb-43,89433
Mar-43,149427
Apr-43,51963
May-43,64081
Jun-43,445
Jul-43,84279
Aug-43,103249
Sep-43,102727
Oct-43,89660
Nov-43,80289
Dec-43,87693
Jan-44,82467
Feb-44,83823
Mar-44,117453
Apr-44,147826
May-44,54611
Jun-44,68981
Jul-44,125889
Aug-44,92378
Sep-44,76462
Oct-44,74933
Nov-44,80526
Dec-44,86155
Jan-45,92304
Feb-45,96652
Mar-45,104910
Apr-45,118967
May-45,72382
Jun-45,48191
Jul-45,117945
Aug-45,134793
Sep-45,81241
Oct-45,89045
Nov-45,82490
Dec-45,86524
Jan-46,80990
Feb-46,73160
Mar-46,79207
Apr-46,64043
