,inflow
6-Jan,17900
6-Feb,27435
6-Mar,168204
6-Apr,71358
6-May,3435
6-Jun,7347
6-Jul,7439
6-Aug,9740
6-Sep,30635
6-Oct,19375
6-Nov,46621
6-Dec,49017
7-Jan,40588
7-Feb,38350
7-Mar,219059
7-Apr,199364
7-May,-10450
7-Jun,21747
7-Jul,60453
7-Aug,93126
7-Sep,73741
7-Oct,9215
7-Nov,15888
7-Dec,57422
8-Jan,72301
8-Feb,58625
8-Mar,55369
8-Apr,12104
8-May,-21142
8-Jun,39875
8-Jul,59625
8-Aug,79445
8-Sep,101784
8-Oct,23035
8-Nov,64968
8-Dec,64611
9-Jan,58988
9-Feb,36028
9-Mar,44391
9-Apr,97067
9-May,-44931
9-Jun,45897
9-Jul,62546
9-Aug,44558
9-Sep,57199
9-Oct,35685
9-Nov,74621
9-Dec,60054
10-Jan,44842
10-Feb,34877
10-Mar,32029
10-Apr,39285
10-May,-11782
10-Jun,43545
10-Jul,8909
10-Aug,-5440
10-Sep,89327
10-Oct,66997
10-Nov,80154
10-Dec,61862
11-Jan,60895
11-Feb,66011
11-Mar,50137
11-Apr,73757
11-May,12000
11-Jun,43665
11-Jul,68550
11-Aug,8123
11-Sep,64210
11-Oct,28356
11-Nov,60605
11-Dec,77412
12-Jan,59365
12-Feb,53705
12-Mar,40583
12-Apr,84159
12-May,-10917
12-Jun,14353
12-Jul,70330
12-Aug,12868
12-Sep,99943
12-Oct,58601
12-Nov,12774
12-Dec,51536
13-Jan,42044
13-Feb,43132
13-Mar,49001
13-Apr,37696
13-May,-52553
13-Jun,-62967
13-Jul,18552
13-Aug,82385
13-Sep,56846
13-Oct,52437
13-Nov,36292
13-Dec,45191
14-Jan,52964
14-Feb,30952
14-Mar,41704
14-Apr,40833
14-May,-42028
14-Jun,135721
14-Jul,9358
14-Aug,-6210
14-Sep,67963
14-Oct,32048
14-Nov,58294
14-Dec,63751
15-Jan,41311
15-Feb,39110
15-Mar,-8759
15-Apr,-100153
15-May,-77912
15-Jun,34956
15-Jul,58874
15-Aug,12323
15-Sep,57684
15-Oct,32433
15-Nov,72157
15-Dec,61929
16-Jan,254920
16-Feb,59313
16-Mar,63002
16-Apr,47707
16-May,29331
16-Jun,23818
16-Jul,8425
16-Aug,120542
16-Sep,79662
16-Oct,36085
16-Nov,34615
16-Dec,67731
17-Jan,45084
17-Feb,37950
17-Mar,55136
17-Apr,-69982
17-May,-82202
17-Jun,-31965
17-Jul,46754
17-Aug,137274
17-Sep,68727
17-Oct,24944
17-Nov,49568
17-Dec,100139
18-Jan,72624
18-Feb,42897
18-Mar,47617
18-Apr,116361
18-May,-4621
18-Jun,28965
18-Jul,33120
18-Aug,80966
18-Sep,75144
18-Oct,38505
18-Nov,47946
18-Dec,79669
19-Jan,69880
19-Feb,48252
19-Mar,52671
19-Apr,173992
19-May,2000
19-Jun,45178
19-Jul,108775
19-Aug,21434
19-Sep,111989
19-Oct,21857
19-Nov,47427
19-Dec,69086
20-Jan,79188
20-Feb,96265
20-Mar,96571
20-Apr,40162
20-May,41379
20-Jun,44003
20-Jul,26864
20-Aug,10767
20-Sep,130885
20-Oct,23978
20-Nov,41130
20-Dec,47244
21-Jan,52664
21-Feb,66822
21-Mar,49116
21-Apr,69506
21-May,35784
21-Jun,114942
21-Jul,-17856
21-Aug,120833
21-Sep,56533
21-Oct,54204
21-Nov,40679
21-Dec,54870
22-Jan,52493
22-Feb,51984
22-Mar,106147
22-Apr,81139
22-May,-15296
22-Jun,-27766
22-Jul,7858
22-Aug,60316
22-Sep,135488
22-Oct,36751
22-Nov,31017
22-Dec,50742
23-Jan,59079
23-Feb,59615
23-Mar,79070
23-Apr,75776
23-May,11062
23-Jun,95107
23-Jul,12661
23-Aug,101501
23-Sep,81656
23-Oct,35314
23-Nov,133420
23-Dec,183740
24-Jan,73805
24-Feb,32041
24-Mar,33773
24-Apr,43931
24-May,-45857
24-Jun,32906
24-Jul,62129
24-Aug,42523
24-Sep,51245
24-Oct,29810
24-Nov,27643
24-Dec,39517
25-Jan,25098
25-Feb,38456
25-Mar,70997
25-Apr,34291
25-May,-9775
25-Jun,22494
25-Jul,56926
25-Aug,93911
25-Sep,140356
25-Oct,52059
25-Nov,19864
25-Dec,25036
26-Jan,23095
26-Feb,18544
26-Mar,22028
26-Apr,123317
26-May,56884
26-Jun,54728
26-Jul,53505
26-Aug,51987
26-Sep,99357
26-Oct,48078
26-Nov,55052
26-Dec,51000
27-Jan,39890
27-Feb,94268
27-Mar,95329
27-Apr,103512
27-May,37729
27-Jun,26645
27-Jul,130126
27-Aug,83148
27-Sep,160124
27-Oct,52633
27-Nov,55167
27-Dec,56052
28-Jan,40732
28-Feb,58771
28-Mar,49620
28-Apr,26415
28-May,-53258
28-Jun,68180
28-Jul,28671
28-Aug,48154
28-Sep,34616
28-Oct,14209
28-Nov,30043
28-Dec,32005
29-Jan,28622
29-Feb,27491
29-Mar,45285
29-Apr,117248
29-May,-141953
29-Jun,-73007
29-Jul,126031
29-Aug,127510
29-Sep,83726
29-Oct,29938
29-Nov,32371
29-Dec,33203
30-Jan,36647
Feb-30,13884
30-Mar,53372
30-Apr,-26004
30-May,50790
30-Jun,15591
30-Jul,101333
30-Aug,183420
30-Sep,35644
30-Oct,33942
30-Nov,41654
30-Dec,38799
31-Jan,32282
Feb-31,37932
31-Mar,33265
Apr-31,16733
31-May,14025
Jun-31,30075
31-Jul,60498
31-Aug,87867
Sep-31,37488
31-Oct,41056
Nov-31,56233
31-Dec,35110
Jan-32,45317
Feb-32,252347
Mar-32,218100
Apr-32,132755
May-32,57123
Jun-32,22850
Jul-32,78766
Aug-32,95061
Sep-32,62539
Oct-32,30806
Nov-32,28384
Dec-32,43780
Jan-33,27608
Feb-33,37377
Mar-33,44272
Apr-33,34572
May-33,-27178
Jun-33,7438
Jul-33,75200
Aug-33,54159
Sep-33,50366
Oct-33,63818
Nov-33,20648
Dec-33,35233
Jan-34,35602
Feb-34,26214
Mar-34,23243
Apr-34,2655
May-34,9555
Jun-34,38898
Jul-34,19947
Aug-34,42722
Sep-34,37672
Oct-34,25100
Nov-34,23683
Dec-34,28900
Jan-35,48760
Feb-35,47319
Mar-35,55893
Apr-35,113951
May-35,-8240
Jun-35,-3154
Jul-35,47088
Aug-35,72065
Sep-35,34620
Oct-35,42852
Nov-35,24040
Dec-35,36401
Jan-36,26994
Feb-36,34743
Mar-36,58783
Apr-36,5772
May-36,1661
Jun-36,62879
Jul-36,61121
Aug-36,71511
Sep-36,91518
Oct-36,27608
Nov-36,29277
Dec-36,35664
Jan-37,29761
Feb-37,149842
Mar-37,165220
Apr-37,99969
May-37,41997
Jun-37,58315
Jul-37,55770
Aug-37,26931
Sep-37,59089
Oct-37,39494
Nov-37,28919
Dec-37,40398
Jan-38,37938
Feb-38,29936
Mar-38,201682
Apr-38,-14579
May-38,-24042
Jun-38,19696
Jul-38,36616
Aug-38,52818
Sep-38,43534
Oct-38,37755
Nov-38,41475
Dec-38,45809
Jan-39,36156
Feb-39,37543
Mar-39,33327
Apr-39,72299
May-39,-73663
Jun-39,10783
Jul-39,53298
Aug-39,27682
Sep-39,91280
Oct-39,39537
Nov-39,32133
Dec-39,39353
Jan-40,47284
Feb-40,69601
Mar-40,53987
Apr-40,26182
May-40,-29392
Jun-40,34204
Jul-40,44481
Aug-40,83009
Sep-40,112584
Oct-40,81041
Nov-40,39154
Dec-40,63272
Jan-41,100287
Feb-41,122461
Mar-41,231811
