,inflow
6-Jan,244314
6-Feb,292534
6-Mar,678174
6-Apr,1204640
6-May,3635101
6-Jun,5014167
6-Jul,2950460
6-Aug,1605086
6-Sep,1503159
6-Oct,739807
6-Nov,503006
6-Dec,353312
7-Jan,356760
7-Feb,377349
7-Mar,789130
7-Apr,1465838
7-May,2702179
7-Jun,5967232
7-Jul,5103491
7-Aug,1920787
7-Sep,955414
7-Oct,608812
7-Nov,377467
7-Dec,268130
8-Jan,276192
8-Feb,379543
8-Mar,664762
8-Apr,1041224
8-May,1595614
8-Jun,2922360
8-Jul,1924283
8-Aug,1117477
8-Sep,598088
8-Oct,483627
8-Nov,395707
8-Dec,312145
9-Jan,378989
9-Feb,317458
9-Mar,763721
9-Apr,1120492
9-May,3349297
9-Jun,7203254
9-Jul,4109919
9-Aug,1880422
9-Sep,1526396
9-Oct,680646
9-Nov,489990
9-Dec,377548
10-Jan,289322
10-Feb,493565
10-Mar,1403871
10-Apr,1730475
10-May,3298793
10-Jun,3101705
10-Jul,1373125
10-Aug,866631
10-Sep,630999
10-Oct,616468
10-Nov,445769
10-Dec,345922
11-Jan,367374
11-Feb,482597
11-Mar,902111
11-Apr,951815
11-May,2924637
11-Jun,4124342
11-Jul,2353784
11-Aug,1016615
11-Sep,593647
11-Oct,1138004
11-Nov,442055
11-Dec,353041
12-Jan,346041
12-Feb,327037
12-Mar,538143
12-Apr,902408
12-May,3684152
12-Jun,6151096
12-Jul,3206236
12-Aug,1362372
12-Sep,631542
12-Oct,636273
12-Nov,533066
12-Dec,305039
13-Jan,354040
13-Feb,314036
13-Mar,523341
13-Apr,1829662
13-May,3270773
13-Jun,3144987
13-Jul,1984477
13-Aug,874871
13-Sep,701627
13-Oct,670352
13-Nov,538369
13-Dec,329845
14-Jan,369539
14-Feb,401134
14-Mar,876055
14-Apr,1593815
14-May,4685651
14-Jun,6296012
14-Jul,3116693
14-Aug,1405438
14-Sep,783864
14-Oct,964927
14-Nov,527355
14-Dec,334330
15-Jan,304134
15-Feb,397336
15-Mar,525839
15-Apr,1483872
15-May,2427137
15-Jun,3642472
15-Jul,2147795
15-Aug,853538
15-Sep,528868
15-Oct,557983
15-Nov,411050
15-Dec,343248
16-Jan,393996
16-Feb,424367
16-Mar,1391402
16-Apr,1802735
16-May,3736188
16-Jun,4752149
16-Jul,2633061
16-Aug,1931864
16-Sep,809499
16-Oct,1402792
16-Nov,495715
16-Dec,369117
17-Jan,260297
17-Feb,351858
17-Mar,506892
17-Apr,1545288
17-May,3763312
17-Jun,7772051
17-Jul,4940893
17-Aug,1618992
17-Sep,822052
17-Oct,510346
17-Nov,448052
17-Dec,402771
18-Jan,356293
18-Feb,373570
18-Mar,655998
18-Apr,901047
18-May,2760606
18-Jun,5393082
18-Jul,2288860
18-Aug,968226
18-Sep,691873
18-Oct,569909
18-Nov,496385
18-Dec,410088
19-Jan,287188
19-Feb,316951
19-Mar,653288
19-Apr,1414719
19-May,3231443
19-Jun,2597757
19-Jul,1537304
19-Aug,904499
19-Sep,531938
19-Oct,377401
19-Nov,404787
19-Dec,394092
20-Jan,406940
20-Feb,601644
20-Mar,685472
20-Apr,983984
20-May,5917499
20-Jun,6993901
20-Jul,3165232
20-Aug,1376497
20-Sep,620527
20-Oct,534996
20-Nov,596367
20-Dec,404572
21-Jan,414071
21-Feb,456635
21-Mar,943676
21-Apr,930238
21-May,4180109
21-Jun,8467231
21-Jul,2849389
21-Aug,1972571
21-Sep,953215
21-Oct,477741
21-Nov,410812
21-Dec,458713
22-Jan,354102
22-Feb,429948
22-Mar,867877
22-Apr,1224473
22-May,4874849
22-Jun,5624070
22-Jul,2096584
22-Aug,1087967
22-Sep,617284
22-Oct,327500
22-Nov,391261
22-Dec,400862
23-Jan,369732
23-Feb,336029
23-Mar,427753
23-Apr,1296746
23-May,4029114
23-Jun,5099406
23-Jul,2998439
23-Aug,1664755
23-Sep,985871
23-Oct,731926
23-Nov,632012
23-Dec,425855
24-Jan,314158
24-Feb,490542
24-Mar,496310
24-Apr,1658525
24-May,3384372
24-Jun,3828658
24-Jul,1628866
24-Aug,680819
24-Sep,378899
24-Oct,389461
24-Nov,397899
24-Dec,280177
25-Jan,266334
25-Feb,391292
25-Mar,594432
25-Apr,1469823
25-May,2624348
25-Jun,2913545
25-Jul,2042150
25-Aug,1005794
25-Sep,1139183
25-Oct,998383
25-Nov,604169
25-Dec,456166
26-Jan,367550
26-Feb,360767
26-Mar,616477
26-Apr,1722211
26-May,3686355
26-Jun,4132000
26-Jul,1937082
26-Aug,916457
26-Sep,451009
26-Oct,465656
26-Nov,339146
26-Dec,383708
27-Jan,341604
27-Feb,390123
27-Mar,606873
27-Apr,1369061
27-May,4348392
27-Jun,4127326
27-Jul,3040807
27-Aug,1263371
27-Sep,2013698
27-Oct,948204
27-Nov,738283
27-Dec,458035
28-Jan,457184
28-Feb,454767
28-Mar,777155
28-Apr,1103775
28-May,4821916
28-Jun,4261452
28-Jul,2204925
28-Aug,998312
28-Sep,546594
28-Oct,615502
28-Nov,570122
28-Dec,348705
29-Jan,337118
29-Feb,351565
29-Mar,915700
29-Apr,1774777
29-May,4602167
29-Jun,5504354
29-Jul,2714041
29-Aug,2341485
29-Sep,1715620
29-Oct,956703
29-Nov,564438
29-Dec,440904
30-Jan,300711
Feb-30,457920
30-Mar,563639
30-Apr,1862406
30-May,2225165
30-Jun,3694826
30-Jul,1617780
