,Run40
6-Jan,15366.92083
6-Feb,15366.92083
6-Mar,15366.92083
6-Apr,15366.92083
6-May,15366.92083
6-Jun,15366.92083
6-Jul,15366.92083
6-Aug,15366.92083
6-Sep,15366.92083
6-Oct,15366.92083
6-Nov,15366.92083
6-Dec,15366.92083
7-Jan,5103.200833
7-Feb,5103.200833
7-Mar,5103.200833
7-Apr,5103.200833
7-May,5103.200833
7-Jun,5103.200833
7-Jul,5103.200833
7-Aug,5103.200833
7-Sep,5103.200833
7-Oct,5103.200833
7-Nov,5103.200833
7-Dec,5103.200833
8-Jan,16199.33583
8-Feb,16199.33583
8-Mar,16199.33583
8-Apr,16199.33583
8-May,16199.33583
8-Jun,16199.33583
8-Jul,16199.33583
8-Aug,16199.33583
8-Sep,16199.33583
8-Oct,16199.33583
8-Nov,16199.33583
8-Dec,16199.33583
9-Jan,9857.319167
9-Feb,9857.319167
9-Mar,9857.319167
9-Apr,9857.319167
9-May,9857.319167
9-Jun,9857.319167
9-Jul,9857.319167
9-Aug,9857.319167
9-Sep,9857.319167
9-Oct,9857.319167
9-Nov,9857.319167
9-Dec,9857.319167
10-Jan,12825.81583
10-Feb,12825.81583
10-Mar,12825.81583
10-Apr,12825.81583
10-May,12825.81583
10-Jun,12825.81583
10-Jul,12825.81583
10-Aug,12825.81583
10-Sep,12825.81583
10-Oct,12825.81583
10-Nov,12825.81583
10-Dec,12825.81583
11-Jan,23140.13083
11-Feb,23140.13083
11-Mar,23140.13083
11-Apr,23140.13083
11-May,23140.13083
11-Jun,23140.13083
11-Jul,23140.13083
11-Aug,23140.13083
11-Sep,23140.13083
11-Oct,23140.13083
11-Nov,23140.13083
11-Dec,23140.13083
12-Jan,6904.6725
12-Feb,6904.6725
12-Mar,6904.6725
12-Apr,6904.6725
12-May,6904.6725
12-Jun,6904.6725
12-Jul,6904.6725
12-Aug,6904.6725
12-Sep,6904.6725
12-Oct,6904.6725
12-Nov,6904.6725
12-Dec,6904.6725
13-Jan,18337.03083
13-Feb,18337.03083
13-Mar,18337.03083
13-Apr,18337.03083
13-May,18337.03083
13-Jun,18337.03083
13-Jul,18337.03083
13-Aug,18337.03083
13-Sep,18337.03083
13-Oct,18337.03083
13-Nov,18337.03083
13-Dec,18337.03083
14-Jan,73566.70083
14-Feb,73566.70083
14-Mar,73566.70083
14-Apr,73566.70083
14-May,73566.70083
14-Jun,73566.70083
14-Jul,73566.70083
14-Aug,73566.70083
14-Sep,73566.70083
14-Oct,73566.70083
14-Nov,73566.70083
14-Dec,73566.70083
