,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo10MAF
0,6,3,3,1
1,6,3,4,1
2,6,3,5,1
3,6,3,6,1
4,6,3,7,1
5,6,3,8,1
6,6,3,9,1
7,6,3,10,1
8,6,3,11,1
9,6,4,3,1
10,6,4,4,1
11,6,4,5,1
12,6,4,6,1
13,6,4,7,1
14,6,4,8,1
15,6,4,9,1
16,6,4,10,1
17,6,4,11,1
18,6,5,3,1
19,6,5,4,1
20,6,5,5,1
21,6,5,6,1
22,6,5,7,1
23,6,5,8,1
24,6,5,9,1
25,6,5,10,1
26,6,5,11,1
27,6,6,3,1
28,6,6,4,1
29,6,6,5,1
30,6,6,6,1
31,6,6,7,1
32,6,6,8,1
33,6,6,9,1
34,6,6,10,1
35,6,6,11,1
36,6,7,3,40
37,6,7,4,1
38,6,7,5,1
39,6,7,6,1
40,6,7,7,1
41,6,7,8,1
42,6,7,9,1
43,6,7,10,1
44,6,7,11,1
45,6,8,3,40
46,6,8,4,40
47,6,8,5,1
48,6,8,6,1
49,6,8,7,1
50,6,8,8,1
51,6,8,9,1
52,6,8,10,1
53,6,8,11,1
54,6,9,3,40
55,6,9,4,40
56,6,9,5,40
57,6,9,6,1
58,6,9,7,1
59,6,9,8,1
60,6,9,9,1
61,6,9,10,1
62,6,9,11,1
63,6,10,3,40
64,6,10,4,40
65,6,10,5,40
66,6,10,6,40
67,6,10,7,1
68,6,10,8,1
69,6,10,9,1
70,6,10,10,1
71,6,10,11,1
72,6,11,3,40
73,6,11,4,40
74,6,11,5,40
75,6,11,6,40
76,6,11,7,40
77,6,11,8,1
78,6,11,9,1
79,6,11,10,1
80,6,11,11,1
81,6,12,3,40
82,6,12,4,40
83,6,12,5,40
84,6,12,6,40
85,6,12,7,40
86,6,12,8,40
87,6,12,9,1
88,6,12,10,1
89,6,12,11,1
90,6,13,3,40
91,6,13,4,40
92,6,13,5,40
93,6,13,6,40
94,6,13,7,40
95,6,13,8,40
96,6,13,9,40
97,6,13,10,1
98,6,13,11,1
99,6,14,3,40
100,6,14,4,40
101,6,14,5,40
102,6,14,6,40
103,6,14,7,40
104,6,14,8,40
105,6,14,9,40
106,6,14,10,40
107,6,14,11,1
108,6,15,3,40
109,6,15,4,40
110,6,15,5,40
111,6,15,6,40
112,6,15,7,40
113,6,15,8,40
114,6,15,9,40
115,6,15,10,40
116,6,15,11,40
117,7,3,3,1
118,7,3,4,1
119,7,3,5,1
120,7,3,6,1
121,7,3,7,1
122,7,3,8,1
123,7,3,9,1
124,7,3,10,1
125,7,3,11,1
126,7,4,3,1
127,7,4,4,1
128,7,4,5,1
129,7,4,6,1
130,7,4,7,1
131,7,4,8,1
132,7,4,9,1
133,7,4,10,1
134,7,4,11,1
135,7,5,3,1
136,7,5,4,1
137,7,5,5,1
138,7,5,6,1
139,7,5,7,1
140,7,5,8,1
141,7,5,9,1
142,7,5,10,1
143,7,5,11,1
144,7,6,3,40
145,7,6,4,1
146,7,6,5,1
147,7,6,6,1
148,7,6,7,1
149,7,6,8,1
150,7,6,9,1
151,7,6,10,1
152,7,6,11,1
153,7,7,3,40
154,7,7,4,40
155,7,7,5,1
156,7,7,6,1
157,7,7,7,1
158,7,7,8,1
159,7,7,9,1
160,7,7,10,1
161,7,7,11,1
162,7,8,3,40
163,7,8,4,40
164,7,8,5,40
165,7,8,6,1
166,7,8,7,1
167,7,8,8,1
168,7,8,9,1
169,7,8,10,1
170,7,8,11,1
171,7,9,3,40
172,7,9,4,40
173,7,9,5,40
174,7,9,6,40
175,7,9,7,1
176,7,9,8,1
177,7,9,9,1
178,7,9,10,1
179,7,9,11,1
180,7,10,3,40
181,7,10,4,40
182,7,10,5,40
183,7,10,6,40
184,7,10,7,40
185,7,10,8,1
186,7,10,9,1
187,7,10,10,1
188,7,10,11,1
189,7,11,3,40
190,7,11,4,40
191,7,11,5,40
192,7,11,6,40
193,7,11,7,40
194,7,11,8,40
195,7,11,9,1
196,7,11,10,1
