,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
0,12,3,3,1
1,12,3,3.5,1
2,12,3,4,1
3,12,3,4.5,1
4,12,3,5,1
5,12,3,5.5,1
6,12,3,6,1
7,12,3,6.5,1
8,12,3,7,1
9,12,3,7.5,1
10,12,3,8,1
11,12,3,8.5,1
12,12,3,9,1
13,12,3,9.5,1
14,12,3,10,1
15,12,3,10.5,1
16,12,3,11,1
17,12,3,11.5,1
19,12,3.5,3.5,1
20,12,3.5,4,1
21,12,3.5,4.5,1
22,12,3.5,5,1
23,12,3.5,5.5,1
24,12,3.5,6,1
25,12,3.5,6.5,1
26,12,3.5,7,1
27,12,3.5,7.5,1
28,12,3.5,8,1
29,12,3.5,8.5,1
30,12,3.5,9,1
31,12,3.5,9.5,1
32,12,3.5,10,1
33,12,3.5,10.5,1
34,12,3.5,11,1
35,12,3.5,11.5,1
38,12,4,4,1
39,12,4,4.5,1
40,12,4,5,1
41,12,4,5.5,1
42,12,4,6,1
43,12,4,6.5,1
44,12,4,7,1
45,12,4,7.5,1
46,12,4,8,1
47,12,4,8.5,1
48,12,4,9,1
49,12,4,9.5,1
50,12,4,10,1
51,12,4,10.5,1
52,12,4,11,1
53,12,4,11.5,1
57,12,4.5,4.5,1
58,12,4.5,5,1
59,12,4.5,5.5,1
60,12,4.5,6,1
61,12,4.5,6.5,1
62,12,4.5,7,1
63,12,4.5,7.5,1
64,12,4.5,8,1
65,12,4.5,8.5,1
66,12,4.5,9,1
67,12,4.5,9.5,1
68,12,4.5,10,1
69,12,4.5,10.5,1
70,12,4.5,11,1
71,12,4.5,11.5,1
76,12,5,5,1
77,12,5,5.5,1
78,12,5,6,1
79,12,5,6.5,1
80,12,5,7,1
81,12,5,7.5,1
82,12,5,8,1
83,12,5,8.5,1
84,12,5,9,1
85,12,5,9.5,1
86,12,5,10,1
87,12,5,10.5,1
88,12,5,11,1
89,12,5,11.5,1
95,12,5.5,5.5,1
96,12,5.5,6,1
97,12,5.5,6.5,1
98,12,5.5,7,1
99,12,5.5,7.5,1
100,12,5.5,8,1
101,12,5.5,8.5,1
102,12,5.5,9,1
103,12,5.5,9.5,1
104,12,5.5,10,1
105,12,5.5,10.5,1
106,12,5.5,11,1
107,12,5.5,11.5,1
114,12,6,6,1
115,12,6,6.5,1
116,12,6,7,1
117,12,6,7.5,1
118,12,6,8,1
119,12,6,8.5,1
120,12,6,9,1
121,12,6,9.5,1
122,12,6,10,1
123,12,6,10.5,1
124,12,6,11,1
125,12,6,11.5,1
