,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
6,12,3,6,5
7,12,3,6.5,4
8,12,3,7,4
9,12,3,7.5,3
10,12,3,8,3
11,12,3,8.5,3
12,12,3,9,3
13,12,3,9.5,2
14,12,3,10,2
15,12,3,10.5,2
16,12,3,11,2
17,12,3,11.5,2
26,12,3.5,7,4
27,12,3.5,7.5,4
28,12,3.5,8,3
29,12,3.5,8.5,3
30,12,3.5,9,3
31,12,3.5,9.5,3
32,12,3.5,10,2
33,12,3.5,10.5,2
34,12,3.5,11,2
35,12,3.5,11.5,2
45,12,4,7.5,4
46,12,4,8,4
47,12,4,8.5,3
48,12,4,9,3
49,12,4,9.5,3
50,12,4,10,3
51,12,4,10.5,2
52,12,4,11,2
53,12,4,11.5,2
63,12,4.5,7.5,5
66,12,4.5,9,3
67,12,4.5,9.5,3
68,12,4.5,10,3
69,12,4.5,10.5,3
70,12,4.5,11,2
71,12,4.5,11.5,2
86,12,5,10,3
87,12,5,10.5,3
88,12,5,11,3
89,12,5,11.5,2
101,12,5.5,8.5,5
106,12,5.5,11,3
107,12,5.5,11.5,3
120,12,6,9,5
122,12,6,10,4
123,12,6,10.5,3
125,12,6,11.5,3
139,12,6.5,9.5,5
141,12,6.5,10.5,4
142,12,6.5,11,3
143,12,6.5,11.5,3
158,12,7,10,5
178,12,7.5,11,4
197,12,8,11.5,4
474,13,3,6,5
475,13,3,6.5,4
476,13,3,7,4
477,13,3,7.5,3
478,13,3,8,3
479,13,3,8.5,3
480,13,3,9,3
481,13,3,9.5,3
482,13,3,10,2
483,13,3,10.5,2
484,13,3,11,2
485,13,3,11.5,2
494,13,3.5,7,4
495,13,3.5,7.5,4
496,13,3.5,8,3
497,13,3.5,8.5,3
498,13,3.5,9,3
499,13,3.5,9.5,3
500,13,3.5,10,3
501,13,3.5,10.5,2
502,13,3.5,11,2
503,13,3.5,11.5,2
513,13,4,7.5,4
514,13,4,8,4
515,13,4,8.5,3
516,13,4,9,3
517,13,4,9.5,3
518,13,4,10,3
519,13,4,10.5,3
520,13,4,11,2
521,13,4,11.5,2
534,13,4.5,9,3
535,13,4.5,9.5,3
536,13,4.5,10,3
537,13,4.5,10.5,3
538,13,4.5,11,3
539,13,4.5,11.5,2
550,13,5,8,5
551,13,5,8.5,4
554,13,5,10,3
555,13,5,10.5,3
556,13,5,11,3
557,13,5,11.5,3
569,13,5.5,8.5,5
570,13,5.5,9,4
574,13,5.5,11,3
575,13,5.5,11.5,3
589,13,6,9.5,4
591,13,6,10.5,3
608,13,6.5,10,4
610,13,6.5,11,3
611,13,6.5,11.5,3
627,13,7,10.5,4
628,13,7,11,4
942,14,3,6,5
943,14,3,6.5,5
944,14,3,7,4
945,14,3,7.5,4
946,14,3,8,3
947,14,3,8.5,3
948,14,3,9,3
949,14,3,9.5,3
950,14,3,10,3
951,14,3,10.5,2
952,14,3,11,2
953,14,3,11.5,2
962,14,3.5,7,5
963,14,3.5,7.5,4
964,14,3.5,8,4
965,14,3.5,8.5,3
966,14,3.5,9,3
967,14,3.5,9.5,3
968,14,3.5,10,3
969,14,3.5,10.5,3
970,14,3.5,11,2
971,14,3.5,11.5,2
981,14,4,7.5,5
982,14,4,8,4
983,14,4,8.5,4
984,14,4,9,3
985,14,4,9.5,3
986,14,4,10,3
987,14,4,10.5,3
988,14,4,11,3
989,14,4,11.5,2
1001,14,4.5,8.5,4
1002,14,4.5,9,4
1003,14,4.5,9.5,3
1004,14,4.5,10,3
1005,14,4.5,10.5,3
1006,14,4.5,11,3
1007,14,4.5,11.5,3
1018,14,5,8,5
1019,14,5,8.5,5
1022,14,5,10,3
1023,14,5,10.5,3
1024,14,5,11,3
1025,14,5,11.5,3
1038,14,5.5,9,5
1042,14,5.5,11,3
1043,14,5.5,11.5,3
1056,14,6,9,5
1075,14,6.5,9.5,5
1078,14,6.5,11,4
1079,14,6.5,11.5,3
1094,14,7,10,5
1095,14,7,10.5,5
1096,14,7,11,4
1097,14,7,11.5,4
1113,14,7.5,10.5,5
1114,14,7.5,11,5
1115,14,7.5,11.5,4
1133,14,8,11.5,5
1411,15,3,6.5,5
1412,15,3,7,4
1413,15,3,7.5,4
1414,15,3,8,4
1415,15,3,8.5,3
1416,15,3,9,3
1417,15,3,9.5,3
1418,15,3,10,3
1419,15,3,10.5,3
1420,15,3,11,2
1421,15,3,11.5,2
1430,15,3.5,7,5
1431,15,3.5,7.5,4
1432,15,3.5,8,4
1433,15,3.5,8.5,4
1434,15,3.5,9,3
1435,15,3.5,9.5,3
1436,15,3.5,10,3
1437,15,3.5,10.5,3
1438,15,3.5,11,3
1439,15,3.5,11.5,2
1449,15,4,7.5,5
1450,15,4,8,4
1451,15,4,8.5,4
1452,15,4,9,4
1453,15,4,9.5,3
1454,15,4,10,3
1455,15,4,10.5,3
1456,15,4,11,3
1457,15,4,11.5,3
1469,15,4.5,8.5,4
1470,15,4.5,9,4
1471,15,4.5,9.5,4
1472,15,4.5,10,3
1473,15,4.5,10.5,3
1474,15,4.5,11,3
1475,15,4.5,11.5,3
1487,15,5,8.5,5
1490,15,5,10,4
1491,15,5,10.5,3
1492,15,5,11,3
1493,15,5,11.5,3
1510,15,5.5,11,3
1511,15,5.5,11.5,3
1546,15,6.5,11,4
1547,15,6.5,11.5,4
1565,15,7,11.5,4
1879,16,3,6.5,5
1880,16,3,7,5
1881,16,3,7.5,4
1882,16,3,8,4
1883,16,3,8.5,3
1884,16,3,9,3
1885,16,3,9.5,3
1886,16,3,10,3
1887,16,3,10.5,3
1888,16,3,11,3
1889,16,3,11.5,2
1898,16,3.5,7,5
1899,16,3.5,7.5,5
1900,16,3.5,8,4
1901,16,3.5,8.5,4
1902,16,3.5,9,3
1903,16,3.5,9.5,3
1904,16,3.5,10,3
1905,16,3.5,10.5,3
1906,16,3.5,11,3
1907,16,3.5,11.5,3
1917,16,4,7.5,5
1918,16,4,8,5
1919,16,4,8.5,4
1920,16,4,9,4
1921,16,4,9.5,3
