,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
0,12,3,3,40
1,12,3,3.5,40
2,12,3,4,26
3,12,3,4.5,13
4,12,3,5,9
5,12,3,5.5,7
6,12,3,6,6
7,12,3,6.5,5
8,12,3,7,4
9,12,3,7.5,4
10,12,3,8,3
11,12,3,8.5,3
12,12,3,9,3
13,12,3,9.5,3
14,12,3,10,2
15,12,3,10.5,2
16,12,3,11,2
17,12,3,11.5,2
18,12,3.5,3,40
19,12,3.5,3.5,40
20,12,3.5,4,40
21,12,3.5,4.5,26
22,12,3.5,5,13
23,12,3.5,5.5,9
24,12,3.5,6,7
25,12,3.5,6.5,6
26,12,3.5,7,5
27,12,3.5,7.5,4
28,12,3.5,8,4
29,12,3.5,8.5,3
30,12,3.5,9,3
31,12,3.5,9.5,3
32,12,3.5,10,3
33,12,3.5,10.5,2
34,12,3.5,11,2
35,12,3.5,11.5,2
36,12,4,3,40
37,12,4,3.5,40
38,12,4,4,40
39,12,4,4.5,40
40,12,4,5,26
41,12,4,5.5,13
42,12,4,6,9
43,12,4,6.5,7
44,12,4,7,6
45,12,4,7.5,5
46,12,4,8,4
47,12,4,8.5,4
48,12,4,9,3
49,12,4,9.5,3
50,12,4,10,3
51,12,4,10.5,3
52,12,4,11,2
53,12,4,11.5,2
54,12,4.5,3,40
55,12,4.5,3.5,40
56,12,4.5,4,40
57,12,4.5,4.5,40
58,12,4.5,5,40
59,12,4.5,5.5,26
60,12,4.5,6,13
61,12,4.5,6.5,9
62,12,4.5,7,7
63,12,4.5,7.5,6
64,12,4.5,8,5
65,12,4.5,8.5,4
66,12,4.5,9,4
67,12,4.5,9.5,3
68,12,4.5,10,3
69,12,4.5,10.5,3
70,12,4.5,11,3
71,12,4.5,11.5,2
72,12,5,3,40
73,12,5,3.5,40
74,12,5,4,40
75,12,5,4.5,40
76,12,5,5,40
77,12,5,5.5,40
78,12,5,6,26
79,12,5,6.5,13
80,12,5,7,9
81,12,5,7.5,7
82,12,5,8,6
83,12,5,8.5,5
84,12,5,9,4
85,12,5,9.5,4
86,12,5,10,3
87,12,5,10.5,3
88,12,5,11,3
89,12,5,11.5,3
90,12,5.5,3,40
91,12,5.5,3.5,40
92,12,5.5,4,40
93,12,5.5,4.5,40
94,12,5.5,5,40
95,12,5.5,5.5,40
96,12,5.5,6,40
97,12,5.5,6.5,26
98,12,5.5,7,13
99,12,5.5,7.5,9
100,12,5.5,8,7
101,12,5.5,8.5,6
102,12,5.5,9,5
103,12,5.5,9.5,4
104,12,5.5,10,4
105,12,5.5,10.5,3
106,12,5.5,11,3
107,12,5.5,11.5,3
108,12,6,3,40
109,12,6,3.5,40
110,12,6,4,40
111,12,6,4.5,40
112,12,6,5,40
113,12,6,5.5,40
114,12,6,6,40
115,12,6,6.5,40
116,12,6,7,26
117,12,6,7.5,13
118,12,6,8,9
119,12,6,8.5,7
120,12,6,9,6
121,12,6,9.5,5
122,12,6,10,4
123,12,6,10.5,4
124,12,6,11,3
125,12,6,11.5,3
126,12,6.5,3,40
127,12,6.5,3.5,40
128,12,6.5,4,40
129,12,6.5,4.5,40
130,12,6.5,5,40
131,12,6.5,5.5,40
132,12,6.5,6,40
133,12,6.5,6.5,40
134,12,6.5,7,40
135,12,6.5,7.5,26
136,12,6.5,8,13
137,12,6.5,8.5,9
138,12,6.5,9,7
139,12,6.5,9.5,6
140,12,6.5,10,5
141,12,6.5,10.5,4
142,12,6.5,11,4
143,12,6.5,11.5,3
144,12,7,3,40
145,12,7,3.5,40
146,12,7,4,40
147,12,7,4.5,40
148,12,7,5,40
149,12,7,5.5,40
150,12,7,6,40
151,12,7,6.5,40
152,12,7,7,40
153,12,7,7.5,40
154,12,7,8,26
155,12,7,8.5,13
156,12,7,9,9
157,12,7,9.5,7
158,12,7,10,6
159,12,7,10.5,5
160,12,7,11,4
161,12,7,11.5,4
162,12,7.5,3,40
163,12,7.5,3.5,40
164,12,7.5,4,40
165,12,7.5,4.5,40
166,12,7.5,5,40
167,12,7.5,5.5,40
168,12,7.5,6,40
169,12,7.5,6.5,40
170,12,7.5,7,40
171,12,7.5,7.5,40
172,12,7.5,8,40
173,12,7.5,8.5,26
174,12,7.5,9,13
175,12,7.5,9.5,9
176,12,7.5,10,7
177,12,7.5,10.5,6
178,12,7.5,11,5
179,12,7.5,11.5,4
180,12,8,3,40
181,12,8,3.5,40
182,12,8,4,40
183,12,8,4.5,40
184,12,8,5,40
185,12,8,5.5,40
186,12,8,6,40
187,12,8,6.5,40
188,12,8,7,40
189,12,8,7.5,40
190,12,8,8,40
191,12,8,8.5,40
192,12,8,9,26
193,12,8,9.5,13
194,12,8,10,9
195,12,8,10.5,7
196,12,8,11,6
197,12,8,11.5,5
198,12,8.5,3,40
199,12,8.5,3.5,40
200,12,8.5,4,40
201,12,8.5,4.5,40
202,12,8.5,5,40
203,12,8.5,5.5,40
204,12,8.5,6,40
205,12,8.5,6.5,40
206,12,8.5,7,40
207,12,8.5,7.5,40
208,12,8.5,8,40
209,12,8.5,8.5,40
210,12,8.5,9,40
211,12,8.5,9.5,26
212,12,8.5,10,13
213,12,8.5,10.5,9
214,12,8.5,11,7
215,12,8.5,11.5,6
216,12,9,3,40
217,12,9,3.5,40
218,12,9,4,40
219,12,9,4.5,40
220,12,9,5,40
221,12,9,5.5,40
222,12,9,6,40
223,12,9,6.5,40
224,12,9,7,40
225,12,9,7.5,40
226,12,9,8,40
227,12,9,8.5,40
228,12,9,9,40
229,12,9,9.5,40
230,12,9,10,26
231,12,9,10.5,13
232,12,9,11,9
233,12,9,11.5,7
234,12,9.5,3,40
235,12,9.5,3.5,40
236,12,9.5,4,40
237,12,9.5,4.5,40
238,12,9.5,5,40
239,12,9.5,5.5,40
240,12,9.5,6,40
241,12,9.5,6.5,40
242,12,9.5,7,40
243,12,9.5,7.5,40
244,12,9.5,8,40
245,12,9.5,8.5,40
246,12,9.5,9,40
247,12,9.5,9.5,40
248,12,9.5,10,40
249,12,9.5,10.5,26
250,12,9.5,11,13
251,12,9.5,11.5,9
252,12,10,3,40
253,12,10,3.5,40
254,12,10,4,40
255,12,10,4.5,40
256,12,10,5,40
257,12,10,5.5,40
258,12,10,6,40
259,12,10,6.5,40
260,12,10,7,40
261,12,10,7.5,40
262,12,10,8,40
263,12,10,8.5,40
264,12,10,9,40
265,12,10,9.5,40
266,12,10,10,40
267,12,10,10.5,40
268,12,10,11,26
269,12,10,11.5,13
270,12,10.5,3,40
271,12,10.5,3.5,40
272,12,10.5,4,40
273,12,10.5,4.5,40
274,12,10.5,5,40
275,12,10.5,5.5,40
276,12,10.5,6,40
277,12,10.5,6.5,40
278,12,10.5,7,40
279,12,10.5,7.5,40
280,12,10.5,8,40
281,12,10.5,8.5,40
282,12,10.5,9,40
283,12,10.5,9.5,40
284,12,10.5,10,40
285,12,10.5,10.5,40
286,12,10.5,11,40
287,12,10.5,11.5,26
288,12,11,3,40
289,12,11,3.5,40
290,12,11,4,40
291,12,11,4.5,40
292,12,11,5,40
293,12,11,5.5,40
294,12,11,6,40
295,12,11,6.5,40
296,12,11,7,40
297,12,11,7.5,40
298,12,11,8,40
299,12,11,8.5,40
300,12,11,9,40
301,12,11,9.5,40
302,12,11,10,40
303,12,11,10.5,40
304,12,11,11,40
305,12,11,11.5,40
306,12,11.5,3,40
307,12,11.5,3.5,40
308,12,11.5,4,40
309,12,11.5,4.5,40
310,12,11.5,5,40
311,12,11.5,5.5,40
312,12,11.5,6,40
313,12,11.5,6.5,40
314,12,11.5,7,40
315,12,11.5,7.5,40
316,12,11.5,8,40
317,12,11.5,8.5,40
318,12,11.5,9,40
319,12,11.5,9.5,40
320,12,11.5,10,40
321,12,11.5,10.5,40
322,12,11.5,11,40
323,12,11.5,11.5,40
324,12,12,3,40
325,12,12,3.5,40
326,12,12,4,40
327,12,12,4.5,40
328,12,12,5,40
329,12,12,5.5,40
330,12,12,6,40
331,12,12,6.5,40
332,12,12,7,40
333,12,12,7.5,40
334,12,12,8,40
335,12,12,8.5,40
336,12,12,9,40
337,12,12,9.5,40
338,12,12,10,40
339,12,12,10.5,40
340,12,12,11,40
341,12,12,11.5,40
342,12,12.5,3,40
343,12,12.5,3.5,40
344,12,12.5,4,40
345,12,12.5,4.5,40
346,12,12.5,5,40
347,12,12.5,5.5,40
348,12,12.5,6,40
349,12,12.5,6.5,40
350,12,12.5,7,40
351,12,12.5,7.5,40
352,12,12.5,8,40
353,12,12.5,8.5,40
354,12,12.5,9,40
355,12,12.5,9.5,40
356,12,12.5,10,40
357,12,12.5,10.5,40
358,12,12.5,11,40
359,12,12.5,11.5,40
360,12,13,3,40
361,12,13,3.5,40
362,12,13,4,40
363,12,13,4.5,40
364,12,13,5,40
365,12,13,5.5,40
366,12,13,6,40
367,12,13,6.5,40
368,12,13,7,40
369,12,13,7.5,40
370,12,13,8,40
371,12,13,8.5,40
372,12,13,9,40
373,12,13,9.5,40
374,12,13,10,40
375,12,13,10.5,40
376,12,13,11,40
377,12,13,11.5,40
378,12,13.5,3,40
379,12,13.5,3.5,40
380,12,13.5,4,40
381,12,13.5,4.5,40
382,12,13.5,5,40
383,12,13.5,5.5,40
384,12,13.5,6,40
385,12,13.5,6.5,40
386,12,13.5,7,40
387,12,13.5,7.5,40
388,12,13.5,8,40
389,12,13.5,8.5,40
390,12,13.5,9,40
391,12,13.5,9.5,40
392,12,13.5,10,40
393,12,13.5,10.5,40
394,12,13.5,11,40
395,12,13.5,11.5,40
396,12,14,3,40
397,12,14,3.5,40
398,12,14,4,40
399,12,14,4.5,40
400,12,14,5,40
401,12,14,5.5,40
402,12,14,6,40
403,12,14,6.5,40
404,12,14,7,40
405,12,14,7.5,40
406,12,14,8,40
407,12,14,8.5,40
408,12,14,9,40
409,12,14,9.5,40
410,12,14,10,40
411,12,14,10.5,40
412,12,14,11,40
413,12,14,11.5,40
414,12,14.5,3,40
415,12,14.5,3.5,40
