,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
0,12,3,3,40
1,12,3,3.5,40
2,12,3,4,40
3,12,3,4.5,9
4,12,3,5,7
5,12,3,5.5,6
6,12,3,6,5
7,12,3,6.5,4
8,12,3,7,4
9,12,3,7.5,3
10,12,3,8,3
11,12,3,8.5,3
18,12,3.5,3,40
19,12,3.5,3.5,40
20,12,3.5,4,40
21,12,3.5,4.5,40
22,12,3.5,5,40
23,12,3.5,5.5,7
24,12,3.5,6,40
25,12,3.5,6.5,40
26,12,3.5,7,4
27,12,3.5,7.5,4
28,12,3.5,8,3
29,12,3.5,8.5,3
36,12,4,3,40
37,12,4,3.5,40
38,12,4,4,40
39,12,4,4.5,40
40,12,4,5,40
41,12,4,5.5,40
42,12,4,6,7
43,12,4,6.5,6
44,12,4,7,40
45,12,4,7.5,4
46,12,4,8,4
47,12,4,8.5,3
54,12,4.5,3,40
55,12,4.5,3.5,40
56,12,4.5,4,40
57,12,4.5,4.5,40
58,12,4.5,5,40
59,12,4.5,5.5,40
60,12,4.5,6,40
61,12,4.5,6.5,40
62,12,4.5,7,6
63,12,4.5,7.5,5
64,12,4.5,8,40
65,12,4.5,8.5,40
72,12,5,3,40
73,12,5,3.5,40
74,12,5,4,40
75,12,5,4.5,40
76,12,5,5,40
77,12,5,5.5,40
78,12,5,6,40
79,12,5,6.5,40
80,12,5,7,40
81,12,5,7.5,40
82,12,5,8,40
83,12,5,8.5,40
90,12,5.5,3,40
91,12,5.5,3.5,40
92,12,5.5,4,40
93,12,5.5,4.5,40
94,12,5.5,5,40
95,12,5.5,5.5,40
96,12,5.5,6,40
97,12,5.5,6.5,40
98,12,5.5,7,11
99,12,5.5,7.5,40
100,12,5.5,8,6
101,12,5.5,8.5,5
108,12,6,3,40
109,12,6,3.5,40
110,12,6,4,40
111,12,6,4.5,40
112,12,6,5,40
113,12,6,5.5,40
114,12,6,6,40
115,12,6,6.5,40
116,12,6,7,40
117,12,6,7.5,40
118,12,6,8,40
119,12,6,8.5,40
126,12,6.5,3,40
127,12,6.5,3.5,40
128,12,6.5,4,40
129,12,6.5,4.5,40
130,12,6.5,5,40
131,12,6.5,5.5,40
132,12,6.5,6,40
133,12,6.5,6.5,40
134,12,6.5,7,40
135,12,6.5,7.5,40
136,12,6.5,8,40
137,12,6.5,8.5,40
144,12,7,3,40
145,12,7,3.5,40
146,12,7,4,40
147,12,7,4.5,40
148,12,7,5,40
149,12,7,5.5,40
150,12,7,6,40
151,12,7,6.5,40
152,12,7,7,40
153,12,7,7.5,40
154,12,7,8,40
155,12,7,8.5,40
162,12,7.5,3,40
163,12,7.5,3.5,40
164,12,7.5,4,40
165,12,7.5,4.5,40
166,12,7.5,5,40
167,12,7.5,5.5,40
168,12,7.5,6,40
169,12,7.5,6.5,40
170,12,7.5,7,40
171,12,7.5,7.5,40
172,12,7.5,8,40
173,12,7.5,8.5,40
180,12,8,3,40
181,12,8,3.5,40
182,12,8,4,40
183,12,8,4.5,40
184,12,8,5,40
185,12,8,5.5,40
186,12,8,6,40
187,12,8,6.5,40
188,12,8,7,40
189,12,8,7.5,40
190,12,8,8,40
191,12,8,8.5,40
198,12,8.5,3,40
199,12,8.5,3.5,40
200,12,8.5,4,40
201,12,8.5,4.5,40
202,12,8.5,5,40
203,12,8.5,5.5,40
204,12,8.5,6,40
205,12,8.5,6.5,40
206,12,8.5,7,40
207,12,8.5,7.5,40
208,12,8.5,8,40
209,12,8.5,8.5,40
216,12,9,3,40
217,12,9,3.5,40
218,12,9,4,40
219,12,9,4.5,40
220,12,9,5,40
221,12,9,5.5,40
222,12,9,6,40
223,12,9,6.5,40
224,12,9,7,40
225,12,9,7.5,40
226,12,9,8,40
227,12,9,8.5,40
234,12,9.5,3,40
235,12,9.5,3.5,40
236,12,9.5,4,40
237,12,9.5,4.5,40
238,12,9.5,5,40
239,12,9.5,5.5,40
240,12,9.5,6,40
241,12,9.5,6.5,40
242,12,9.5,7,40
243,12,9.5,7.5,40
244,12,9.5,8,40
245,12,9.5,8.5,40
252,12,10,3,40
253,12,10,3.5,40
254,12,10,4,40
255,12,10,4.5,40
256,12,10,5,40
257,12,10,5.5,40
258,12,10,6,40
259,12,10,6.5,40
260,12,10,7,40
261,12,10,7.5,40
262,12,10,8,40
263,12,10,8.5,40
270,12,10.5,3,40
271,12,10.5,3.5,40
272,12,10.5,4,40
273,12,10.5,4.5,40
274,12,10.5,5,40
275,12,10.5,5.5,40
276,12,10.5,6,40
277,12,10.5,6.5,40
278,12,10.5,7,40
279,12,10.5,7.5,40
280,12,10.5,8,40
281,12,10.5,8.5,40
288,12,11,3,40
289,12,11,3.5,40
290,12,11,4,40
291,12,11,4.5,40
292,12,11,5,40
293,12,11,5.5,40
294,12,11,6,40
295,12,11,6.5,40
296,12,11,7,40
297,12,11,7.5,40
298,12,11,8,40
299,12,11,8.5,40
306,12,11.5,3,40
307,12,11.5,3.5,40
308,12,11.5,4,40
309,12,11.5,4.5,40
310,12,11.5,5,40
311,12,11.5,5.5,40
312,12,11.5,6,40
313,12,11.5,6.5,40
314,12,11.5,7,40
315,12,11.5,7.5,40
316,12,11.5,8,40
317,12,11.5,8.5,40
324,12,12,3,40
325,12,12,3.5,40
326,12,12,4,40
327,12,12,4.5,40
328,12,12,5,40
329,12,12,5.5,40
330,12,12,6,40
331,12,12,6.5,40
332,12,12,7,40
333,12,12,7.5,40
334,12,12,8,40
335,12,12,8.5,40
342,12,12.5,3,40
343,12,12.5,3.5,40
344,12,12.5,4,40
345,12,12.5,4.5,40
346,12,12.5,5,40
347,12,12.5,5.5,40
348,12,12.5,6,40
349,12,12.5,6.5,40
350,12,12.5,7,40
351,12,12.5,7.5,40
352,12,12.5,8,40
353,12,12.5,8.5,40
360,12,13,3,40
361,12,13,3.5,40
362,12,13,4,40
363,12,13,4.5,40
364,12,13,5,40
365,12,13,5.5,40
366,12,13,6,40
367,12,13,6.5,40
368,12,13,7,40
369,12,13,7.5,40
370,12,13,8,40
371,12,13,8.5,40
378,12,13.5,3,40
379,12,13.5,3.5,40
380,12,13.5,4,40
381,12,13.5,4.5,40
382,12,13.5,5,40
383,12,13.5,5.5,40
384,12,13.5,6,40
385,12,13.5,6.5,40
386,12,13.5,7,40
387,12,13.5,7.5,40
388,12,13.5,8,40
389,12,13.5,8.5,40
396,12,14,3,40
397,12,14,3.5,40
398,12,14,4,40
399,12,14,4.5,40
400,12,14,5,40
401,12,14,5.5,40
402,12,14,6,40
403,12,14,6.5,40
404,12,14,7,40
405,12,14,7.5,40
406,12,14,8,40
407,12,14,8.5,40
414,12,14.5,3,40
415,12,14.5,3.5,40
416,12,14.5,4,40
417,12,14.5,4.5,40
418,12,14.5,5,40
419,12,14.5,5.5,40
420,12,14.5,6,40
421,12,14.5,6.5,40
422,12,14.5,7,40
423,12,14.5,7.5,40
424,12,14.5,8,40
425,12,14.5,8.5,40
432,12,15,3,40
433,12,15,3.5,40
434,12,15,4,40
435,12,15,4.5,40
436,12,15,5,40
437,12,15,5.5,40
438,12,15,6,40
439,12,15,6.5,40
440,12,15,7,40
441,12,15,7.5,40
442,12,15,8,40
443,12,15,8.5,40
450,12,15.5,3,40
451,12,15.5,3.5,40
452,12,15.5,4,40
453,12,15.5,4.5,40
454,12,15.5,5,40
455,12,15.5,5.5,40
456,12,15.5,6,40
457,12,15.5,6.5,40
458,12,15.5,7,40
459,12,15.5,7.5,40
460,12,15.5,8,40
461,12,15.5,8.5,40
468,13,3,3,40
469,13,3,3.5,40
470,13,3,4,40
471,13,3,4.5,40
472,13,3,5,7
473,13,3,5.5,6
474,13,3,6,5
475,13,3,6.5,4
476,13,3,7,4
477,13,3,7.5,3
478,13,3,8,3
479,13,3,8.5,3
486,13,3.5,3,40
487,13,3.5,3.5,40
488,13,3.5,4,40
489,13,3.5,4.5,40
490,13,3.5,5,40
491,13,3.5,5.5,40
492,13,3.5,6,40
493,13,3.5,6.5,40
494,13,3.5,7,4
495,13,3.5,7.5,4
496,13,3.5,8,3
497,13,3.5,8.5,3
504,13,4,3,40
505,13,4,3.5,40
506,13,4,4,40
507,13,4,4.5,40
508,13,4,5,40
509,13,4,5.5,40
510,13,4,6,40
511,13,4,6.5,6
512,13,4,7,40
513,13,4,7.5,4
514,13,4,8,4
515,13,4,8.5,3
522,13,4.5,3,40
523,13,4.5,3.5,40
524,13,4.5,4,40
525,13,4.5,4.5,40
526,13,4.5,5,40
527,13,4.5,5.5,40
528,13,4.5,6,40
529,13,4.5,6.5,8
530,13,4.5,7,6
531,13,4.5,7.5,40
532,13,4.5,8,40
533,13,4.5,8.5,40
540,13,5,3,40
541,13,5,3.5,40
542,13,5,4,40
543,13,5,4.5,40
544,13,5,5,40
545,13,5,5.5,40
546,13,5,6,40
547,13,5,6.5,40
548,13,5,7,40
549,13,5,7.5,6
550,13,5,8,5
551,13,5,8.5,4
558,13,5.5,3,40
559,13,5.5,3.5,40
560,13,5.5,4,40
561,13,5.5,4.5,40
562,13,5.5,5,40
563,13,5.5,5.5,40
564,13,5.5,6,40
565,13,5.5,6.5,40
566,13,5.5,7,12
567,13,5.5,7.5,40
568,13,5.5,8,40
569,13,5.5,8.5,5
576,13,6,3,40
577,13,6,3.5,40
578,13,6,4,40
579,13,6,4.5,40
580,13,6,5,40
581,13,6,5.5,40
582,13,6,6,40
583,13,6,6.5,40
584,13,6,7,40
585,13,6,7.5,10
586,13,6,8,40
587,13,6,8.5,6
594,13,6.5,3,40
595,13,6.5,3.5,40
596,13,6.5,4,40
597,13,6.5,4.5,40
598,13,6.5,5,40
599,13,6.5,5.5,40
600,13,6.5,6,40
601,13,6.5,6.5,40
602,13,6.5,7,40
603,13,6.5,7.5,40
604,13,6.5,8,40
605,13,6.5,8.5,40
612,13,7,3,40
613,13,7,3.5,40
614,13,7,4,40
615,13,7,4.5,40
616,13,7,5,40
617,13,7,5.5,40
618,13,7,6,40
619,13,7,6.5,40
