,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
0,12.0,3.0,3.0,40.0
1,12.0,3.0,3.5,1.0
2,12.0,3.0,4.0,1.0
3,12.0,3.0,4.5,1.0
4,12.0,3.0,5.0,1.0
5,12.0,3.0,5.5,1.0
6,12.0,3.0,6.0,1.0
7,12.0,3.0,6.5,1.0
8,12.0,3.0,7.0,1.0
9,12.0,3.0,7.5,1.0
10,12.0,3.0,8.0,1.0
11,12.0,3.0,8.5,1.0
12,12.0,3.0,9.0,1.0
13,12.0,3.0,9.5,1.0
14,12.0,3.0,10.0,1.0
15,12.0,3.0,10.5,1.0
16,12.0,3.0,11.0,1.0
17,12.0,3.0,11.5,1.0
18,12.0,3.5,3.0,40.0
19,12.0,3.5,3.5,40.0
20,12.0,3.5,4.0,1.0
21,12.0,3.5,4.5,1.0
22,12.0,3.5,5.0,1.0
23,12.0,3.5,5.5,1.0
24,12.0,3.5,6.0,1.0
25,12.0,3.5,6.5,1.0
26,12.0,3.5,7.0,1.0
27,12.0,3.5,7.5,1.0
28,12.0,3.5,8.0,1.0
29,12.0,3.5,8.5,1.0
30,12.0,3.5,9.0,1.0
31,12.0,3.5,9.5,1.0
32,12.0,3.5,10.0,1.0
33,12.0,3.5,10.5,1.0
34,12.0,3.5,11.0,1.0
35,12.0,3.5,11.5,1.0
36,12.0,4.0,3.0,40.0
37,12.0,4.0,3.5,40.0
38,12.0,4.0,4.0,40.0
39,12.0,4.0,4.5,1.0
40,12.0,4.0,5.0,1.0
41,12.0,4.0,5.5,1.0
42,12.0,4.0,6.0,1.0
43,12.0,4.0,6.5,1.0
44,12.0,4.0,7.0,1.0
45,12.0,4.0,7.5,1.0
46,12.0,4.0,8.0,1.0
47,12.0,4.0,8.5,1.0
48,12.0,4.0,9.0,1.0
49,12.0,4.0,9.5,1.0
50,12.0,4.0,10.0,1.0
51,12.0,4.0,10.5,1.0
52,12.0,4.0,11.0,1.0
53,12.0,4.0,11.5,1.0
54,12.0,4.5,3.0,40.0
55,12.0,4.5,3.5,40.0
56,12.0,4.5,4.0,40.0
57,12.0,4.5,4.5,40.0
58,12.0,4.5,5.0,1.0
59,12.0,4.5,5.5,1.0
60,12.0,4.5,6.0,1.0
61,12.0,4.5,6.5,1.0
62,12.0,4.5,7.0,1.0
63,12.0,4.5,7.5,1.0
64,12.0,4.5,8.0,1.0
65,12.0,4.5,8.5,1.0
66,12.0,4.5,9.0,1.0
67,12.0,4.5,9.5,1.0
68,12.0,4.5,10.0,1.0
69,12.0,4.5,10.5,1.0
70,12.0,4.5,11.0,1.0
71,12.0,4.5,11.5,1.0
72,12.0,5.0,3.0,40.0
73,12.0,5.0,3.5,40.0
74,12.0,5.0,4.0,40.0
75,12.0,5.0,4.5,40.0
76,12.0,5.0,5.0,40.0
77,12.0,5.0,5.5,1.0
78,12.0,5.0,6.0,1.0
79,12.0,5.0,6.5,1.0
80,12.0,5.0,7.0,1.0
81,12.0,5.0,7.5,1.0
82,12.0,5.0,8.0,1.0
83,12.0,5.0,8.5,1.0
84,12.0,5.0,9.0,1.0
85,12.0,5.0,9.5,1.0
86,12.0,5.0,10.0,1.0
