Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100,Run101,Run102,Run103,Run104,Run105,Run106,Run107,Run108,Run109,Run110,Run111
972.772,824.315,838.654,832.435,827.456,772.741,775.299,902.446,812.217,790.942,795.766,821.141,862.51,966.681,782.975,836.774,811.151,1025.789,856.091,884.116,897.468,831.105,840.703,835.727,836.771,874.045,929.671,766.936,947.285,832.061,780.884,944.309,879.861,869.793,815.202,793.055,776.277,753.162,816.886,835.808,777.539,876.637,847.866,800.42,867.049,858.141,794.092,799.341,824.974,790.561,823.686,848.513,811.72,941.071,765.292,850.742,1098.15,768.698,856.397,837.516,807.465,883.134,776.8,1061.373,815.325,813.136,864.208,887.981,823.653,811.519,827.355,785.297,843.612,788.335,906.318,783.344,811.454,840.301,863.647,783.258,837.249,861.189,947.653,951.23,781.215,804.727,866.296,841.266,762.152,861.188,757.486,815.071,823.8,761.689,789.339,849.217,759.637,794.524,859.985,848.104,834.424,792.945,893.972,822.71,807.912,947.841,768.515,781.898,877.237,820.585,808.53,794.157
978.496,753.154,639.369,784.859,768.042,692.779,708.671,832.894,760.019,698.004,720.285,743.05,949.603,903.354,696.886,755.407,794.108,1079.344,795.163,982.491,841.742,755.198,757.554,747.69,818.179,763.162,976.216,718.493,799.63,746.647,712.788,783.654,820.712,830.084,713.694,733.126,709.789,869.2,739.625,853.656,688.355,824.586,830.564,703.667,754.493,885.179,698.412,903,737.058,678.49,791.363,788.649,731.313,734.594,694.821,850.491,827.461,716.449,780.946,718.471,727.863,880.772,694.037,1373.761,759.442,741.576,797.233,805.55,727.154,708.493,690.784,851.803,721.591,929.454,761.002,698.834,727.031,791.881,823.905,699.25,788.185,767.486,1242.937,754.32,702.576,1066.277,802.654,823.63,685.717,808.831,716.669,736.399,785.537,692.011,786.025,819.373,745.39,734.782,826.57,753.34,754.124,764.05,983.976,777.965,726.881,801.69,711.104,705.786,787.246,758.203,791.537,782.104
1339.583,811.233,687.067,817.217,827.45,721.303,704.666,959.712,813.312,750.761,761.025,803.467,1058.652,856.833,721.855,797.572,938.583,1567.098,808.159,1045.374,969.755,720.236,551.092,761.927,762.598,804.331,1053.982,727.503,1040.242,761.122,747.363,852.802,801.402,895.089,713.197,870.831,896.394,747.001,743.152,656.122,750.444,937.911,845.909,728.461,764.333,949.343,702.045,913.494,798.285,592.675,903.059,745.456,683.726,791.707,737.091,837.142,924.041,730.172,767.774,749.839,699.792,963.88,726.394,1665.876,822.064,783.822,771.787,787.235,718.289,672.535,765.794,948.703,949.19,801.759,705.69,716.512,728.482,731.545,791.209,744.9,856.998,721.992,1679.904,749.947,726.845,1047.495,783.911,863.9,718.813,739.736,710.607,725.004,818.255,698.604,818.827,780.711,771.705,710.581,856.341,839.775,743.041,826.017,976.573,926.68,908.644,600.147,727.64,681.224,775.375,801.576,747.127,840.749
1703.951,726.319,778.075,798.955,711.777,760.982,730.007,1227.119,709.569,772.063,693.398,1116.643,1021.458,803.715,758.055,1166.223,817.872,1315.828,727.418,1150.113,1055.898,766.879,789.135,677.663,586.932,823.695,1304.448,712.264,960.484,711.471,726.894,772.583,699.835,822.679,741.777,967.927,921.681,663.406,772.119,730.516,744.452,1178.591,1123.128,760.292,770.286,914.11,749.7,924.158,682.873,602.451,788.488,775.681,645.835,708.639,769.27,754.806,900.85,766.18,786.952,689.588,742.169,1197.657,762.764,873.119,734.907,701.944,771.363,680.087,1041.657,757.287,666.729,902.949,952.282,708.662,766.899,746.997,781.47,758.645,632.957,772.705,800.127,646.072,1533.523,677.888,761.641,988.171,698.476,840.04,746.815,644.878,733.543,777.568,740.06,736.853,735.606,654.143,722.876,760.509,745.752,701.649,676.928,769.268,837.939,1175.971,741.495,612.453,741.624,777.511,872.075,676.433,697.441,773.459
1471.609,672.513,731.68,743.429,701.294,736.246,724.789,1292.936,715.086,758.707,702.795,1142.649,921.057,700.552,747.275,1226.564,716.985,895.624,664.912,890.092,1018.669,744.28,496.398,647.213,673.686,792.544,971.964,763.035,883.453,681.249,705.167,695.864,674.715,820.078,717.145,997.876,901.073,687.433,774.464,710.987,743.647,1048.495,1070.938,755.623,743.993,831.476,757.227,842.749,649.161,605.944,706.371,783.047,780.775,689.678,747.224,689.66,839.75,666.236,805.033,599.497,731.433,1129.28,740.856,852.994,703.238,725.188,757.568,697.697,1067.399,793.769,611.002,881.996,876.76,684.181,797.637,739.13,827.047,793.652,619.511,751.904,785.897,631.018,1159.537,668.419,748.102,789.745,656.143,822.072,755.911,599.191,737.144,641.394,721.29,728.963,694.222,662.099,621.026,732.26,691.302,664.294,682.436,702.161,805.314,1203.078,793.227,577.585,772.052,773.269,877.266,702.558,715.661,727.815
1600.72,682.12,820.338,729.268,744.714,796.658,771.245,1528.99,723.205,799.367,677.79,1105.645,971.886,709.456,793.514,1438.534,726.589,915.233,688.902,856.339,864.755,800.096,833.577,704.32,618.36,837.007,857.939,734.984,862.174,667.787,841.492,715.608,691.722,818.539,766.745,926.617,888.781,807.747,785.332,765.677,797.267,1210.594,1124.479,799.037,794.556,807.897,820.022,842.007,707.322,611.32,703.675,814.251,750.509,693.818,792.166,687.324,768.471,670.934,848.527,673.651,775.443,1388.362,782.9,789.68,706.357,780.417,816.353,723.23,1154.557,836.679,686.436,864.825,825.626,698.269,787.383,797.005,818.696,823.815,643.953,797.452,863.186,678.515,1336.903,686.581,766.496,711.648,672.658,829.928,735.664,640.799,735.437,834.699,740.958,797.699,682.572,659.691,718.3,795.521,686.016,713.041,713.188,713.799,759.814,1527.982,778.423,699.085,828.723,832.053,884,690.001,720.001,834.726
1984.181,820.306,998.482,829.998,824.368,903.83,897.83,1906.016,812.417,905.134,813.289,1336.646,987.184,901.176,906.439,1728.868,828.159,944.914,805.81,894.645,923.434,930.093,930.146,906.049,784.398,965.287,885.702,847.044,909.656,837.001,938.527,899.852,793.979,859.06,975.754,920.694,848.133,914.597,725.713,1025.64,908.397,1610.175,1129.978,891.825,994.787,848.094,1036.387,881.596,835.277,912.139,876.927,952.263,904.566,827.566,898.536,797.403,865.743,886.325,917.066,830.675,938.234,1920.493,859.237,873.14,801.398,862.742,966.364,817.198,1380.283,939.721,811.423,876.384,820.199,847.73,980.819,916.323,952.286,1015.795,798.282,899.982,936.944,760.395,1741.049,814.927,769.225,852.46,887.858,882.68,642.198,763.139,801.098,902.075,863.315,892.663,824.353,752.929,839.454,1001.602,911.356,811.336,869.813,876.818,919.761,1845.369,943.516,770.482,946.184,798.247,1002.556,841.863,807.514,910.301
2147.288,818.263,903.274,995.534,898.794,1023.332,954.259,2280.716,813.213,965.223,817.748,1640.808,948.711,836.866,975.397,2263.684,858.193,985.511,838.02,921.24,971.619,1081.435,1008.748,955.093,759.66,939.583,911.596,1077.018,955.682,844.434,1114.739,868.115,946.929,855.106,964.119,1023.758,886.851,917.682,1043.509,1215.776,967.585,2273.453,1654.046,958.964,1086.202,838.016,1031.177,860.799,994.278,883.677,871.489,1007.255,983.568,878.526,983.551,823.331,1084.404,1014.88,941.887,821.03,1073.513,2210,1005.91,926.366,809.666,835.217,1092.224,808.011,1717.014,1024.432,969.328,864.407,833.463,893.049,954.382,1020.597,1080.084,1008.918,801.75,957.299,863.204,831.7,2146.8,878.742,1055.779,894.425,1036.867,899.285,1090.43,863.62,1080.763,934.03,823.707,943.199,892.719,794.342,943.549,1084.722,764.523,842.613,859.071,891.537,996.388,2196.386,1062.582,843.662,1088.311,1091.739,1028.332,1045.063,924.872,938.54
2058.959,629.729,821.773,778.75,657.471,749.151,756.002,2095.585,600.686,734.582,720.299,1118.868,733.07,631.877,754.205,1949.625,758.555,713.448,613.381,636.88,683.782,807.564,864.968,723.505,675.443,849.014,655.699,779.47,698.682,607.243,789.481,712.738,659.93,661.209,889.507,694.406,671.651,641.574,971.669,637.805,741.433,1740.013,1327.223,735.986,764.549,634.692,802.167,652.939,608.325,975.934,767.452,793.473,770.653,624.652,731.054,610.345,737.345,871.791,717.623,672.12,748.968,2217.753,777.501,678.264,620.466,702.319,806.541,590.451,1319.146,744.029,683.492,647.895,631.865,685.47,759.229,713.853,806.49,763.918,596.778,714.679,687.87,706.796,1933.723,588.369,797.635,662.467,741.644,693.855,879.922,656.654,793.029,768.975,613.654,788.894,648.597,599.274,761.239,800.753,565.331,708.466,664.732,696.031,696.057,2087.881,674.508,696.765,859.521,821.831,793.832,594.514,663.363,704.206
924.371,667.153,709.009,766.769,715.629,650.229,648.751,1100.894,634.771,667.806,688.775,680.027,793.345,640.018,650.633,779.524,643.603,706.634,660.97,682.994,692.089,719.55,621.811,686.705,606.7,670.834,672.097,747.02,676.595,641.244,665.014,643.032,659.197,725.387,710.945,694.221,682.624,705.499,689.445,536.812,651.471,700.896,664.556,642.485,620.061,650.664,654.809,662.155,624.287,836.107,714.477,668.058,615.86,722.131,674.509,620.392,716.667,734.317,676.044,601.838,734.959,1030.774,645.684,675.01,649.633,735.166,640.113,656.718,624.852,630.951,650.048,660.144,663.723,641.354,693.956,647.109,665.446,599.687,635.826,662.477,647.347,712.004,684.428,685.54,648.312,655.524,701.9,706.786,649.239,659.351,657.235,720.873,696.8,659.013,619.939,708.669,712.212,674.377,600.574,703.702,711.206,683.971,824.023,811.861,1032.498,787.093,669.99,711.708,647.213,610.711,716.776,829.707
713.981,694.988,688.227,731.635,670.771,654.601,655.825,720.279,616.31,654.13,591.174,738.603,729.186,650.494,651.828,777.344,665.546,701.084,704.503,659.476,671.705,692.601,852.869,701.227,782.898,683.421,671.133,801.335,679.717,759.25,679.662,677.027,704.848,740.254,768.786,691.549,673.96,731.678,656.926,574.664,659.968,707.634,669.816,744.742,670.413,692.418,658.236,687.664,657.835,966.053,706.831,670.891,823.364,696.27,656.267,669.313,774.459,758.621,644.95,685.209,795.396,739.006,651.654,663.041,725.495,658.983,667.393,690.9,698.936,741.418,752.861,668.211,670.407,625.368,736.218,651.878,684.866,695.538,741.952,649.294,744.386,687.575,665.911,674.1,657.282,671.343,718.587,677.724,658.098,654.169,654.844,752.628,747.275,652.277,607.297,655.358,700.724,740.289,681.924,677.727,678.956,650.668,722.629,679.076,774.889,656.098,651.177,662.281,688.031,611.53,727.606,737.433
884.434,791.468,777.131,814.809,778.008,746.83,735.982,802.645,729.745,743.351,781.216,787.706,812.41,777.248,732.281,891.801,774.821,774.998,744.256,810.766,760.076,769.84,762.689,741.039,725.154,731.75,759.534,776.953,815.079,771.514,761.623,764.199,762.529,763.829,791.944,812.448,758.021,814.765,826.578,813.586,739.105,813.797,752.831,800.361,762.185,856.09,773.304,765.037,843.058,911.552,759.528,759.377,878.68,893.267,747.844,764.107,824.146,858.721,799.242,769.257,770.988,830.53,737.1,775.653,879.443,883.392,717.344,752.655,839.251,772.725,765.316,817.042,775.962,733.974,737.832,734.839,760.67,744.351,756.216,741.127,869.676,829.871,757.538,897.876,741.524,744.091,769.941,825.428,734.383,754.293,734.089,802.249,779.304,736.22,720.656,852.921,794.817,935.463,766.804,846.142,787.509,751.043,880.962,785.173,832.526,665.494,731.014,742.455,762.427,798.88,769.509,910.598
