elevation,storage,area
895,0,30172
895.5,15.111,30270
896,30.27,30368
896.5,45.479,30466
897,60.736,30564
897.5,76.043,30662
898,91.398,30760
898.5,106.803,30858
899,122.257,30956
899.5,137.759,31054
900,153.311,31152
900.5,168.917,31273
901,184.584,31394
901.5,200.311,31514
902,216.098,31635
902.5,231.946,31755
903,247.854,31876
903.5,263.822,31997
904,279.851,32117
904.5,295.939,32238
905,312.088,32359
905.5,328.298,32479
906,344.568,32600
906.5,360.898,32720
907,377.288,32841
907.5,393.739,32962
908,410.25,33082
908.5,426.821,33203
909,443.452,33323
909.5,460.144,33444
910,476.896,33565
910.5,493.708,33683
911,510.579,33800
911.5,527.509,33918
912,544.497,34036
912.5,561.545,34154
913,578.651,34272
913.5,595.817,34390
914,613.041,34508
914.5,630.324,34626
915,647.667,34743
915.5,665.068,34861
916,682.528,34979
916.5,700.047,35097
917,717.625,35215
917.5,735.262,35333
918,752.958,35451
918.5,770.713,35569
919,788.526,35686
919.5,806.399,35804
920,824.331,35922
920.5,842.32,36036
921,860.367,36150
921.5,878.471,36264
922,896.631,36378
922.5,914.849,36492
923,933.123,36607
923.5,951.455,36721
924,969.844,36835
924.5,988.29,36949
925,1006.793,37063
925.5,1025.353,37177
926,1043.97,37291
926.5,1062.644,37405
927,1081.375,37519
927.5,1100.163,37633
928,1119.008,37747
928.5,1137.91,37861
929,1156.869,37975
929.5,1175.885,38089
930,1194.958,38203
930.5,1214.089,38320
931,1233.278,38436
931.5,1252.525,38552
932,1271.83,38668
932.5,1291.193,38784
933,1310.614,38900
933.5,1330.093,39016
934,1349.63,39133
934.5,1369.226,39249
935,1388.879,39365
935.5,1408.591,39481
936,1428.36,39597
936.5,1448.188,39713
937,1468.074,39830
937.5,1488.018,39946
938,1508.019,40062
938.5,1528.079,40178
939,1548.198,40294
939.5,1568.374,40410
940,1588.608,40527
940.5,1608.9,40644
941,1629.251,40761
941.5,1649.661,40878
942,1670.13,40995
942.5,1690.656,41112
943,1711.242,41229
943.5,1731.886,41346
944,1752.588,41463
944.5,1773.349,41581
945,1794.169,41698
945.5,1815.047,41815
946,1835.984,41932
946.5,1856.979,42049
947,1878.033,42166
947.5,1899.145,42283
948,1920.316,42400
948.5,1941.545,42518
949,1962.834,42635
949.5,1984.18,42752
950,2005.585,42869
950.5,2027.052,42999
951,2048.584,43128
951.5,2070.18,43258
952,2091.842,43387
952.5,2113.568,43517
953,2135.358,43647
953.5,2157.214,43776
954,2179.135,43906
954.5,2201.12,44035
955,2223.17,44165
955.5,2245.285,44295
956,2267.464,44424
956.5,2289.709,44554
957,2312.018,44683
957.5,2334.392,44813
958,2356.831,44943
958.5,2379.335,45072
959,2401.903,45202
959.5,2424.536,45331
960,2447.235,45461
960.5,2469.995,45580
961,2492.815,45700
961.5,2515.695,45819
962,2538.634,45938
962.5,2561.633,46057
963,2584.691,46177
963.5,2607.809,46296
964,2630.987,46415
964.5,2654.225,46534
965,2677.522,46654
965.5,2700.878,46773
966,2724.295,46892
966.5,2747.771,47012
967,2771.306,47131
967.5,2794.901,47250
968,2818.556,47369
968.5,2842.271,47489
969,2866.046,47608
969.5,2889.878,47727
970,2913.772,47847
970.5,2937.729,47981
971,2961.753,48114
971.5,2985.843,48248
972,3010.001,48382
972.5,3034.226,48516
973,3058.517,48650
973.5,3082.876,48784
974,3107.301,48918
974.5,3131.794,49052
975,3156.353,49186
975.5,3180.979,49320
976,3205.673,49454
976.5,3230.433,49587
977,3255.26,49721
977.5,3280.154,49855
978,3305.115,49989
978.5,3330.143,50123
979,3355.238,50257
979.5,3380.401,50391
980,3405.63,50525
980.5,3430.929,50674
981,3456.303,50824
981.5,3481.753,50974
982,3507.278,51123
982.5,3532.877,51273
983,3558.55,51423
983.5,3584.299,51572
984,3610.123,51722
984.5,3636.021,51872
985,3661.994,52021
985.5,3688.042,52171
986,3714.165,52321
986.5,3740.363,52470
987,3766.635,52620
987.5,3792.982,52769
988,3819.405,52919
988.5,3845.902,53069
989,3872.474,53218
989.5,3899.12,53368
990,3925.842,53518
990.5,3952.636,53660
991,3979.502,53803
991.5,4006.44,53946
992,4033.448,54089
992.5,4060.528,54232
993,4087.68,54375
993.5,4114.903,54517
994,4142.198,54660
994.5,4169.563,54803
995,4197.001,54946
995.5,4224.51,55089
996,4252.089,55232
996.5,4279.741,55374
997,4307.464,55517
997.5,4335.258,55660
998,4363.125,55803
998.5,4391.061,55946
999,4419.07,56089
999.5,4447.15,56231
1000,4475.301,56374
1000.5,4503.527,56529
1001,4531.83,56684
1001.5,4560.212,56839
1002,4588.67,56995
1002.5,4617.206,57150
1003,4645.82,57305
1003.5,4674.511,57460
1004,4703.279,57615
1004.5,4732.126,57770
1005,4761.049,57925
1005.5,4790.05,58080
1006,4819.129,58235
1006.5,4848.286,58390
1007,4877.519,58545
1007.5,4906.831,58700
1008,4936.219,58855
1008.5,4965.686,59010
1009,4995.23,59165
1009.5,5024.851,59320
1010,5054.55,59475
1010.5,5084.326,59628
1011,5114.179,59781
1011.5,5144.107,59934
1012,5174.113,60087
1012.5,5204.194,60240
1013,5234.353,60393
1013.5,5264.587,60546
1014,5294.898,60699
1014.5,5325.286,60851
1015,5355.75,61004
1015.5,5386.29,61157
1016,5416.907,61310
1016.5,5447.6,61463
1017,5478.37,61616
1017.5,5509.216,61769
1018,5540.139,61922
1018.5,5571.138,62075
1019,5602.213,62227
1019.5,5633.365,62380
1020,5664.593,62533
1020.5,5695.898,62688
1021,5727.281,62842
1021.5,5758.741,62997
1022,5790.278,63151
1022.5,5821.892,63306
1023,5853.583,63460
1023.5,5885.352,63615
1024,5917.198,63769
1024.5,5949.121,63924
1025,5981.122,64078
1025.5,6013.2,64233
1026,6045.355,64387
1026.5,6077.587,64542
1027,6109.897,64696
1027.5,6142.284,64851
1028,6174.748,65006
1028.5,6207.289,65160
1029,6239.908,65315
1029.5,6272.604,65469
1030,6305.377,65624
1030.5,6338.229,65784
1031,6371.161,65945
1031.5,6404.174,66105
1032,6437.266,66266
1032.5,6470.439,66426
1033,6503.693,66587
1033.5,6537.026,66747
1034,6570.44,66908
1034.5,6603.934,67068
1035,6637.508,67229
1035.5,6671.163,67389
1036,6704.897,67550
1036.5,6738.713,67710
1037,6772.608,67871
1037.5,6806.583,68031
1038,6840.639,68192
1038.5,6874.775,68352
1039,6908.992,68513
1039.5,6943.288,68673
1040,6977.665,68834
1040.5,7012.124,69003
1041,7046.668,69171
1041.5,7081.296,69340
1042,7116.008,69509
1042.5,7150.804,69677
1043,7185.685,69846
1043.5,7220.651,70015
1044,7255.7,70184
1044.5,7290.834,70352
1045,7326.052,70521
1045.5,7361.355,70690
1046,7396.742,70858
1046.5,7432.213,71027
1047,7467.768,71196
1047.5,7503.408,71364
1048,7539.138,71533
1048.5,7574.938,71702
1049,7610.838,71871
1049.5,7646.818,72039
1050,7682.878,72208
1050.5,7719.018,72393
1051,7755.258,72574
1051.5,7791.588,72755
1052,7828.018,72936
1052.5,7864.528,73117
1053,7901.128,73298
1053.5,7937.828,73479
1054,7974.608,73660
1054.5,8011.488,73841
1055,8048.458,74022
1055.5,8085.508,74203
1056,8122.658,74384
1056.5,8159.898,74565
1057,8197.218,74746
1057.5,8234.638,74927
1058,8272.148,75108
1058.5,8309.748,75289
1059,8347.438,75470
1059.5,8385.218,75651
1060,8423.088,75832
1060.5,8461.048,76013
1061,8499.098,76194
1061.5,8537.248,76375
1062,8575.478,76556
1062.5,8613.798,76737
1063,8652.218,76918
1063.5,8690.718,77099
1064,8729.308,77280
1064.5,8767.998,77461
1065,8806.768,77642
1065.5,8845.638,77823
1066,8884.598,78004
1066.5,8923.638,78185
1067,8962.778,78366
1067.5,9002.008,78547
1068,9041.328,78727
1068.5,9080.738,78908
1069,9120.238,79089
1069.5,9159.828,79270
1070,9199.508,79451
1070.5,9239.268,79617
1071,9279.118,79787
1071.5,9319.048,79957
1072,9359.068,80127
1072.5,9399.178,80297
1073,9439.368,80468
1073.5,9479.648,80638
1074,9520.008,80808
1074.5,9560.448,80978
1075,9600.988,81148
1075.5,9641.598,81318
1076,9682.298,81488
1076.5,9723.088,81658
1077,9763.958,81828
1077.5,9804.918,81999
1078,9845.958,82169
1078.5,9887.088,82339
1079,9928.298,82509
1079.5,9969.598,82679
1080,10010.978,82849
1080.5,10052.448,83007.9
1081,10093.998,83166.8
1081.5,10135.648,83325.7
1082,10177.378,83484.6
1082.5,10219.198,83643.5
1083,10261.098,83802.4
1083.5,10303.098,83961.3
1084,10345.178,84120.2
1084.5,10387.348,84279.1
1085,10429.608,84438
1085.5,10471.948,84596.9
1086,10514.388,84755.8
1086.5,10556.908,84914.7
1087,10599.518,85073.6
1087.5,10642.218,85232.5
1088,10684.998,85391.4
1088.5,10727.868,85550.3
1089,10770.828,85709.2
1089.5,10813.878,85868.1
1090,10857.008,86027
1090.5,10900.238,86185.9
1091,10943.548,86344.8
1091.5,10986.938,86503.7
1092,11030.418,86662.6
1092.5,11073.988,86821.5
1093,11117.638,86980.4
1093.5,11161.378,87139.3
1094,11205.208,87298.2
1094.5,11249.118,87457.1
1095,11293.118,87616.06298
1095.5,11336.95512,87761.05327
1096,11380.87281,87923.72901
1096.5,11424.87244,88069.74014
1097,11468.94625,88240.76996
1097.5,11513.10708,88399.77626
1098,11557.34699,88574.12872
1098.5,11601.67366,88726.56886
1099,11646.06727,88904.05782
1099.5,11690.57689,89117.53399
1100,11735.17605,89299.86559
1100.5,11779.86681,89457.94667
1101,11824.6371,89646.31758
1101.5,11869.50227,89808.46486
1102,11914.43913,89969.50073
1102.5,11959.47853,90157.21066
1103,12004.60244,90358.92689
1103.5,12049.82663,90532.37964
1104,12095.14026,90742.8504
1104.5,12140.56032,90940.02211
1105,12186.06917,91125.86301
1105.5,12231.69106,91336.56301
1106,12277.41006,91559.71425
1106.5,12323.2478,91788.07726
1107,12369.19224,92005.59595
1107.5,12415.24586,92205.34948
1108,12461.40166,92446.70916
1108.5,12507.67361,92678.40424
1109,12554.07982,92962.60473
1109.5,12600.61394,93165.8566
1110,12647.24728,93419.1801
1110.5,12694.01034,93634.54607
1111,12740.87629,93886.10581
1111.5,12787.85632,94064.28813
1112,12834.93279,94285.05663
1112.5,12882.12167,94473.64043
1113,12929.40076,94686.04905
1113.5,12976.78657,94850.91269
1114,13024.2549,95055.8883
1114.5,13071.81966,95243.583
