elevation,storage,area
3370,0,20303
3370.5,10.17399,20392.95
3371,20.39295,20482.9
3371.5,30.65689,20572.85
3372,40.9658,20662.8
3372.5,51.31969,20752.75
3373,61.71855,20842.7
3373.5,72.16239,20932.65
3374,82.6512,21022.6
3374.5,93.18499,21112.55
3375,103.76375,21202.5
3375.5,114.38749,21292.45
3376,125.0562,21382.4
3376.5,135.76989,21472.35
3377,146.52855,21562.3
3377.5,157.33219,21652.25
3378,168.1808,21742.2
3378.5,179.07439,21832.15
3379,190.01295,21922.1
3379.5,200.99649,22012.05
3380,212.025,22102
3380.5,223.10075,22201
3381,234.226,22300
3381.5,245.40075,22399
3382,256.625,22498
3382.5,267.89875,22597
3383,279.222,22696
3383.5,290.59475,22795
3384,302.017,22894
3384.5,313.48875,22993
3385,325.01,23092
3385.5,336.58075,23191
3386,348.201,23290
3386.5,359.87075,23389
3387,371.59,23488
3387.5,383.35875,23587
3388,395.177,23686
3388.5,407.04475,23785
3389,418.962,23884
3389.5,430.92875,23983
3390,442.945,24082
3390.5,455.01075,24181
3391,467.126,24280
3391.5,479.29075,24379
3392,491.505,24478
3392.5,503.76875,24577
3393,516.082,24676
3393.5,528.44475,24775
3394,540.857,24874
3394.5,553.31875,24973
3395,565.83,25072
3395.5,578.39075,25171
3396,591.001,25270
3396.5,603.66075,25369
3397,616.37,25468
3397.5,629.12875,25567
3398,641.937,25666
3398.5,654.79475,25765
3399,667.702,25864
3399.5,680.65875,25963
3400,693.665,26062
3400.5,706.72089,26161.57
3401,719.82657,26261.15
3401.5,732.98204,26360.72
3402,746.1873,26460.3
3402.5,759.44234,26559.87
3403,772.74717,26659.45
3403.5,786.10179,26759.02
3404,799.5062,26858.6
3404.5,812.96039,26958.17
3405,826.46437,27057.75
3405.5,840.01814,27157.32
3406,853.6217,27256.9
3406.5,867.27504,27356.47
3407,880.97817,27456.05
3407.5,894.73109,27555.62
3408,908.5338,27655.2
3408.5,922.38629,27754.77
3409,936.28857,27854.35
3409.5,950.24064,27953.92
3410,964.2425,28053.5
3410.5,978.29414,28153.07
3411,992.39557,28252.65
3411.5,1006.54679,28352.22
3412,1020.7478,28451.8
3412.5,1034.99859,28551.37
3413,1049.29917,28650.95
3413.5,1063.64954,28750.52
3414,1078.0497,28850.1
3414.5,1092.49964,28949.67
3415,1106.99937,29049.25
3415.5,1121.54889,29148.82
3416,1136.1482,29248.4
3416.5,1150.79729,29347.97
3417,1165.49617,29447.55
3417.5,1180.24484,29547.12
3418,1195.0433,29646.7
3418.5,1209.89154,29746.27
3419,1224.78957,29845.85
3419.5,1239.73739,29945.42
3420,1254.735,30045
3420.5,1269.78659,30161.35
3421,1284.89635,30277.7
3421.5,1300.06429,30394.05
3422,1315.2904,30510.4
3422.5,1330.57469,30626.75
3423,1345.91715,30743.1
3423.5,1361.31779,30859.45
3424,1376.7766,30975.8
3424.5,1392.29359,31092.15
3425,1407.86875,31208.5
3425.5,1423.50209,31324.85
3426,1439.1936,31441.2
3426.5,1454.94329,31557.55
3427,1470.75115,31673.9
3427.5,1486.61719,31790.25
3428,1502.5414,31906.6
3428.5,1518.52379,32022.95
3429,1534.56435,32139.3
3429.5,1550.66309,32255.65
3430,1566.82,32372
3430.5,1583.03509,32488.35
3431,1599.30835,32604.7
3431.5,1615.63979,32721.05
3432,1632.0294,32837.4
3432.5,1648.47719,32953.75
3433,1664.98315,33070.1
3433.5,1681.54729,33186.45
3434,1698.1696,33302.8
3434.5,1714.85009,33419.15
3435,1731.58875,33535.5
3435.5,1748.38559,33651.85
3436,1765.2406,33768.2
3436.5,1782.15379,33884.55
3437,1799.12515,34000.9
3437.5,1816.15469,34117.25
3438,1833.2424,34233.6
3438.5,1850.38829,34349.95
3439,1867.59235,34466.3
3439.5,1884.85459,34582.65
3440,1902.175,34699
3440.5,1919.55989,34840.55
3441,1937.01555,34982.1
3441.5,1954.54199,35123.65
3442,1972.1392,35265.2
3442.5,1989.80719,35406.75
3443,2007.54595,35548.3
3443.5,2025.35549,35689.85
3444,2043.2358,35831.4
3444.5,2061.18689,35972.95
3445,2079.20875,36114.5
3445.5,2097.30139,36256.05
3446,2115.4648,36397.6
3446.5,2133.69899,36539.15
3447,2152.00395,36680.7
3447.5,2170.37969,36822.25
3448,2188.8262,36963.8
3448.5,2207.34349,37105.35
3449,2225.93155,37246.9
3449.5,2244.59039,37388.45
3450,2263.32,37530
3450.5,2282.12039,37671.55
3451,2300.99155,37813.1
3451.5,2319.93349,37954.65
3452,2338.9462,38096.2
3452.5,2358.02969,38237.75
3453,2377.18395,38379.3
3453.5,2396.40899,38520.85
3454,2415.7048,38662.4
3454.5,2435.07139,38803.95
3455,2454.50875,38945.5
3455.5,2474.01689,39087.05
3456,2493.5958,39228.6
3456.5,2513.24549,39370.15
3457,2532.96595,39511.7
3457.5,2552.75719,39653.25
3458,2572.6192,39794.8
3458.5,2592.55199,39936.35
3459,2612.55555,40077.9
3459.5,2632.62989,40219.45
3460,2652.775,40361
3460.5,2672.99246,40508.85
3461,2693.28385,40656.7
3461.5,2713.64916,40804.55
3462,2734.0884,40952.4
3462.5,2754.60156,41100.25
3463,2775.18865,41248.1
3463.5,2795.84966,41395.95
3464,2816.5846,41543.8
3464.5,2837.39346,41691.65
3465,2858.27625,41839.5
3465.5,2879.23296,41987.35
3466,2900.2636,42135.2
3466.5,2921.36816,42283.05
3467,2942.54665,42430.9
3467.5,2963.79906,42578.75
3468,2985.1254,42726.6
3468.5,3006.52566,42874.45
3469,3027.99985,43022.3
3469.5,3049.54796,43170.15
3470,3071.17,43318
3470.5,3092.86596,43465.85
3471,3114.63585,43613.7
3471.5,3136.47966,43761.55
3472,3158.3974,43909.4
3472.5,3180.38906,44057.25
3473,3202.45465,44205.1
3473.5,3224.59416,44352.95
3474,3246.8076,44500.8
3474.5,3269.09496,44648.65
3475,3291.45625,44796.5
3475.5,3313.89146,44944.35
3476,3336.4006,45092.2
3476.5,3358.98366,45240.05
3477,3381.64065,45387.9
3477.5,3404.37156,45535.75
3478,3427.1764,45683.6
3478.5,3450.05516,45831.45
3479,3473.00785,45979.3
3479.5,3496.03446,46127.15
3480,3519.135,46275
3480.5,3542.31069,46427.77
3481,3565.56277,46580.55
3481.5,3588.89124,46733.32
3482,3612.2961,46886.1
3482.5,3635.77734,47038.87
3483,3659.33497,47191.65
3483.5,3682.96899,47344.42
3484,3706.6794,47497.2
3484.5,3730.46619,47649.97
3485,3754.32937,47802.75
3485.5,3778.26894,47955.52
3486,3802.2849,48108.3
3486.5,3826.37724,48261.07
3487,3850.54597,48413.85
3487.5,3874.79109,48566.62
3488,3899.1126,48719.4
3488.5,3923.51049,48872.17
3489,3947.98477,49024.95
3489.5,3972.53544,49177.72
3490,3997.1625,49330.5
3490.5,4021.86594,49483.27
3491,4046.64577,49636.05
3491.5,4071.50199,49788.82
3492,4096.4346,49941.6
3492.5,4121.44359,50094.37
3493,4146.52897,50247.15
3493.5,4171.69074,50399.92
3494,4196.9289,50552.7
3494.5,4222.24344,50705.47
3495,4247.63437,50858.25
3495.5,4273.10169,51011.02
3496,4298.6454,51163.8
3496.5,4324.26549,51316.57
3497,4349.96197,51469.35
3497.5,4375.73484,51622.12
3498,4401.5841,51774.9
3498.5,4427.50974,51927.67
3499,4453.51177,52080.45
3499.5,4479.59019,52233.22
3500,4505.745,52386
3500.5,4531.98231,52563.25
3501,4558.30825,52740.5
3501.5,4584.72281,52917.75
3502,4611.226,53095
3502.5,4637.81781,53272.25
3503,4664.49825,53449.5
3503.5,4691.26731,53626.75
3504,4718.125,53804
3504.5,4745.07131,53981.25
3505,4772.10625,54158.5
3505.5,4799.22981,54335.75
3506,4826.442,54513
3506.5,4853.74281,54690.25
3507,4881.13225,54867.5
3507.5,4908.61031,55044.75
3508,4936.177,55222
3508.5,4963.83231,55399.25
3509,4991.57625,55576.5
3509.5,5019.40881,55753.75
3510,5047.33,55931
3510.5,5075.33981,56108.25
3511,5103.43825,56285.5
3511.5,5131.62531,56462.75
3512,5159.901,56640
3512.5,5188.26531,56817.25
3513,5216.71825,56994.5
3513.5,5245.25981,57171.75
3514,5273.89,57349
3514.5,5302.60881,57526.25
3515,5331.41625,57703.5
3515.5,5360.31231,57880.75
3516,5389.297,58058
3516.5,5418.37031,58235.25
3517,5447.53225,58412.5
3517.5,5476.78281,58589.75
3518,5506.122,58767
3518.5,5535.54981,58944.25
3519,5565.06625,59121.5
3519.5,5594.67131,59298.75
3520,5624.365,59476
3520.5,5654.15131,59669.25
3521,5684.03425,59862.5
3521.5,5714.01381,60055.75
3522,5744.09,60249
3522.5,5774.26281,60442.25
3523,5804.53225,60635.5
3523.5,5834.89831,60828.75
3524,5865.361,61022
3524.5,5895.92031,61215.25
3525,5926.57625,61408.5
3525.5,5957.32881,61601.75
3526,5988.178,61795
3526.5,6019.12381,61988.25
3527,6050.16625,62181.5
3527.5,6081.30531,62374.75
3528,6112.541,62568
3528.5,6143.87331,62761.25
3529,6175.30225,62954.5
3529.5,6206.82781,63147.75
3530,6238.45,63341
3530.5,6270.16881,63534.25
3531,6301.98425,63727.5
3531.5,6333.89631,63920.75
3532,6365.905,64114
3532.5,6398.01031,64307.25
3533,6430.21225,64500.5
3533.5,6462.51081,64693.75
3534,6494.906,64887
3534.5,6527.39781,65080.25
3535,6559.98625,65273.5
3535.5,6592.67131,65466.75
3536,6625.453,65660
3536.5,6658.33131,65853.25
3537,6691.30625,66046.5
3537.5,6724.37781,66239.75
3538,6757.546,66433
3538.5,6790.81081,66626.25
3539,6824.17225,66819.5
3539.5,6857.63031,67012.75
3540,6891.185,67206
3540.5,6924.84284,67425.37
3541,6958.61037,67644.75
3541.5,6992.48759,67864.12
3542,7026.4745,68083.5
3542.5,7060.57109,68302.87
3543,7094.77737,68522.25
3543.5,7129.09334,68741.62
3544,7163.519,68961
3544.5,7198.05434,69180.37
3545,7232.69937,69399.75
3545.5,7267.45409,69619.12
3546,7302.3185,69838.5
3546.5,7337.29259,70057.87
3547,7372.37637,70277.25
3547.5,7407.56984,70496.62
3548,7442.873,70716
3548.5,7478.28584,70935.37
3549,7513.80837,71154.75
3549.5,7549.44059,71374.12
3550,7585.1825,71593.5
3550.5,7621.03409,71812.87
3551,7656.99537,72032.25
3551.5,7693.06634,72251.62
3552,7729.247,72471
3552.5,7765.53734,72690.37
3553,7801.93737,72909.75
3553.5,7838.44709,73129.12
3554,7875.0665,73348.5
3554.5,7911.79559,73567.87
3555,7948.63437,73787.25
3555.5,7985.58284,74006.62
3556,8022.641,74226
3556.5,8059.80884,74445.37
3557,8097.08637,74664.75
3557.5,8134.47359,74884.12
3558,8171.9705,75103.5
3558.5,8209.57709,75322.87
3559,8247.29337,75542.25
3559.5,8285.11934,75761.62
3560,8323.055,75981
3560.5,8361.10604,76223.15
3561,8399.27815,76465.3
3561.5,8437.57134,76707.45
3562,8475.9856,76949.6
3562.5,8514.52094,77191.75
3563,8553.17735,77433.9
3563.5,8591.95484,77676.05
3564,8630.8534,77918.2
3564.5,8669.87304,78160.35
3565,8709.01375,78402.5
3565.5,8748.27554,78644.65
3566,8787.6584,78886.8
3566.5,8827.16234,79128.95
3567,8866.78735,79371.1
3567.5,8906.53344,79613.25
3568,8946.4006,79855.4
3568.5,8986.38884,80097.55
3569,9026.49815,80339.7
3569.5,9066.72854,80581.85
3570,9107.08,80824
3570.5,9147.55254,81066.15
3571,9188.14615,81308.3
3571.5,9228.86084,81550.45
3572,9269.6966,81792.6
3572.5,9310.65344,82034.75
3573,9351.73135,82276.9
3573.5,9392.93034,82519.05
3574,9434.2504,82761.2
3574.5,9475.69154,83003.35
3575,9517.25375,83245.5
3575.5,9558.93704,83487.65
3576,9600.7414,83729.8
3576.5,9642.66684,83971.95
3577,9684.71335,84214.1
3577.5,9726.88094,84456.25
3578,9769.1696,84698.4
3578.5,9811.57934,84940.55
3579,9854.11015,85182.7
3579.5,9896.76204,85424.85
3580,9939.535,85667
3580.5,9982.42925,85910
3581,10025.445,86153
3581.5,10068.58225,86396
3582,10111.841,86639
3582.5,10155.22125,86882
3583,10198.723,87125
3583.5,10242.34625,87368
3584,10286.091,87611
3584.5,10329.95725,87854
3585,10373.945,88097
3585.5,10418.05425,88340
3586,10462.285,88583
3586.5,10506.63725,88826
3587,10551.111,89069
3587.5,10595.70625,89312
3588,10640.423,89555
3588.5,10685.26125,89798
3589,10730.221,90041
3589.5,10775.30225,90284
3590,10820.505,90527
3590.5,10865.82925,90770
3591,10911.275,91013
3591.5,10956.84225,91256
3592,11002.531,91499
3592.5,11048.34125,91742
3593,11094.273,91985
3593.5,11140.32625,92228
3594,11186.501,92471
3594.5,11232.79725,92714
3595,11279.215,92957
3595.5,11325.75425,93200
3596,11372.415,93443
3596.5,11419.19725,93686
3597,11466.101,93929
3597.5,11513.12625,94172
3598,11560.273,94415
3598.5,11607.54125,94658
3599,11654.931,94901
3599.5,11702.44225,95144
3600,11750.075,95387
3600.5,11797.83439,95650.55
3601,11845.72555,95914.1
3601.5,11893.74849,96177.65
3602,11941.9032,96441.2
3602.5,11990.18969,96704.75
3603,12038.60795,96968.3
3603.5,12087.15799,97231.85
3604,12135.8398,97495.4
3604.5,12184.65339,97758.95
3605,12233.59875,98022.5
3605.5,12282.67589,98286.05
3606,12331.8848,98549.6
3606.5,12381.22549,98813.15
3607,12430.69795,99076.7
3607.5,12480.30219,99340.25
3608,12530.0382,99603.8
3608.5,12579.90599,99867.35
3609,12629.90555,100130.9
3609.5,12680.03689,100394.45
3610,12730.3,100658
3610.5,12780.69489,100921.55
3611,12831.22155,101185.1
3611.5,12881.87999,101448.65
3612,12932.6702,101712.2
3612.5,12983.59219,101975.75
3613,13034.64595,102239.3
